form	resolved_lemma	confidence	note
sinnen	lemma_5491	high	sinnen NOM senses — "vnd von sinnen Und die" = and from senses, "vnd von sinnen bit bit" = and from senses, all NOM plural
sinne	lemma_5484	high	sinne NOM sense/mind — "Das mein sinne durchfeuchte" = that my mind penetrates, "wenne die sinne vnd die" = when the senses, all NOM (not sîn VEX)
Leget	lemma_3674	high	legen VRB lay! — "Leget ouf brot" = lay the bread on, "Leget lage hinder" = lay an ambush behind, all VRB imperative (capitalized variant of leget batch26)
seile	lemma_5376	high	seil NOM rope — "an einem seile von dem" = on a rope from the, "seine seile mit den" = its ropes with the, all NOM (not sêle NOM soul)
Weder	lemma_7434	high	weder CNJ whether/neither — "Weder du vluchst" = whether you flee, "Weder die veisticheit" = whether the fatness, all CNJ/ADJ (not wider ADV against)
geloubet	lemma_2075	high	gelouben VRB believed/trusted — "hat geloubet oder mit" = has believed/trusted or with, "wurden sie geloubet vnd weren" = they were believed and were, all VRB past participle
velle	lemma_6790	high	vël NOM hide/pelt — "mit dem velle vnd mit" = with the hide and with, "der velle wie man" = the hides as one, all NOM (not val NOM fall)
haut	lemma_2939	high	hût NOM skin/hide — "die haut vorbrante her" = he burned the skin/hide, "wol di haut als ir" = the hide as their, all NOM (not habe NOM, not houwen NOM)
totte	lemma_6133	high	tœten VRB killed — "so totte her den" = he killed the, "sie vnd totte sie" = and killed them, all VRB past 3sg (not tote NOM dead)
kal	lemma_10954	high	kal ADJ bald — "her hinden kal vnd reine" = behind bald and clean, "oder vallen kal vnd reine" = or entirely bald and clean, all ADJ (Leviticus baldness rulings)
kale	lemma_10954	high	kal ADJ bald — "der hinder kale ein weisse" = the behind-bald one a white [spot], "der vorn kale oder in" = the front-bald or in, all ADJ (Leviticus baldness)
bart	lemma_395	high	bart NOM beard — "vnd den bart vnd die" = and the beard and the, "noch den bart noch sullen" = nor the beard nor shall, all NOM (not barte NOM axe)
merke	lemma_4091	high	merken VRB to notice/observe — "Und merke das Ist" = And notice that is, "Nicht merke die persone" = not regard the person, all VRB imperative
vehet	lemma_6722	high	vâhen VRB catches — "mit stellen vehet ein wilt" = with traps catches a wild [animal], "vehet dich Und" = catches you And, all VRB 3sg pres
rinde	lemma_4924	high	rint NOM cattle/ox — "mit einem rinde oder mit" = with an ox or with, "von dem rinde vnd die" = from the cattle and the, all NOM (not rinde NOM bark)
schonen	lemma_5280	high	schœne ADJ beautiful — "frucht eines schonen povmes" = fruit of a beautiful tree, "das die schonen vnd die" = the beautiful ones and the, all ADJ
tar	lemma_6313	high	turren VRB to dare — "Ewer keiner tar den veinden" = none of you dare the enemies, "die nymant tar gewecken" = whom nobody dares to awaken, all VRB 3sg pres
scharn	lemma_5180	high	schar NOM troop/squadron — "durch ire scharn du vnd" = through their troops you and, "durch ire scharn vnd ir" = through their squadrons and their, all NOM plural
Geczalt	lemma_44911	high	zaln VRB counted — "die hant Geczalt wurden ouch" = also were counted, "vnsers herren Geczalt sint ouch" = are also counted of the Lord, all VRB past part (not zeln NOM)
keyn	lemma_3273	high	kein ADJ no/none — "nicht gesehen keyn gleichnusse an" = not seen any likeness, "sie das keyn slak sei" = that no strike be, all ADJ (not gegen ADV, not Keie NAM)
blicken	lemma_757	high	blicken VRB to glance/look — "ich in blicken nicht aber" = I should not look at but, "si an blicken Meinen diener" = look at my servant, all VRB (not blic NOM flash)
hefte	lemma_2694	high	heften VRB to fasten — "blech vnd hefte sie an" = sheet and fasten them on ×2, all VRB imperative (not hefte NOM handles)
fus	lemma_7320	high	vuoʒ NOM foot — "dein fus wart nicht" = your foot was not, "te den fus irs ouf" = the foot irs upon, all NOM (not vuhs NOM fox)
Stifte	lemma_5771	high	stiften VRB to found/grant — "Stifte mir siben" = grant/found me seven, "Stifte mir hie" = grant me here, all VRB imperative (not stift NOM foundation)
weil	lemma_51408	high	wîl NOM while/time — "ein cleine weil bei deinem" = a little while at your, "do die weil die purge" = when the while the fortress, all NOM wîle (not wellen VEM)
schiffen	lemma_5236	high	schif NOM ships — "geruderten schiffen von dem" = rowing ships from the, "herre ouf schiffen zu durch" = lord on ships through, all NOM plural dative (not schiffen VRB)
eiden	lemma_1355	high	eit NOM oath — "vorbindet mit eiden nicht sol" = binds with oaths shall not, "sich mit eiden vorbindet die" = binds himself with oaths, all NOM plural (not egede NOM harrow)
pette	lemma_634	high	bette NOM bed — "sein eiserens pette czeigt man" = his iron bedstead is shown (Og's bed, Deut.), "in einem pette alle den" = in a bed all the, all NOM (not biten VRB)
manen	lemma_3957	high	mâne NOM moon — "vnd den manen vnd alle" = and the moon and all, "vnd des manen vnd von" = and of the moon, all NOM (not man NOM, not man PRO)
pinden	lemma_709	high	binden VRB to bind — "solt die pinden alls ein" = shall bind them like a, "seil Und pinden soltu das" = rope And shall you bind that, all VRB (not pînen VRB to torment)
Richter	lemma_4911	high	rihtære NOM judge — "hat gegeben Richter vnd meister" = has given judges and masters, "buch der Richter etcetera" = book of Judges, all NOM (not rîcheter PRO)
lis	lemma_3720	high	lesen VRB to read! — "herre erwelt lis die wort" = Lord chose: read the word, "Nu lis sie si" = Now read them, all VRB imperative (not Lise NAM, not lîse ADJ)
Sterke	lemma_5755	high	starken VRB to strengthen! — "Sterke dich vnd" ×2 = Strengthen yourself!, all VRB imperative (not starc ADJ, not sterke NOM strength)
schilt	lemma_5246	high	schilt NOM shield — "ouff den schilt der in" = upon the shield that in, "her den schilt erhub gegen" = he raised the shield against, all NOM (not schelten NOM)
loste	lemma_3837	high	lœsen VRB redeemed/freed — "loste sie von" = freed/redeemed them from, "loste euch ous" = redeemed you out of, all VRB past 3sg (not losen ADV to listen)
vare	lemma_6726	high	vâre NOM danger/harm — "icht wider vare sterben oder" = something harmful, die or, "vbils wider vare an dem" = evil comes against him, all NOM danger (not varn NOM travel)
werte	lemma_7496	high	wern VRB to defend/protect — "den vns werte vnser herre" = our Lord protects us, "diser werte sich des" = this one defended himself, all VRB past (not wert ADJ worthy)
wisen	lemma_7537	high	wîs ADJ wise — "vmb einen wisen man vnd" = about a wise man, "zu den wisen vnd hies" = to the wise men and called, all ADJ (not wîse NOM wisdom, not wîʒ ADJ white)
