# Ton- und Abschnittsnamen der Göttinger Frauenlob-Ausgabe (GA), Bd. 1
# Quelle: Frauenlob_Bd1.doc (Transkription GA Bd. 1), Abschnittsüberschriften
# Extrahiert 2026-07-29 für Issue #236. Spalten: GA-Nummer (römisch), Name, Gattung, Sigle
ga	name	gattung	sigle
I	Marienleich	Leich	FR1
II	Kreuzleich	Leich	FR1
III	Minneleich	Leich	FR1
IV	Minne und Welt	Sangspruchton	FR1
V	Langer Ton	Sangspruchton	FR1
VI	Flugton	Sangspruchton	FR1
VII	Grüner Ton	Sangspruchton	FR1
VIII	Zarter Ton	Sangspruchton	FR1
IX	Würgendrüssel	Sangspruchton	FR1
X	Vergessener Ton	Sangspruchton	FR1
XI	Neuer Ton	Sangspruchton	FR1
XII	Goldener Ton	Sangspruchton	FR1
XIII	Kurzer Ton	Sangspruchton	FR1
XIV	Lieder	Lieder	FR2
