xml_id	resolved_sense	confidence	note
WZB_20rb_12_5	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_29ra_21_2	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_34ra_17_1	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_42va_25_1	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_50rb_11_1	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_50rb_20_9	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_51rb_35_7	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_81rb_11_1	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_82ra_12_4	lemma_6041_sense_9557	high	heuristic-auto: teil classified as sense_9557
WZB_95ra_7_2	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_95vb_24_1	lemma_6041_sense_9557	high	heuristic-auto: teil classified as sense_9557
WZB_95vb_32_0	lemma_6041_sense_9557	high	heuristic-auto: teil classified as sense_9557
WZB_97rb_33_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_100rb_14_1	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_102vb_24_5	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_103ra_25_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_103va_23_5	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_103va_30_2	lemma_6041_sense_9556	high	heuristic-auto: teil classified as sense_9556
WZB_103vb_14_1	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_103vb_15_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_106va_21_2	lemma_6041_sense_9556	high	heuristic-auto: teil classified as sense_9556
WZB_113rb_8_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_113rb_19_1	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_122ra_24_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_129rb_10_4	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_129rb_20_3	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_129va_9_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_129vb_8_2	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_130ra_8_6	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_132va_6_6	lemma_6041_sense_9557	high	heuristic-auto: teil classified as sense_9557
WZB_133vb_30_1	lemma_6041_sense_9557	high	heuristic-auto: teil classified as sense_9557
WZB_135rb_14_3	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_142rb_7_5	lemma_6041_sense_9557	high	heuristic-auto: teil classified as sense_9557
WZB_152va_33_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_152va_34_1	lemma_6041_sense_9556	high	heuristic-auto: teil classified as sense_9556
WZB_159ra_27_1	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_164ra_3_5	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_164va_28_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_168va_7_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_168va_25_0	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_168vb_4_3	lemma_6041_sense_9556	high	heuristic-auto: teil classified as sense_9556
WZB_168vb_13_1	lemma_6041_sense_17201	high	heuristic-auto: teil classified as sense_17201
WZB_169vb_23_3	lemma_6041_sense_9557	high	heuristic-auto: teil classified as sense_9557
WZB_172ra_30_0	lemma_6041_sense_9557	high	heuristic-auto: teil classified as sense_9557
WZB_172ra_34_3	lemma_6041_sense_9557	high	heuristic-auto: teil classified as sense_9557
