file;xml_id;form;normalisiert;action;review_grund;neu_lemmaRef;neu_pos;ziel_lemma_form;lemma_kandidaten;lemma_pos_alle;vers_n;vorvers;vers;folgevers;umfeld
WZB.tei.xml;WZB_1vb_25_3;hŏrent;hoerent;REVIEW;pos-mehrdeutig;;;hœren;lemma_2885;INJ NOM VRB;;;;;wesen Das sie gerne **hŏrent** lesen Oder selber lesen
WZB.tei.xml;WZB_2vb_37_1;ŏpfeltragendes;oepfeltragendes;REVIEW;lemma-kein-treffer;;;;;;;Und got nante die trucken erde vnd die sammenunge der wasser nante her die mer Vnd got sach das es gut was;Und sprach Gebere die erde grunende wurcze vnd machende samen Und ein **ŏpfeltragendes** holcz vnd GENESIS mache frucht noch seinen geslechte des same in im selbir sei auf der erden Und es geschach allso;Und furbrachte die erde grunende wurcze die samen trug noch irem geslechte vnd holcz das do machte frucht vnd hette samen ein yecliches noch seinem geslechte Und got sach das es gut was;machende samen Und ein **ŏpfeltragendes** holcz vnd GENESIS mache
WZB.tei.xml;WZB_5ra_14_3;Dŏrner;doerner;ANNOTATE;;lexicon.xml#lemma_1202;NOM;dorn;lemma_1202;NOM;;Czu vorwar sprach er Dorumbe das du vndertenig bist gewest der stimme deiner hausvrowen vnd hast gessen von dem bovme von dem ich dir gepoten hette das du des nicht soldest essen Uorfluchet sei die erde in deinem wercke In arbeit wirstu sie essen alle die tage deines lebens;**Dŏrner** vnd disteln wirt sie dir tragen vnd wierst essen die wurcze der erden;In dem sweisse deines antlitczes wirstu essen dein brot bis das du wider kvmest in die erden aus der du genvmen bist wenne stoup bistu vnd czu stoube wirdestu werden;die tage deines lebens **Dŏrner** vnd disteln wirt sie
WZB.tei.xml;WZB_5ra_27_3;rŏkke;roekke;REVIEW;lemma-kein-treffer;;;;;;;Und nante sein hausvrowe do von das sie ein muter was aller lebendingen;Und got herre machte vnd seiner hausvrowen aus heuten **rŏkke** vnd tat in die an;vnd sprach Secht wie worden yst recht sam einer aus vns kunnende gutes vnd bŏses Dorvmbe nv das er icht lase sein hant vnd neme ouch von dem holcze des lebens vnd esse vnd lebe ewiclich;seiner hausvrowen aus heuten **rŏkke** vnd tat in die
WZB.tei.xml;WZB_7ra_27_3;bŏsten;boesten;REVIEW;pos-mehrdeutig;;;bœse;lemma_788;ADJ ADV GRA NOM;;Hvnen waren aber auf der erden in den selben tagen wenne dornach vnd eingegangen waren die kinder gotis czu den tochtern der menschen vnd die geparen sie Dicz sint die mechtigen von der werlde die vorrmerten man;Aber got sach das vil bozheit der leute was in der erden Und alle gedancken des herczens geneiget waren zu dem **bŏsten** alle czeit;vnd berawe in das er den menschen hett gemacht in der erden V Und behutte das in die zukvnft vnd wart gerurt inwendig in leide des herczens;geneiget waren zu dem **bŏsten** alle czeit vnd berawe
WZB.tei.xml;WZB_7rb_21_1;hŏlczern;hoelczern;REVIEW;lemma-kein-treffer;;;;;;;Do sprach er zu Das ende alles vleisches ist komen vor mir Erfullet ist die erde in sunden von irr angesicht vnd ich wil sie vorterben mit der erden;Mache dir ein arche von gefugen **hŏlczern** wonunglein mache in die arche Und mit leime smier sie innewendick vnd auswendig;Und allso mache sie Dreihundert dovmelen sol haben die lenge der archen vnd funfczick dovmelen ir breite vnd dreissick dovm elen ir hohe;ein arche von gefugen **hŏlczern** wonunglein mache in die
WZB.tei.xml;WZB_7vb_20_4;gevŏggeln;gevoeggeln;REVIEW;lemma-kein-treffer;;;;;;;Und ein gienck vnd seine kinder sein hausvrow vnd seiner kinder hausvrowen mit im in die arche durch die wasser der flute;Und von allen tiren reinen vnd vnreinen Und aus allen **gevŏggeln** vnd aus allem dem das sich ruret auf der erden;czwei vnd czwei ein giengen zu in die archen knechtel vnd meidel als gepoten hett vnser herre;vnreinen Und aus allen **gevŏggeln** vnd aus allem dem
WZB.tei.xml;WZB_8ra_35_0;hŏher;hoeher;REVIEW;pos-mehrdeutig;;;hôch;lemma_2866;ADJ ADV GRA NOM;;vnd die wasser namen sere vber hant auf der erden Und bedackt wurden alle hohe perge vnder dem himel;Funfczehen dovmelen was das wasser **hŏher** vber die perge die es hett bedackt;Und vortilget wart alles vleisch das sich rurte auf GENESIS der erden Des gevŏgils der tir der wilt vnd aller krichenden tir die do krichen auf der erden Alle menschen;dovmelen was das wasser **hŏher** vber die perge die
WZB.tei.xml;WZB_8rb_2_5;gevŏgils;gevoegils;REVIEW;lemma-kein-treffer;;;;;;;Funfczehen dovmelen was das wasser hŏher vber die perge die es hett bedackt;Und vortilget wart alles vleisch das sich rurte auf GENESIS der erden Des **gevŏgils** der tir der wilt vnd aller krichenden tir die do krichen auf der erden Alle menschen;vnd alles das in dem der geiste des lebens was in der erden die sturben;GENESIS der erden Des **gevŏgils** der tir der wilt
WZB.tei.xml;WZB_9ra_13_3;bŏzem;boezem;REVIEW;lemma-kein-treffer;;;;;;;dorumbe stifte einen alter vnserm herren vnd hube auff von allem reinem vihe vnd vogeln vnd opferte gancz enczvntes opfer auf den alter;Und vnser herre roch den ruch der susicheit vnd sprach zu im Mit nichte nicht vorrfluche ich furbas der erden durch die menschen wenne die sinne vnd die gedancken menschliches herczens zu **bŏzem** geneiget sint von irr iugent Dorvmbe wil ich nicht furbas slahen ein yecliche lebendige sele als ich habe getan;Alle tage der erden sehens vnd sneidens kelde vnd wirme svmer vnd winter nacht vnd tack nicht sullen ruen;gedancken menschliches herczens zu **bŏzem** geneiget sint von irr
WZB.tei.xml;WZB_9rb_19_2;vŏgeln;voegeln;ANNOTATE;;lexicon.xml#lemma_7154;NOM;vogel;lemma_7154;NOM;;Secht ich wil seczen meinen fride mit euch vnd mit ewerm samen noch euch;Und zu aller lebendiger sele die do ist mit euch also wol in **vŏgeln** als in grosem vihe vnd in cleinem der erden vnd allem dem das aus der archen gegangen ist Und allen wilden der erden;Ich wil seczen meinen fride mit euch vnd mit nichte nicht furbas wirt vorterbet alles vleisch mit wassern der flute noch enwirt furbas kein flut zu reisende die erde;euch also wol in **vŏgeln** als in grosem vihe
WZB.tei.xml;WZB_10rb_9_3;grŏsseren;groesseren;REVIEW;pos-mehrdeutig;;;grôz;lemma_2534;ADJ ADV GRA NOM;;Dicz sint di kinder von in iren kvnden vnd czungen vnd in iren geperungen vnd landen vnd in irn geslechten;Und von wurden geborn die veter aller kinder bruder des **grŏsseren**;Dicz sint die kinder vnd vnd vnd vnd;aller kinder bruder des **grŏsseren** Dicz sint die kinder
WZB.tei.xml;WZB_11rb_21_2;grŏsen;groesen;REVIEW;pos-mehrdeutig;;;grôz;lemma_2534;ADJ ADV GRA NOM;;Aber vnser herre sprach zu Gee aus von deinem lande vnd von deiner mageschaft vnd von dem house deines vaters Und kvm in ein lant das ich dir czeige;vnd ich wil machen dich in ein gros geslechte vnd wil **grŏsen** deinen namen vnd wirst gesegent;vnd wil gesegen den die dich gesegen vnd wil fluchen den die dir fluchen vnd in dir werden gesegent alle geslechte der erden;gros geslechte vnd wil **grŏsen** deinen namen vnd wirst
WZB.tei.xml;WZB_12rb_27_4;gegnŏten;gegnoeten;REVIEW;lemma-kein-treffer;;;;;;;Und erwelte im das reich bei dem vnd czoch von Und wurden gescheiden von ein ander ýeclicher von seinem bruder;wonte in dem lande vnd was bleibende in den **gegnŏten** bei dem vnd wonte zu;Aber die waren bŏze vnd groze svnder vor vnserm herren;was bleibende in den **gegnŏten** bei dem vnd wonte
WZB.tei.xml;WZB_13ra_32_4;hŏhsten;hoehsten;REVIEW;pos-mehrdeutig;;;hôch;lemma_2866;ADJ ADV GRA NOM;;Und aus czoch im entgegen der kunic von Do er wider quame von der Slahunge Vnd der kunige die mit im waren in dem das do heisset;Und vorwar der kvnic von brachte brot vnd wein wenne er was priester des **hŏhsten** gotis;vnd gesegent im vnd sprach Gesegent sei von dem hŏhsten gote der do hat geschep ESIS fet himel vnd erden;er was priester des **hŏhsten** gotis vnd gesegent im
WZB.tei.xml;WZB_13ra_35_0;hŏhsten;hoehsten;REVIEW;pos-mehrdeutig;;;hôch;lemma_2866;ADJ ADV GRA NOM;;Und vorwar der kvnic von brachte brot vnd wein wenne er was priester des hŏhsten gotis;vnd gesegent im vnd sprach Gesegent sei von dem **hŏhsten** gote der do hat geschep ESIS fet himel vnd erden;Und gesegent sei der hŏchste der do beschirmet wenne die veinde sint in deiner hant Und gab im den czehenden aus allem dem das er hett;Gesegent sei von dem **hŏhsten** gote der do hat
WZB.tei.xml;WZB_13rb_3_2;hŏchste;hoechste;REVIEW;pos-mehrdeutig;;;hôch;lemma_2866;ADJ ADV GRA NOM;;vnd gesegent im vnd sprach Gesegent sei von dem hŏhsten gote der do hat geschep ESIS fet himel vnd erden;Und gesegent sei der **hŏchste** der do beschirmet wenne die veinde sint in deiner hant Und gab im den czehenden aus allem dem das er hett;Aber der kunic von sprach zu Gib mir die selen das ander habe dir;Und gesegent sei der **hŏchste** der do beschirmet wenne
WZB.tei.xml;WZB_13va_31_7;vŏgil;voegil;REVIEW;lemma-kein-treffer;;;;;;;Und vnser herre antworte im Nim dir sprach er ein drei ierige ku vnd ein drei ierige czigen vnd einen wider der dreier iare alt sei ein turckel touben vnd auch ein touben;Und er hube auf dicz alles vnd teilte das in czwei vnd beide dise teil leite her gegen ein ander eines anders wenne das ander Aber die **vŏgil** teilte er nicht;Nu quame das gevŏgil auf die as vnd vorvleugte sie;das ander Aber die **vŏgil** teilte er nicht Nu
WZB.tei.xml;WZB_14va_13_4;grŏslich;groeslich;REVIEW;pos-mehrdeutig;;;grôzlich;lemma_2536;ADJ ADV;;N Noch enwirt furbas dein name nicht mer geheissen svnder du wirft geheissen wenne einen vater vil geslechte hab ich dich gesaczt;Und ich wil machen dich wachsende **grŏslich** vnd wil dich seczen in ge slechte vnd kunige werden aus dir kvmen;Und wil setczen meinen frid czwischn mir vnd dir vnd czwischen deinem samen noch dir in iren gepe rungen in ewigem fride also das ich sei dein got vnd deines samens noch dir;wil machen dich wachsende **grŏslich** vnd wil dich seczen
WZB.tei.xml;WZB_16ra_6_5;tŏtest;toetest;REVIEW;pos-mehrdeutig;;;tœten;lemma_6133;NOM VRB;;Ist das funfczig gerechte in der stat sint sullen sie GENE vorterben mit ein ander vnd wiltu nicht vortragen der stat vmb funfczig gerechte ob sie dorinne sint;Das sei von dir das du das dink tust das du **tŏtest** den gerechten mit dem vngerechten vnd das der gerechte werde als der vngerechte Das ist nicht dein der do vrteilet alle werlt Mit nichte nichte tu das gerichte;vnd vnser herre der sprach zu im Ist das ich vinde in funfczig gerechte in der mitte der stat Ich wil alle der stat durch sie;dink tust das du **tŏtest** den gerechten mit dem
WZB.tei.xml;WZB_17ra_13_5;gegrŏzet;gegroezet;ANNOTATE;;lexicon.xml#lemma_75133;VRB;grœʒen;lemma_75133;VRB;;Und sprach zu in Ich bite mein herre;wenne genade funden hat dein knecht vor dir vnd hast **gegrŏzet** dein barmherczicheit die du hast getan mit mir so das du heiltest mein sele Noch ich enmag nicht heil werden ouf dem perge das leichte mich icht begreife diese pflage vnd sterbe;Es ist hie bei ein cleine stat zu der ich gevlihen mag vnd werde heil in ir ist sie nicht wenick so nv vnd das meyn sele lebe;vor dir vnd hast **gegrŏzet** dein barmherczicheit die du
WZB.tei.xml;WZB_17rb_37_1;grŏsere;groesere;REVIEW;lemma-kein-treffer;;;;;;;Kume dan mache wir in truncken mit wein vnd slafen bei im so das wir mugen behalten den samen von vnserm vater;Und also gaben sie irem vater wein zu trincken die selbe nacht Vnd die **grŏsere** gienk ein czu dem GEN vater vnd slief mit im Und her enpfant des nicht weder do si sich zu im legte die tochter noch wenne sie von im ouf stund;Und dez andern tages sprach die grosere zu der mynnern Sich nechten hab ich geslafen mit meinem vater Gebe wir im wein czu trincken ouch dise nacht vnd slafe du mit im so das wir heil machen den samen von vnserm vater;selbe nacht Vnd die **grŏsere** gienk ein czu dem
WZB.tei.xml;WZB_18rb_35_5;hŏrt;hoert;REVIEW;pos-mehrdeutig;;;hœren;lemma_2885;INJ NOM VRB;;do er hundert iar alt was Wenne in dem alder des vaters wart geporn;Und sprach Ein gelechter hat mir got gemacht vnd wer das **hŏrt** der wirt lachen mit mir;Und aber GENE sprach sie Welcher hŏrende geloubte des das seugte einen svn den sie im gepert hat also alden;gemacht vnd wer das **hŏrt** der wirt lachen mit
WZB.tei.xml;WZB_18va_2_5;hŏrende;hoerende;REVIEW;pos-mehrdeutig;;;hœren;lemma_2885;INJ NOM VRB;;Und sprach Ein gelechter hat mir got gemacht vnd wer das hŏrt der wirt lachen mit mir;Und aber GENE sprach sie Welcher **hŏrende** geloubte des das seugte einen svn den sie im gepert hat also alden;Nu wuchs dorumbe das kint vnd wart entwenet Und machte ein grose wirtschaft an dem tage seiner entwenung;GENE sprach sie Welcher **hŏrende** geloubte des das seugte
WZB.tei.xml;WZB_20va_17_2;bŏvme;boevme;REVIEW;lemma-kein-treffer;;;;;;;Do das horte do hienk her an die wage das gelt das gevordert hette Das do horten die Uier hundert scoth silbereiner vnd vorsuchter offenbarr mvncze;Und bestetigt wart der acker der etwenne was in den do was ein czwiualdige gruft sehende gegen also wol der acker als die gruft vn̄ alle sein **bŏvme** in allen seinen enden in dem vmbringe;abraamen zu einer besiczunge das es sahen vnd alle die durch die pforten der stat giengen;gruft vn̄ alle sein **bŏvme** in allen seinen enden
WZB.tei.xml;WZB_23vb_37_0;Ŭmb;uemb;REVIEW;pos-mehrdeutig;;;umbe;lemma_6422;ADV PRP;;Nu kochte sie ein mvs Czu dem do komen was von dem acker mude;Und sprach Gib mir ouch von dem roten gekochte wenne ich bin gar mude **Ŭmb** dise geschicht wart sein GEN name geheissen;Czu dem so sprach Uorkoufe mir dein erste gepurt;ich bin gar mude **Ŭmb** dise geschicht wart sein
WZB.tei.xml;WZB_24va_12_1;mŏchte;moechte;REVIEW;pos-mehrdeutig;;;mügen;lemma_4240;VEM VRB;;Und sante noch im vnd sprach Offenbar ist das sie sei dein housvrowe worumb hast du gelogen das sie sei dein swester Er antworte Ich vorchte das ich icht sturbe durch sie;Und der sprach v Worumb hastu vns das getan Es **mŏchte** yemant ous dem volke mit deinem wibe haben vmb gegangen vnd hettest ouf vns gefurt grose svnde;Und gepot allem volke vnd sprach Wer dicz menschen housvrowe an ruret des todes wirt er sterben;vns das getan Es **mŏchte** yemant ous dem volke
WZB.tei.xml;WZB_25vb_11_8;blŏse;bloese;ANNOTATE;;lexicon.xml#lemma_9823;NOM;bloeze;lemma_9823;NOM;;Und gar gutes gewant das sie bei ir do heime hette das legte sie im an;vnd die vele von den czicklein stalte sie im vmb die hende vnd die **blŏse** des halses bedackte sie im do mite;Und gab im die spise die sie gekocht hette vnd die brot gab sie im;die hende vnd die **blŏse** des halses bedackte sie
