file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
AC1.tei.xml;AC1_3110_9;fro;;ANNOTATE;;ja;ADJ;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'was ich' in der Reihung 'frut und fro': Adjektiv 'froh', deckt sich mit pos_prior.;"wesens beraubet , tegelicher guter lebtage entweret und aller wünnebringender rente geeußert . frut und **fro** was ich vormals zu aller stunt ; kurz und lustsam was mir alle weil ,"
AC1.tei.xml;AC1_27160_14;fro;;ANNOTATE;;ja;ADJ;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'ist ein man' in der Reihung 'wünnesam, lustsam, fro und wolgemut': Adjektiv 'froh'.;wolte ich leben , die weil lebend were mein leben ! wünnesam , lustsam , **fro** und wolgemut ist ein man , der ein biderweib hat , er wander wo er
AC2.tei.xml;AC2_4170_1;fro;;ANNOTATE;;ja;ADJ;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Prädikativ zu 'was ich vormals' in der Reihung 'frut unde fro': Adjektiv 'froh', deckt sich mit pos_prior.;wesens beraubet , teglicher guter lebtag enterbet und aller wunnbringenden rent geeussert . frut unde **fro** was ich vormals zu aller stunt , kurtz und lustsam was mir alle weil tag
AC2.tei.xml;AC2_43070_12;fro;;ANNOTATE;;ja;ADJ;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Prädikativ zu 'ist ein man' in der Reihung 'lustsam, fro und wolgemut': Adjektiv 'froh', deckt sich mit pos_prior.;ich leben : die weil ich lept , were mein leben wunnsam . lustsam , **fro** und wolgemut ist ein man , der ein biderbes weip hat , er wander ,
AC3.tei.xml;AC3_5040_1;fro;;ANNOTATE;;ja;ADJ;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Prädikativ zu 'was ich' in der Reihung 'frut vnd fro', Kontrast zu 'beraubet, enterbet': Adjektiv 'froh', deckt sich mit pos_prior.;"wesens beraubet , tegelicher guter lebetage enterbet vnd aller wunnebringender rente geeussert . frut vnd **fro** was ich vormals zu aller stunt ; kurz vnd lustsam was mir alle weile tag"
AC3.tei.xml;AC3_30180_2;fro;;ANNOTATE;;ja;ADJ;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Prädikativ zu 'ist ein man' in der Reihung 'wunnesam, lustsam, fro vnd wolgemut': Adjektiv 'froh', deckt sich mit pos_prior.;wolte ich leben , die weile lebend were mein leben . wunnesam , lustsam , **fro** vnd wolgemut ist ein man , der ein bider weib hat , er wandere ,
ATF.tei.xml;ATF_471171060_0;fro;;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'wurd' mit Konsekutivsatz (wurd er also fro, das er ...): Adjektiv 'froh'.;abbt erwelt . und als das der selb min maister hort , wurd er also **fro** , das er sich glich uff huob und gen cappel ylte , sinen gesellen als
BRW.tei.xml;BRW_222010_7;fro;1;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'bin' mit Genitivobjekt 'des ... kúniges milte' (ich bin ... fro): Adjektiv 'froh'.;ich bin des edeln werden kúniges milte **fro** / dar ine er lebt und da bi pfligt so tugentlicher guete
CRO.tei.xml;CRO_948200_3;fro;9482;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'wurden' (si wurden bedenthalben fro): Adjektiv 'froh'.;als si ein ander gesahen , / si wurden bedenthalben **fro** . / die meit nam er zuo im do ,
CRO.tei.xml;CRO_1260000_5;fro;12600;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'was' mit Genitivobjekt 'des ... sin': Adjektiv 'froh'.;denn sust ieman siner gesellen : / des was er sin also **fro** . / ein hoff wart gebotten do
CRO.tei.xml;CRO_1286400_5;fro;12864;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'wùrd' im Folgevers (nymmer fro wùrd), 'von mynne' ist Praepositionalphrase: Adjektiv.;entruwen , ich wolt des e swern , / daz ich von mynne nymmer **fro** / wùrd , e ich ertrùncke so . >
CRO.tei.xml;CRO_1370700_3;fro;13707;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'wart' (nü wart sgoydamur fro): Adjektiv 'froh'.;wurden sie enpfangen da . / nü wart sgoydamur **fro** , / da sie an dem mule gesah
CRO.tei.xml;CRO_1380000_3;fro;13800;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'bin' (des bin ich fro): Adjektiv 'froh'.;mich mynnen , das lob ich , / des bin ich **fro** und hergib mich . / herre , hant ir ùch des bedoht ,
CRO.tei.xml;CRO_1459900_3;fro;14599;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Gradpartikel 'vil' und Kopula 'wart' (des vil fro wart): Adjektiv 'froh'.;jch enweisz , wes er da genosz . / gawein des vil **fro** wart , / das yme also die jnuart
CRO.tei.xml;CRO_1538200_4;fro;15382;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'wart' mit Genitiv 'der rede': Adjektiv 'froh'.;den se , das wùrt nit vermitten . > / der rede wart gawein **fro** . / die naht verswant vnder jne da
CRO.tei.xml;CRO_1593100_4;fro;15931;ANNOTATE;;ja;;ADJ;;lexicon.xml#lemma_7250;;variants.xml#type_41787;lemma_7250;ADJ;high;Praedikativ zu 'was' mit Genitiv 'dirre auentùre': Adjektiv 'froh'.;den er was geritten e . / dirre auentùre was er **fro** . / an ein strasze kerte er da ,
