form	count	sample_contexts
ł	514	es also ł wolde sagen || muste czu ł vnd abe || irem vbirmut ł vnd hon
geczeldis	115	gleichnusse des geczeldis als ich || hinderteil des geczeldis vnd ein || tafeln des geczeldis von sethimischem
CAPITULUM	106	tag II CAPITULUM Uolkvmen sint || nicht III CAPITULUM Sunder auch || lebens IIII CAPITULUM vorwar erkante
geperte	99	namen Dornach geperte vnd geperte || geperte vnd geperte vnd geperte || geperte vnd geperte Und geperte
wustenunge	92	in der wustenunge vnd sein || in der wustenunge do er || in der wustenunge vnd behaldet
EXO	88	Dornach hebit EXO sich an || e xxx EXO von svnder || iuncvrowen die EXO giengen ouf
ERI	86	ouf Aber ERI ouf slahen || ampten der ERI vnd iren || vnder den ERI wenne also
-	80	aus also - e toho || touben vnd - auch ein || sprach zu - im Ich
DEUTRO	79	die vnser DEUTRO herre gepoten || ؞ toho DEUTRO ouf gehalden || nicht er DEUTRO schrick noch
NOMIUS	79	in dem NOMIUS virczigisten iare || saczte die NOMIUS zu fursten || vnd vns NOMIUS an der
besiczunge	78	einer ewigen besiczunge vnd ich || zu einer besiczunge des grabes || zu einer besiczunge das es
dorumbe	76	gebe in dorumbe czu lone || Uolkvmen sint dorumbe himel vnd || Nu bilte dorumbe got den
GENE	76	irm W GENE geslechte giengen || cap ̄ GENE wolken den || X cap̄ GENE vnd vnd
scot	69	silbereiner schot scot wert Das || wugen czwei scot Und als || wugen czehen scot vnd gab
housvrowen	68	hant seiner housvrowen vnd seiner || czu einer housvrowen Do aber || was der housvrowen bruder vnd
svnen	60	den eilf svnen vnd czoch || zu seinen svnen Worumbe saumet || zu seinen svnen Kert hin
svnes	58	noch seines svnes namen Dornach || hausvrow seines svnes Und svn || svn seines svnes svn das
house	57	von dem house deines vaters || ous dem house meines vaters || von dem house meines vaters
geczeuknusse	56	lege das geczeuknusse das ich || arche des geczeuknusse in die || vorgespannen dem geczeuknusse Und seczen
czehenden	51	an den czehenden meneden wenne || GENESIS dem czehenden mened an || im den czehenden aus allem
geczelde	50	an dem geczelde vnd werden || in dem geczelde des geczeuknusses || vor dem geczelde des geczeuknusses
czigen	49	drei ierige czigen ł vnd || in den czigen das mein || in den czigen das do
besiczen	47	samen wirt besiczen die pforten || geben zu besiczen dorvmbe sagte || sie steticlich besiczen Und gesenftet
LEUITICUS	47	geczeldis U LEUITICUS Und die || ander giesse LEUITICUS her an || mit swe LEUITICUS ren oder
ousseczikeit	46	slac der ousseczikeit Den fure || sicht die ousseczikeit an der || gestalt der ousseczikeit legir der
toho	45	W zde toho GENESIS ir || vnserm herren toho pzde toho || toho pzde toho toho pzde
opfertir	41	im geopfert opfertir vnd habn || euch ein opfertir vnserm herren || ir opfern opfertir Ist das
menedis	40	tage des menedis zu brochen || tage des menedis auf den || tage des menedis erschinen die
archen	39	lenge der archen vnd funfczick || in die archen vnd in || tur der archen secze zu
seulen	39	einer sewereinen seulen vnd der || brich ire seulen vnd dienet || vor vier seulen von sethimischen
semil	39	was sam semil mit honige || Ein czehenteil semil besprengt mit || der pfannen semil LEVI mit
mageschaft	38	von deiner mageschaft vnd von || alle seine mageschaft die kinder || ouf seine mageschaft Vnd wil
housvrowe	38	nam sein housvrowe vnd seines || vmb mein housvrowe Und werlich || vnd sein housvrowe vnd seine
geheissen	36	Die wirt geheissen ein mennynne || dorumb wart geheissen ir name || nicht mer geheissen svnder du
geslechten	35	in iren geslechten Aber die || in irn geslechten Und von || in iren geslechten Der erste
ouff	35	hebe sie ouff vnd czeuch || vnd stund ouff vnd gienk || mit housvrowen ouff den wegen
guldeine	35	vas vnd guldeine vnd gewant || vas vnd guldeine vnd gewant || vas vnd guldeine Aber vnser
gepite	35	vnser herre gepite von euch || ich dir gepite Nu ERI || ich dir gepite redest Nu
ŏl	34	vnd gos ŏl dor ouf || gar clares ŏl von ŏl || ŏl von ŏl bovmen mit
dovm	33	vnd dreissick dovm elen ir || haben czwu dovm DUS elen || weite ein dovm elen vnd
housvrow	32	ouf dein housvrow vnd deine || Und sein housvrow die sach || wider sein housvrow vnd sprach
geczeuknusses	32	archen des geczeuknusses alles das || geczelde des geczeuknusses ouserthalbe des || geczeldis des geczeuknusses Und nim
gemeiligt	31	nicht werden gemeiligt Wenne vnser || - hast gemeiligt sein bette || wirt her gemeiligt Nicht steige
ycliche	31	vnd ein ycliche vrow̆e von || mynner Sunder ycliche noch dem || der do ycliche czehen dovm
pergis	31	spicze des pergis vnd halden || ende des pergis Aber der || ende dicz pergis zu DUS
vortilgen	30	Ich wil vortilgen sprach er || vnd wil vortilgen alle hab || flute zu vortilgen alles vleisch
mvnde	30	in dem mvnde Do von || in deinem mvnde vnd wil || in deinem mvnde vnd in
veisticheit	30	von der veisticheit der erden || In der veisticheit der erden || bleiben die veisticheit des opfers
heiligtumes	30	wage des heiligtumes Und ŏl || wage des heiligtumes Aber die || gewichte des heiligtumes ein halbes
tŏchter	29	svne vnd tŏchter Und gemacht || svne vnd tŏchter Und lebte || svne vnd tŏchter Und lebte
thoho	29	m ca thoho pzde thoho || thoho pzde thoho xxx W || w e thoho nily boze
weirouch	28	das zu weirouch ouf den || zu einem weirouch ouf den || enczundet den weirouch wirt steen
czeuhet	27	sich er czeuhet dir enkegen || do man czeuhet gegen do || mit vns czeuhet so czihe
houses	26	vnd meines houses schaffers svn || geperungen Ewers houses diener also || knechte seines houses vnd alle
silbereine	26	Sich tousent silbereine hab ich || vnd nam silbereine vas vnd || vmbe dreissick silbereine pfenninge Die
hŏe	26	vnd ir hŏe rurte an || machten ein hŏe sam ein || ouf der hŏe des vbers
hochczeit	26	machte ein hochczeit Und des || der begirlichen hochczeit do begond || ist ein hochczeit vnserm herren
few̆er	25	in dem few̆er Und sie || swebil vnd few̆er von dem || von dem few̆er vnd vngesaurtes
enczunten	25	des gancze enczunten opfers Do || des gancz enczunten opfers mein || einem gancz enczunten opfer zu
czihet	25	heile ir czihet nicht von || kercker aber czihet ir vnd || ir hin czihet mein alden
heiligtum	25	herre Dein heiligtum herre das || mir ein heiligtum Und so || furhange das heiligtum vnd die
czugen	25	scharen vnd czugen noch den || beschirmte denne czugen Und an || vnsers herren czugen sie vnd
ierige	24	ein drei ierige ku vnd || ein drei ierige czigen ł || broten siben ierige vngemeiligte lemmer
ŏle	24	vnd gos ŏle dorouf vnd || sethimisch holcz ŏle liecht zu || sei mit ŏle Und laganich
dreissik	24	siben vnd dreissik Die kinder || siben vnd dreissik Und die || geb sie dreissik Aber von
gŏten	24	len egiptischen gŏten wil ich || opfern den gŏten vnd halde || opfert den gŏten den sol
creisse	24	durch ewer creisse Und iagen || ist ein creisse teilende die || durch deine creisse Der wold
Dorumbe	23	im gleich Dorumbe got herre || sprach er Dorumbe das du || der erden Dorumbe nv wirstu
geperunge	23	sint die geperunge was ein || in diser geperunge Aus allen || noch seiner geperunge Und ein
gŏte	23	gestoln meine gŏte ̃ Und || deine SIS gŏte vindest den || hette die gŏte vorstoln Und
rute	23	her Ein rute Und vnser || in ein rute So das || Und dise rute nim in
vorhank	23	werden ein vorhank von czweinczig || her einen vorhank ouf seyn || vnd einen vorhank der do
reinigunge	23	slehest der reinigunge opfer tu || zu seiner reinigunge Und slahe || blute irr reinigunge Alles heilige
ganczenczuntem	23	ander zu ganczenczuntem opfer Und || wider zu ganczenczuntem opfer mit || lamp zu ganczenczuntem opfer vnserm
creis	23	ist ein creis der kinder || wirt ewer creis Niemant mag || ist ein creis der kinder
pzde	22	herren toho pzde toho toho || toho toho pzde toho toho || toho toho pzde toho e
vleisches	22	ende alles vleisches ist komen || alles v vleisches czwei fur || sele alles vleisches die do
vortilget	22	bedackt Und vortilget wart ł || vnd wurden vortilget von der || sele wirt vortilget aus seinem
steigen	22	an ir steigen ouf vnd || vnd sach steigen die mar || das sie steigen ouf die
weip	22	vnd ire weip furten sie || enpfienk das weip vnd stund || sprach das weip ł Worumbe
busovnen	22	schal der busovnen sterclichen erschalte || schal der busovnen wuchs meclich || schal der busovnen Und den
̃	21	hastu getan ̃ Die stimme || vns getan ̃ Was wir || in dich ̃ wenne du
czeuch	21	vor dir; czeuch von mir || zu meiner czeuch vnd von || vaters hous czeuch vnd von
dorvmbe	20	Nu sach dorvmbe das wip || Nu sante dorvmbe der kunig || hant Und dorvmbe hies sie
ieriges	20	meil ein ieriges knechtil noch || czigen ein ieriges knechtil vnd || vnd ein ieriges lamp vnd
doum	20	vmbhenge funfczig doum elen lanck || werden funfczig doum elen Des || vorhanges funfczehen doum elen einer
friedsamen	20	wider die friedsamen opfertir des || vmme die friedsamen do steig || tyr der friedsamen Und eynen
czihende	19	fur bas czihende gegen mittemtage || her wider czihende Und wirt || machen ouf czihende von diser
getreides	19	do genug getreides weines vnd || halme voller getreides vnd gar || genvge des getreides in allen
enczuntes	19	vnd gancz enczuntes opfer wirstu || opferte gancz enczuntes opfer vnd || dorouf gancz enczuntes opfer vnd
bzde	19	gespro thoho bzde thoho EXO || tho ho bzde thoho EXO || a thoho bzde thoho bzde
hout	19	vnd die hout vnd den || geczihen die hout so sullen || opfers Die hout vorwar vnd
