lemma_id;lemma;pos;pos_alle;sprachen;sprachkonzepte;konzepte_gesamt;belege;texte;ana_sprache;ana_widerspruch;kein_ana;ana_unbekannt;urteil;begruendung
lemma_4377;niht;ADJ;ADJ ADV NEG NOM;Lateinisch;1;4;81088;639;81088;0;0;0;;
lemma_3028;in;PRP;PRP;Lateinisch;1;6;11986;348;10772;0;1214;0;;
lemma_13826;I;DIG;DIG;Lateinisch;1;2;4033;76;4033;0;0;0;;
lemma_717;bischof;NOM;NOM;Lateinisch;1;4;3035;122;3035;0;0;0;;
lemma_5309;schrîben;INJ;INJ NOM VRB;Lateinisch;1;8;3007;213;295;0;2712;0;;
lemma_3330;klâr;ADJ;ADJ ADV GRA NOM;Lateinisch;1;11;2530;196;284;13;2233;0;;
lemma_1411;engel;NOM;NOM;Lateinisch;1;7;2165;196;1723;0;442;0;;
lemma_4306;name;NOM;NOM;Lateinisch;1;2;1367;169;1367;0;0;0;;
lemma_7924;zunge;NOM;NOM;Einzelsprachen;1;10;1271;188;14;224;1033;0;;
lemma_3477;kriuze;NOM;NOM;Lateinisch;1;7;1247;159;1247;0;0;0;;
lemma_1732;et;CNJ;CNJ;Italienisch Lateinisch;2;3;1237;122;1237;0;0;0;;
lemma_4318;natûre;NOM;NOM;Lateinisch;1;9;1220;125;38;0;1182;0;;
lemma_5315;schrift;NOM;NOM;Lateinisch;1;5;1117;131;118;0;999;0;;
lemma_3726;lewe;NOM;NOM;Lateinisch;1;3;1028;135;1028;0;0;0;;
lemma_4101;missa;NOM;NOM;Lateinisch;1;7;873;124;871;2;0;0;;
lemma_23180;marter;NOM;NOM;Lateinisch;1;9;747;126;747;0;0;0;;
lemma_28;abbet;NOM;NOM;Lateinisch;1;4;739;54;739;0;0;0;;
lemma_4978;rote;NOM;NOM VRB;Französisch;1;7;738;75;48;0;690;0;;
lemma_374;baniere;NOM;NOM;Französisch;1;6;735;81;66;0;669;0;;
lemma_4134;minner;ADJ;ADJ ADV GRA NOM;Lateinisch;1;4;713;161;713;0;0;0;;
lemma_1033;creatura;NOM;NOM;Lateinisch;1;7;620;115;620;0;0;0;;
lemma_5603;soldân;NOM;NOM;Arabisch;1;7;613;19;586;0;24;3;;
lemma_13989;dominus;NOM;NOM;Lateinisch;1;9;603;43;603;0;0;0;;
lemma_10599;mort;INJ;INJ NOM;Französisch;1;9;594;132;27;1;566;0;;
lemma_27037;item;ADV;ADV CNJ;Lateinisch;1;3;540;30;540;0;0;0;;
lemma_1785;fîn;ADJ;ADJ ADV GRA NOM;Französisch;1;3;523;95;523;0;0;0;;
