file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext;vorgaenger_pos;schwer;pruefung;anmerkung
ABG.tei.xml;ABG_403030_12;stat;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Subjekt des Satzes mit Genitivattribut und Adjektiven ('gotes natiurlîchiu eigen stat').;ieclich dinc ist gerne an sîner natiurlîchen eigen stat . nû ist gotes natiurlîchiu eigen **stat** einicheit und lûterkeit , daz kumet von abegescheidenheit . dâ von muoz got von nôt;ADJ;nein;;
AK.tei.xml;AK_47364_6;stat;47364;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Praeposition 'fuer' plus Artikel 'die', Objekt zur Stadt Akkon.;si tuon mir solhen rât , / daz ich hinz akers für die **stat** / hundert tûsent man bringe;ART;nein;;
AMI.tei.xml;AMI_497_2;stat;497;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'in die stat ze paris', Richtungsangabe mit Artikel und Ortsname.;er reit ze kerlingen / in die **stat** ze paris / quam der phaffe amis ,;ART;nein;;
ATF.tei.xml;ATF_330982070_2;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'in der stat arbon by dem bodemsee': Artikel und Ortsname, klar Stadt.;sust on sin schuld begegnot , tuot er alles vernichten und verachten . in der **stat** arbon by dem bodemsee hat ain burger ainen knecht , was nit vast witzig .;ART;nein;;
AXH.tei.xml;AXH_1205_6;stat;1205;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Praedikatsnomen in 'ez sî hêrre oder ez sî stat'.;iu neigen und ze dienste hân , / ez sî hêrre oder ez sî **stat** , / dâ man niht rehtes zuo hât;VRB VEX;ja;;
AXR.tei.xml;AXR_374400_3;stat;3744;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an der stat' als Praepositionalgruppe, koordiniert mit 'an vriund und an mâgen'.;an vriund und an mâgen dâ / und an der **stat** . er hiez sich sâ / tragen vür daz bürgetor ,;ART;nein;;
AXU.tei.xml;AXU_22398_5;stat;22398;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an daz stat' nach Praeposition mit Artikel: das Ufer, an das hinuebergerufen wird.;alexander aber bat / hin über ruofen an daz **stat** , / ob sie daz mohten gezechen ,;ART CNJ;nein;;
AXV.tei.xml;AXV_1139_5;stat;1139;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'fur die grôze stat' mit Artikel und Adjektiv, Ortsangabe zu babilonii.;niweht gedanchet er des , / ze babilonii fur die grôze **stat** . / alsus wart an den brîf gesazt .;ADJ;nein;;
CRO.tei.xml;CRO_1728200_1;stat;17282;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'die stat nach die erde': Artikel, Nominalphrase im Verwuenschungsruf.;da er dot sij gelegen , / die **stat** nach die erde ! / die zijt nymmer werde;ART;nein;;
CRO.tei.xml;CRO_2996400_5;stat;29964;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Fuegung 'stat werden' (Raum/Gelegenheit werden), nach Partizip 'worden' kein finites Verb moeglich.;hie mit er jne vnder trat . / sin möhte dem sin worden **stat** , / den sin schin hett gemaht satt .;VRB VEX;ja;;
EHB.tei.xml;EHB_25342090_4;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'in diser stat' mit Praeposition und Demonstrativ.;vndterweisen . du weist wol , das vil hübscher , starker iüngling sein in diser **stat** . auß den allen magstu dir einen fürnemen , domit du magst wollust haben vnd;DET;nein;;
FDS.tei.xml;FDS_1160006_4;stat;6;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Possessivum davor: 'saz an mine stat da nider'.;do gieng ich für die burc sa wider / und saz an mine **stat** da nider , / da ich die siechen aber vant ,;POS;nein;;
