folder,file,ext,kategorie,bytes,geaendert
(root),Ersetzungen.doc,.doc,text,40448,2014-02-27
(root),Gesammtabenteuer_Band1.pdf,.pdf,pdf,22058719,2017-10-10
(root),linecode Generator.dot,.dot,text,75264,2013-10-30
ERLEDIGT,20160119_WaltherHaupttext3_CodeDel.docx,.docx,text,125552,2016-01-19
ERLEDIGT,20160119_WaltherLeich_CodeDel.docx,.docx,text,18086,2016-01-19
ERLEDIGT,Albrecht von Eyb Eheb.doc,.doc,text,358400,2013-03-07
ERLEDIGT,Appolonius-cpg154.pdf,.pdf,pdf,85998962,2013-01-11
ERLEDIGT,ASL.txt,.txt,text,200411,2013-02-12
ERLEDIGT,Augsburger Sittenlehre.doc,.doc,text,425984,2013-03-08
ERLEDIGT,Brant Flugblatt Donnerstein.doc,.doc,text,126976,2013-09-28
ERLEDIGT,Christi Leiden.doc,.doc,text,99328,2013-03-12
ERLEDIGT,ChristiLeiden.docx,.docx,text,91540,2015-01-14
ERLEDIGT,Codierungsschema WvV.doc,.doc,text,23552,2004-11-03
ERLEDIGT,Das fließende Licht.docx,.docx,text,89169,2013-10-01
ERLEDIGT,Der Mantel.rtf,.rtf,text,504430,2014-08-04
ERLEDIGT,EB1.txt,.txt,text,16920,2013-03-13
ERLEDIGT,EB2.txt,.txt,text,11929,2013-03-13
ERLEDIGT,EHB.txt,.txt,text,274834,2013-03-10
ERLEDIGT,FAN.txt,.txt,text,14888,2013-03-13
ERLEDIGT,FLG.txt,.txt,text,133546,2013-11-15
ERLEDIGT,FLG1.doc,.doc,text,5111877,2013-12-20
ERLEDIGT,FR2.txt,.txt,text,22478,2013-01-16
ERLEDIGT,FR3.txt,.txt,text,522767,2013-01-16
ERLEDIGT,Frau Ava Juengstes Gericht.doc,.doc,text,39936,2013-02-20
ERLEDIGT,Frauenlob_Bd1.doc,.doc,text,548352,2013-01-11
ERLEDIGT,Frauenlob_Bd2-codiert.rtf,.rtf,text,2492607,2013-01-15
ERLEDIGT,Frauenlob_Bd2.rtf,.rtf,text,837035,2012-08-01
ERLEDIGT,GVV.txt,.txt,text,17109,2011-05-27
ERLEDIGT,HaesleinMHDBDB.doc,.doc,text,74752,2004-03-10
