file;xml_id;form;corresp;vers_n;vorvers;vers;folgevers;entscheidung;anmerkung
CHH.tei.xml;CHH_35880_2;wæren;variants.xml#type_273624;3588;daz ir uns recht tuet bechant;durch der **wæren** minne bant;diu iu hat gebunden;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
ENG.tei.xml;ENG_6217_2;wâren;variants.xml#type_273621;6217;in haete enzündet gotes geist;und der **wâren** minne gluot;daz er sîner kinde bluot;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
FR3.tei.xml;FR3_112206030480_3;woren;variants.xml#type_273713;48;daz es sich uff entslisse;baz gein der **woren** minne;so blibet an mir wernde;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
GRG.tei.xml;GRG_9690_3;wâren;variants.xml#type_273621;969;wart waz dâ wirt fröuden schîn;si habent die **wâren** minne;ez treit diu küniginne;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
HTR.tei.xml;HTR_30430_3;wâren;variants.xml#type_273621;3043;als uns selber ûzen und innen;swelch münich der **wâren** minne enbirt;âne nuz er sîn hâr abe schirt;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
HTR.tei.xml;HTR_30450_3;wâren;variants.xml#type_273621;3045;âne nuz er sîn hâr abe schirt;wenne swer die **wâren** minne hât;des herze ist ân missetât;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
HTR.tei.xml;HTR_87080_4;wâren;variants.xml#type_273621;8708;des herze mêre nâch boesem gewinne;stêt denne nâch der **wâren** minne;blî nazzer sant wart nie sô swêr;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
HTR.tei.xml;HTR_132360_4;wâren;variants.xml#type_273621;13236;daz ich daz minne beide ûzen und inne;daz mich beroube der **wâren** minne;swem liebet ze sêre der werlde guot;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
HTR.tei.xml;HTR_210240_2;wâren;variants.xml#type_273621;21024;alliu dîn glôrie ist enwiht;hâstu der **wâren** minne niht;wizzet daz niur vierleie liute;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
KWL.tei.xml;KWL_1014_1;wâren;variants.xml#type_273621;14;nu schenke uns in des herzen kopf;der **wâren** minne süezekeit;dû trüege wîlent grâwen schopf;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
