xml_id	resolved_sense	confidence	note
WZB_4ra_16_5	lemma_3028_sense_4833	high	in welchem tage = temporal: in/on which day (Gen 2:17)
WZB_4ra_33_3	lemma_3028_sense_4834	medium	sante einen slaf in = sent a sleep into (him); directional spatial (Gen 2:21)
WZB_4rb_3_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: genumen aus in = aus ihm (dative pronoun), not preposition
WZB_4rb_13_0	lemma_3028_sense_63605	high	in einem vleische = relational: in one flesh (Gen 2:24, unity formula)
WZB_4va_5_3	lemma_3028_sense_4834	high	die do sint in [dem Garten] = spatial: that are in [the garden] (Gen 3:2)
WZB_4va_7_5	lemma_3028_sense_4834	high	in der mitte des paradises = spatial: in the middle of paradise (Gen 3:3)
WZB_4va_14_4	lemma_3028_sense_4833	high	in welchem tage = temporal: on which day (Gen 3:5)
WZB_4va_21_0	lemma_3028_sense_4834	medium	schone in den ougen = spatial: beautiful in/to the eyes (Gen 3:6, site of perception)
WZB_4va_29_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: machten in do qwesten = machten ihnen/sich Schürzen (reflexive pronoun), not preposition
WZB_4va_32_0	lemma_3028_sense_4834	medium	wandernde in gegen dem weter = spatial/directional: walking in the cool/wind (Gen 3:8)
WZB_4va_36_3	lemma_3028_sense_4834	high	in der mitte des holczes = spatial: in the middle of the trees (Gen 3:8)
WZB_4vb_5_1	ABSTAIN	low	PROBABLE LEMMA MISMATCH: horte ich in = hörte ich es/ihn (accusative pronoun), not preposition
WZB_4vb_37_3	lemma_3028_sense_63605	high	in wetaden wirdestu geberen = relational/manner: in travail/pain (Gen 3:16 curse formula)
WZB_5ra_12_1	lemma_3028_sense_63605	high	in deinem wercke = relational: because of/in your work (Gen 3:17 curse)
WZB_5ra_12_6	lemma_3028_sense_63605	high	in arbeit wirstu sie essen = relational/manner: in toil/labor (Gen 3:17)
WZB_5ra_16_7	lemma_3028_sense_63605	high	in dem sweisse deines antlitczes = relational/manner: in the sweat of your face (Gen 3:19)
WZB_5ra_19_3	lemma_3028_sense_4834	high	in die erden = spatial/directional: into the earth/dust (Gen 3:19 return to dust)
WZB_5ra_28_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: tat in die an = tat ihnen an (dative pronoun), not preposition
WZB_5ra_36_0	ABSTAIN	low	PROBABLE LEMMA MISMATCH: aus stiesse in = stieß ihn hinaus (accusative pronoun), not preposition
WZB_5rb_3_8	ABSTAIN	low	PROBABLE LEMMA MISMATCH: saczte in vor = setzte ihn vor (accusative pronoun), not preposition
WZB_5va_23_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: vorterbte in = verderbte ihn (accusative pronoun), not preposition
WZB_5vb_21_1	ABSTAIN	low	PROBABLE LEMMA MISMATCH: an das in nicht = damit ihn niemand (accusative pronoun), not preposition
WZB_5vb_22_1	ABSTAIN	low	PROBABLE LEMMA MISMATCH: die in funden = die ihn fanden (accusative pronoun), not preposition
WZB_6ra_3_5	lemma_3028_sense_4834	high	wonte in der erden = spatial: dwelt in the earth (Gen 4:16)
WZB_6ra_18_3	lemma_3028_sense_4834	high	wonten in geczelten = spatial: dwelt in tents (Gen 4:20)
WZB_6ra_25_1	lemma_3028_sense_63605	high	smid in alle ereine vnd eisereine werck = relational/domain: smith in/of all bronze and iron work (Gen 4:22)
WZB_6ra_34_0	lemma_3028_sense_63605	high	in meinem swerte = relational/instrumental: by/with my sword (Lamech's boast, Gen 4:23)
WZB_6rb_13_0	lemma_3028_sense_4833	high	in dem tage do got schepfte = temporal: on the day God created (Gen 5:1)
WZB_6rb_15_4	ABSTAIN	low	PROBABLE LEMMA MISMATCH: macht er in man vnd wip = machte er sie/ihn (accusative pronoun), not preposition
WZB_6rb_17_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: gesegente in = segnete sie (accusative pronoun), not preposition
WZB_6rb_18_2	lemma_3028_sense_4833	high	in dem tage do sie wurden = temporal: on the day they were (created) (Gen 5:2)
WZB_6vb_12_1	ABSTAIN	low	PROBABLE LEMMA MISMATCH: furte in hin = führte ihn (accusative pronoun), not preposition
WZB_6vb_26_3	lemma_3028_sense_4834	high	in der erden der do vorfluchet = spatial: in the earth that is cursed (Gen 5:29)
WZB_7ra_10_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: namen in hausvrowen = nahmen sie als Frauen (accusative pronoun), not preposition
WZB_7ra_13_2	lemma_3028_sense_4834	high	mein geist in dem menschen = spatial: my spirit in the human being (Gen 6:3)
WZB_7ra_17_4	lemma_3028_sense_4833	high	in den selben tagen = temporal: in those same days (Gen 6:4)
WZB_7ra_25_1	lemma_3028_sense_4834	high	bozheit der leute was in der erden = spatial: evil was in the earth (Gen 6:5)
WZB_7ra_28_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: berawe in das er = bereute ihm/es (dative pronoun im/es), not preposition
WZB_7ra_29_2	lemma_3028_sense_4834	high	hett gemacht in der erden = spatial: had made in/on the earth (Gen 6:6)
WZB_7ra_30_3	lemma_3028_sense_4833	medium	behutte das in die zukvnft = temporal/directional: into/toward the future (planned forward in time)
WZB_7ra_31_4	lemma_3028_sense_63605	high	inwendig in leide des herczens = relational: in the grief of the heart (Gen 6:6)
WZB_7rb_2_5	ABSTAIN	low	PROBABLE LEMMA MISMATCH: das ich in hab gemachet = dass ich sie/es gemacht habe (accusative pronoun), not preposition
WZB_7rb_7_0	lemma_3028_sense_4833	high	in seinen geperungen = temporal: in his generations (Gen 6:9)
WZB_7rb_17_8	lemma_3028_sense_63605	high	Erfullet ist die erde in sunden = relational: the earth is filled with sin (Gen 6:13)
WZB_7rb_22_1	lemma_3028_sense_4834	high	mache in die arche = spatial/directional: make in(to) the ark (Gen 6:14)
WZB_7rb_30_0	lemma_3028_sense_4834	high	in die archen = spatial/directional: into the ark (Gen 6:16)
WZB_7rb_30_5	lemma_3028_sense_63605	medium	in einer dovme elen saltu volenden = relational/measure: within/at one cubit you shall finish it (Gen 6:16 window dimension)
WZB_7rb_35_2	lemma_3028_sense_4834	high	mache in ir = spatial: make within it (the ark, Gen 6:16)
WZB_7va_2_5	lemma_3028_sense_4834	high	in dem der geist ist = spatial: within which there is a spirit/breath (Gen 6:17)
WZB_7va_5_0	lemma_3028_sense_4834	high	in der erden sint = spatial: that are in/on the earth (Gen 6:17)
