file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
ABG.tei.xml;ABG_401070_6;stât;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;Subjekt 'abegescheidenheit' mit Prädikativ 'ledic': finites Verb im Hauptsatz nach 'sô'.;allen dingen sî , wan alle tugende hânt etwaz ûfsehennes ûf die crêatûre , sô **stât** abegescheidenheit ledic aller crêatûren . dar umbe sprach unser herre ze marthâ : < unum
ABG.tei.xml;ABG_403030_5;stat;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Praeposition 'an' mit Possessiv und Attributen ('an sîner natiurlîchen eigen stat').;bewære ich dâ mite : wan ein ieclich dinc ist gerne an sîner natiurlîchen eigen **stat** . nû ist gotes natiurlîchiu eigen stat einicheit und lûterkeit , daz kumet von abegescheidenheit
ABG.tei.xml;ABG_403030_12;stat;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Subjekt des Satzes mit Genitivattribut und Adjektiven ('gotes natiurlîchiu eigen stat').;ieclich dinc ist gerne an sîner natiurlîchen eigen stat . nû ist gotes natiurlîchiu eigen **stat** einicheit und lûterkeit , daz kumet von abegescheidenheit . dâ von muoz got von nôt
ABG.tei.xml;ABG_403110_6;stât;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;Verbzweit nach 'sô' mit Subjekt 'abegescheidenheit' und Prädikativ 'ledic'.;etwaz ûfsehennes ûf die crêatûre , von der der mensche daz lîden hât , sô **stât** abegescheidenheit genzlîche ledic aller crêatûre . daz aber abegescheidenheit nihtes niht enpfenclich sî dan gotes
ABG.tei.xml;ABG_410010_10;stât;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;'des stât abegescheidenheit ledic': finites Verb mit Subjekt und Genitivobjekt.;"selber gât ûf sînes ebenmenschen gebresten und dâ von sîn herze betrüebet wirt . des **stât** abegescheidenheit ledic und blîbet in ir selber und lât sich kein dinc betrüeben ; wan"
ABG.tei.xml;ABG_410080_0;stât;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;Relativsatz 'der abegescheiden stât' mit Verbletztstellung und Prädikativ.;ist . ein meister heizet avicenna , der sprichet : des geistes , der abegescheiden **stât** , des adel ist alsô grôz , swaz er schouwet , daz ist wâr ,
ABG.tei.xml;ABG_411010_13;stât;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;'der vrîe geist stât in rehter abegescheidenheit': Subjekt plus Praepositionalergaenzung.;"im gehôrsam sîn . und solt daz wizzen vür wâr : swenne der vrîe geist **stât** in rehter abegescheidenheit , sô twinget er got ze sînem wesene ; und möhte er"
ABG.tei.xml;ABG_411060_6;stât;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;Relativsatz 'der mensche, der alsô stât in ganzer abegescheidenheit'.;, wan daz er sich selben im gibet . und der mensche , der alsô **stât** in ganzer abegescheidenheit , der wirt alsô gezücket in die êwicheit , daz in kein
ABG.tei.xml;ABG_413060_4;stât;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;Koordiniert mit 'ist gestanden': 'und noch stât' ist eindeutig finites Verb.;solt dû wizzen , daz got in dirre unbewegelîchen abegescheidenheit ist êwelten gestanden und noch **stât** , und solt wizzen : dô got himelrîche und ertrîche beschuof und alle crêatûre ,
ABG.tei.xml;ABG_416050_0;stat;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'alsô stat got alle zît in sîner abegescheidenheit': Subjekt 'got' in Verbzweit.;nihtes niht von niuwem , wan ez ist allez ein vorgewürket dinc . und alsô **stat** got alle zît in sîner unbewegelîchen abegescheidenheit , und enist doch dar umbe der liute
