file;xml_id;form;normalisiert;action;review_grund;neu_lemmaRef;neu_pos;regel;regel_text;konfidenz;beleg;ziel_lemma_form;lemma_kandidaten;lemma_pos_alle;vers;umfeld
WZB.tei.xml;WZB_101ra_6_6;tŏte;toete;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;vnd tŏte das vor vnserm herren;tœten;lemma_6133;NOM VRB;Und fure das zu der tur des geczeldes des geczeuknusse vor vnserm herren vnd leg sein hant ouf sein haubt vnd **tŏte** das vor vnserm herren;ouf sein haubt vnd **tŏte** das vor vnserm herren
WZB.tei.xml;WZB_101vb_30_7;tŏte;toete;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;vnd tŏte sie an der stat;tœten;lemma_6133;NOM VRB;vnd leg sein hant ouf das houbt seines opfertires das do ist vor die svnde vnd **tŏte** sie an der stat des gancz enczunten opfers;vor die svnde vnd **tŏte** sie an der stat
WZB.tei.xml;WZB_102ra_14_2;tŏte;toete;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;vnd tŏte das an der stat;tœten;lemma_6133;NOM VRB;so lege her sein hant ouf sein houbet vnd **tŏte** das an der stat do man slahen pfligt di gancz enczunten opfertir;ouf sein houbet vnd **tŏte** das an der stat
WZB.tei.xml;WZB_108vb_7_5;mŏcht;moecht;ANNOTATE;;lexicon.xml#lemma_4240;VEM;R5;Modalverb mit abhaengigem Infinitiv;hoch;wie mŏcht ich sie gessen;mügen;lemma_4240;VEM VRB;Do antworte Geopfert ist heute des siges opfer tir vor die svnde vnd das gancz enczunte opfer tir vor vnserm herren Aber mir ist geschehen daz du sichst wie **mŏcht** ich sie gessen oder behagen gote in seinen hochczeitlichen rechten mit cleglichem herczen;daz du sichst wie **mŏcht** ich sie gessen oder
WZB.tei.xml;WZB_10rb_9_3;grŏsseren;groesseren;ANNOTATE;;lexicon.xml#lemma_2534;NOM;R2;Substantivierung: besetzt die Nominalstelle selbst;hoch;bruder des grŏsseren, der Aeltere;grôz;lemma_2534;ADJ ADV GRA NOM;Und von wurden geborn die veter aller kinder bruder des **grŏsseren**;aller kinder bruder des **grŏsseren** Dicz sint die kinder
WZB.tei.xml;WZB_112vb_16_3;tŏte;toete;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;so tŏte her das lamp;tœten;lemma_6133;NOM VRB;so **tŏte** her das lamp do man pfliget zu toten die opfer tir vor die svnde vnd das ganczenczunte opfer das ist an der heiligen stat recht als vmme die svnde als vmbe die vorlasenheit an den priester gehoret das opfer Heilicheit der heiligen ist es;vor vnsern herren so **tŏte** her das lamp do
WZB.tei.xml;WZB_114ra_17_6;getŏtten;getoetten;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;des getŏtten sperlinges, Partizip;tœten;lemma_6133;NOM VRB;vnd heb ouf cedrein holcz vnd das rote vnd den lebendigen sperlinc vnd tvnke die alle in das blut des **getŏtten** sperlinges Und in den lebendigen wassern vnd besprenge das hous sibenstunt;in das blut des **getŏtten** sperlinges Und in den
WZB.tei.xml;WZB_119rb_6_1;lŏblich;loeblich;REVIEW;konfidenz-mittel;;;R1;"Vorschlag ADJ nach R1; dagegen: ADV, wenn 'geheiligt lŏblich' als Art des Heiligens gelesen wird statt als Praedikat zu den Fruechten";mittel;geheiligt lŏblich, laudabilis als Praedikat;lobelich;lemma_3829;ADJ ADV GRA NOM;Aber in dem vierden iare alle ire fruchte sullen werden geheiligt **lŏblich** vnserm herren;fruchte sullen werden geheiligt **lŏblich** vnserm herren Aber in
WZB.tei.xml;WZB_11rb_21_2;grŏsen;groesen;REVIEW;ziel-lemma-passt-nicht/Z1;;;Z1;'wil grŏsen deinen namen' ist das Verb. Das Ziel-Lemma grôz (lemma_2534) fuehrt ADJ ADV GRA NOM und kein VRB. Das Verblemma gibt es: lemma_2535 grôzen VRB, morphologisch auf lemma_2534 zurueckgefuehrt, 13 Belege in 11 Texten. Der Matcher hat es trotzdem nicht finden koennen, und der Grund ist eine Luecke im Variantenbestand: lemma_2535 fuehrt in variants.xml genau neun Formen (grozte grozet grozten grossen grôzte grôzet grôssen grozzet grosset), und keine davon normalisiert auf 'groesen'. Genau darauf normalisiert aber das Token 'grŏsen', und 'groesen' ist unter lemma_2534 belegt (Form 'grösen', type_289948). Fuer diesen Schluessel stand das Verblemma also gar nicht zur Wahl. Die Zuordnung ist dabei duenn: die Normalform 'groesen' hat im ganzen Korpus 2 Tokens, eines davon ist dieses hier, der Eintrag steht also auf einem einzigen Beleg. Die dreistufige Aufloesung des Frontends ist nicht betroffen: fuer die Eingabe 'grôzen' trifft schon Stufe 1 auf lemma_2535, Stufe 2 kommt gar nicht dran. Das ist genau Kategorie C der #259-Messung, 'eigenes Lemma, variants zeigt anderswohin'. KZW entscheidet, ob das Token unter lemma_2535 gehoert: die 13 Belege sind ueberwiegend intransitiv ('min herze grôzet', 'der jamer grozzet'), die WZB-Stelle ist transitiv (magnificabo nomen tuum).;;;grôz;lemma_2534;ADJ ADV GRA NOM;vnd ich wil machen dich in ein gros geslechte vnd wil **grŏsen** deinen namen vnd wirst gesegent;gros geslechte vnd wil **grŏsen** deinen namen vnd wirst
WZB.tei.xml;WZB_126va_16_6;Vŏrchte;voerchte;ANNOTATE;;lexicon.xml#lemma_7298;VRB;R4;Vollverb;hoch;Vŏrchte deinen got, Imperativ;vürhten;lemma_7298;NOM VRB;nicht nym wucher von im mer wenne du im hast gegeben **Vŏrchte** deinen got so das geleben muge dein bruder bei dir;du im hast gegeben **Vŏrchte** deinen got so das
