lemma_id;lemma;normalisiert;pos;pos_alle;ist_name;sprachkonzepte;konzepte_gesamt;belege;texte;belegklasse;handpruefung
lemma_4377;niht;niht;ADJ;ADJ ADV NEG NOM;nein;Lateinisch;4;81088;639;ab 501;ja
lemma_3028;in;in;PRP;PRP;nein;Lateinisch;6;11986;348;ab 501;ja
lemma_1944;Gawein;gawein;NAM;NAM;ja;Französisch;3;4113;35;ab 501;nein
lemma_13826;I;i;DIG;DIG;nein;Lateinisch;2;4033;76;ab 501;ja
lemma_3620;Lancelot;lancelot;NAM;NAM;ja;Französisch;4;4029;26;ab 501;nein
lemma_3472;Christus;christus;NAM;NAM;ja;Lateinisch;4;3425;258;ab 501;nein
lemma_717;bischof;bischof;NOM;NOM;nein;Lateinisch;4;3035;122;ab 501;ja
lemma_5309;schrîben;schriben;INJ;INJ NOM VRB;nein;Lateinisch;8;3007;213;ab 501;ja
lemma_3330;klâr;klar;ADJ;ADJ ADV GRA NOM;nein;Lateinisch;11;2530;196;ab 501;ja
lemma_122;Alexander;alexander;NAM;NAM;ja;Griechisch;3;2324;70;ab 501;nein
lemma_1411;engel;engel;NOM;NOM;nein;Lateinisch;7;2165;196;ab 501;ja
lemma_6210;Tristan;tristan;NAM;NAM;ja;Französisch;4;1712;38;ab 501;nein
lemma_3128;Jesus;jesus;NAM;NAM;ja;Hebräisch, Lateinisch;5;1428;124;ab 501;nein
lemma_4306;name;name;NOM;NOM;nein;Lateinisch;2;1367;169;ab 501;ja
lemma_3137;Johannes;johannes;NAM;NAM;ja;Hebräisch;4;1307;102;ab 501;nein
lemma_7924;zunge;zunge;NOM;NOM;nein;Einzelsprachen;10;1271;188;ab 501;ja
lemma_3477;kriuze;kriuze;NOM;NOM;nein;Lateinisch;7;1247;159;ab 501;ja
lemma_1732;et;et;CNJ;CNJ;nein;Italienisch, Lateinisch;3;1237;122;ab 501;ja
lemma_4318;natûre;nature;NOM;NOM;nein;Lateinisch;9;1220;125;ab 501;ja
lemma_2732;Hektor;hektor;NAM;NAM;ja;Griechisch;4;1148;32;ab 501;nein
lemma_5315;schrift;schrift;NOM;NOM;nein;Lateinisch;5;1117;131;ab 501;ja
lemma_20508;Bohort;bohort;NAM;NAM;ja;Französisch;3;1056;4;ab 501;nein
lemma_3726;lewe;lewe;NOM;NOM;nein;Lateinisch;3;1028;135;ab 501;ja
lemma_4881;Rîn;rin;NAM;NAM;ja;Lateinisch;2;962;86;ab 501;nein
lemma_3070;Isolde;isolde;NAM;NAM;ja;Französisch;3;902;26;ab 501;nein
lemma_3085;Iwein;iwein;NAM;NAM;ja;Slawisch;3;890;27;ab 501;nein
lemma_4101;missa;missa;NOM;NOM;nein;Lateinisch;7;873;124;ab 501;ja
lemma_1917;Garel;garel;NAM;NAM;ja;Französisch;3;823;6;ab 501;nein
lemma_23180;marter;marter;NOM;NOM;nein;Lateinisch;9;747;126;ab 501;ja
