file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
ADP.tei.xml;ADP_6505000_1;stat;;REVIEW;prior-konflikt;nein;NOM;;;;;;lemma_5710;VRB;high;'die wile der stat vnberueret': 'der' greift 'ein wille' auf, Praedikativ 'vnberueret'.;heilig geist do enspringet ingot ein wille der behoeret der sele zuo die wile der **stat** vnberueret von allen creaturen von aller geschaffenheit so ist der wille frije sant augustinus sprichet
ADP.tei.xml;ADP_6511900_11;stat;;REVIEW;confidence;nein;NOM;;;;;;lemma_5710;VRB;medium;Parallele daz-Saetze: '[daz es] an dem obrosten des libes stat', Verbletztstellung.;himele an dem das es sinwel vnt luter ist vnt an dem obrosten des libes **stat** vnt das es enhein frômden indruke erliden nit enmag sol min ouge das bilde bekennen
ADP.tei.xml;ADP_6605700_8;stat;;REVIEW;prior-konflikt;nein;NOM;;;;;;lemma_5710;VRB;high;'das do enmitten stat geliche nach vnt verre': Relativsatz mit Ortsadverb, kein Determinativ.;man muos in e bekennen wanne das wesliche puncte das got ist das do enmitten **stat** geliche nach vnt verre allen creaturen sol ich dem genehet werden so muos min natiurlichiu
AXR.tei.xml;AXR_604200_2;stat;6042;REVIEW;confidence;nein;;;;;;;lemma_5732;NOM;medium;"'wester stat' ist Subjekt zum finiten 'stê'; Folgevers spricht von 'in state stân'.";sô daz ôster westert gê / und wester **stat** in ôster stê , / der dewederz mac ergân :
BRW.tei.xml;BRW_104040_7;stat;4;REVIEW;confidence;nein;;;;;;;lemma_5710;VRB;medium;'ir recht nicht rechte an stat': Partikelverb an-stan mit Adverb 'rechte'.;ein rechter keyser solte richten gar an allen haz / sit daz ir recht nicht rechte an **stat** / des krenket sich ir beider leben
CL.tei.xml;CL_1100_5;stat;110;REVIEW;confidence;nein;;;;;;;lemma_5732;NOM;medium;"'den besten dugindin stat' mit Dativ der Nutzniessung; Fuegung 'stat geben'.";dv wishet het sich drin gisath / vnde geueit den besten dugindin **stat** . / da di porte was gisteinit ,
CL.tei.xml;CL_1920_3;stat;192;REVIEW;confidence;nein;;;;;;;lemma_5710;VRB;medium;'want ... rat mit der othmude stat': Subjekt 'rat', Verbletztstellung im want-Satz.;want des heiligen geistis rat / mit der othmude **stat** , / des is si dem gihorsam
CRO.tei.xml;CRO_2722800_5;stat;27228;REVIEW;confidence;nein;;;;;;;lemma_5732;NOM;medium;'hatt gút stat' mit attributivem Adjektiv, Fuegung 'stat haben'.;bisz in das alter von der jugend , / vnd der sin hatt gút **stat** , / von dem castel ein eben pfat
DAR.tei.xml;DAR_38101080_4;stat;108;REVIEW;confidence;nein;;;;;;;lemma_5732;NOM;medium;"Praeposition 'uf daz': Substantiv (Ufer/Gestade); das Neutrum weist eher auf 'stade'.";"diu ros hetens uber schriten / und warn uf daz **stat** geriten ; / der stunt daz velt allez vol ."
DEG.tei.xml;DEG_147_6;stat;147;REVIEW;confidence;nein;;;;;;;lemma_5732;NOM;medium;"Praeposition 'uf daz': Substantiv (Ufer); das Neutrum weist eher auf 'stade'.";nicht lange er da ligen bleib . / sie zugen in uz uf daz **stat** . / des volkes vil hin zu trat
DFR.tei.xml;DFR_3102730_1;stat;273;REVIEW;confidence;nein;;;;;;;lemma_5732;NOM;medium;"Finites Verb ist 'sol' plus 'lazen'; 'der stat' ist Dativobjekt zu 'ane gesigen'.";der sol die kraft der sinne / der **stat** lazen ane gesigen . / untz er mit lobe habe gestigen ,
DGH.tei.xml;DGH_1500600_4;stat;60;REVIEW;confidence;nein;;;;;;;lemma_5710;VRB;medium;'wie chirlinge stat': indirekter Fragesatz mit Verbletztstellung, Ortsname als Subjekt.;der mut dar uf zu husen hat , / der sehe wie chirlinge **stat** : / daz stiezen geuhunere nider .
