file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;typ_neu_gepraegt;verdict_lemma;verdict_pos;confidence;begruendung;kontext
CHH.tei.xml;CHH_35880_2;wæren;3588;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273624;variants.xml#type_372363;ja;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";daz ir uns recht tuet bechant / durch der **wæren** minne bant / diu iu hat gebunden
ENG.tei.xml;ENG_6217_2;wâren;6217;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";in haete enzündet gotes geist / und der **wâren** minne gluot / daz er sîner kinde bluot
FR3.tei.xml;FR3_112206030480_3;woren;48;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273713;variants.xml#type_372364;ja;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";daz es sich uff entslisse / baz gein der **woren** minne / so blibet an mir wernde
GRG.tei.xml;GRG_9690_3;wâren;969;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";wart waz dâ wirt fröuden schîn / si habent die **wâren** minne / ez treit diu küniginne
HTR.tei.xml;HTR_30430_3;wâren;3043;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";als uns selber ûzen und innen / swelch münich der **wâren** minne enbirt / âne nuz er sîn hâr abe schirt
HTR.tei.xml;HTR_30450_3;wâren;3045;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";âne nuz er sîn hâr abe schirt / wenne swer die **wâren** minne hât / des herze ist ân missetât
HTR.tei.xml;HTR_87080_4;wâren;8708;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";des herze mêre nâch boesem gewinne / stêt denne nâch der **wâren** minne / blî nazzer sant wart nie sô swêr
HTR.tei.xml;HTR_132360_4;wâren;13236;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";daz ich daz minne beide ûzen und inne / daz mich beroube der **wâren** minne / swem liebet ze sêre der werlde guot
HTR.tei.xml;HTR_210240_2;wâren;21024;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";alliu dîn glôrie ist enwiht / hâstu der **wâren** minne niht / wizzet daz niur vierleie liute
KWL.tei.xml;KWL_1014_1;wâren;14;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";nu schenke uns in des herzen kopf / der **wâren** minne süezekeit / dû trüege wîlent grâwen schopf
PRT.tei.xml;PRT_16655_3;wâren;16655;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";er hât ûf kiuschen muot geleit / und ûf die **wâren** minne / sîn leben und die sinne
RLS.tei.xml;RLS_10319_2;wâren;19;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";heizer brinnet / in der **wâren** minne glüete / her diu menscheit minnet
SES.tei.xml;SES_120040_2;wâren;4;ANNOTATE;;ja;VRB;ADJ;lexicon.xml#lemma_7505;lexicon.xml#lemma_7338;variants.xml#type_273621;variants.xml#type_287014;nein;lemma_7338;ADJ;high;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz";zünde enbrenne mîne sinne / in der **wâren** minne gluot / dâ ich inne werde gereinet
