file;xml_id;form;action;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_ana;neu_ana;alt_corresp;neu_corresp;verdict;confidence;begruendung;hinweis;kontext
DA.tei.xml;DA_2840_8;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Hilfsverb mit Partizip vergolten, Subjekt ich;;er sprach : < ich waene ich dir habe
SOG.tei.xml;SOG_124100430_5;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Konjunktiv-Hilfsverb mit Partizip getan, Subjekt er;;denne er da vor getan habe .
WZB.tei.xml;WZB_13ra_4_0;habe;MOVE;ja;VRB;NOM;lexicon.xml#lemma_2598;lexicon.xml#lemma_2593;lexicon.xml#lemma_2598_sense_77622;;variants.xml#type_8730;variants.xml#type_8699;NOM;high;alle seine habe: Possessiv davor, Besitz-Bedeutung;;vingen ouch vnd alle seine habe , bruders svn , der do wonte zu . •
NLB.tei.xml;NLB_18452_8;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;daz-Satz, Hilfsverb zu Partizip gesehen;;daz wir si bringen innen daz ich si habe gesehen ,
DMB.tei.xml;DMB_102100540_4;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4169;lexicon.xml#lemma_2598_sense_4169;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Konjunktiv, Objekt rehte riwe, parallel zu tuo;;und rehte riwe drumbe habe
VEG.tei.xml;VEG_162008_1;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Negierter Konjunktiv: ern habe die namen;;ern habe die namen alle dri .
WZB.tei.xml;WZB_36rb_16_2;habe;MOVE;ja;VRB;NOM;lexicon.xml#lemma_2598;lexicon.xml#lemma_2593;lexicon.xml#lemma_2598_sense_77622;;variants.xml#type_8730;variants.xml#type_8699;NOM;high;Possessiv sein davor, Koordination mit sein vich;;Aber nam sein housvrowe vnd sein tŏchter vnd sein svne vnd alle menschen seines houses vnd sein habe vnd sein vich Und alles , das er mocht gehaben in der erden , | vnd karte in ein ander lant | Und czoch von seinem bruder ,
NLB.tei.xml;NLB_18141_9;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Hilfsverb mit Partizip getân, indirekte Frage;;mich nimt des michel wunder , waz ich iu habe getân ,
NLB.tei.xml;NLB_8292_7;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Konjunktiv-Hilfsverb mit Partizip bekant, Subjekt iemen;;ich wil selbe wesen tiwerr danne iemen habe bekant
ZUK.tei.xml;ZUK_809101_4;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Konjunktiv indirekte Frage, Hilfsverb mit gedihtet;;wer diz buch gedihtet habe .
ROA.tei.xml;ROA_704_2;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Wunsch-Konjunktiv danc habe, Objekt danc;;< danc habe , > sprach dô wolfhart , < sô wil ich ûf die wal . >
JT.tei.xml;JT_59732000_0;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Imperativ mit Objekt wunsch, Anrede-Kontext;;habe wunsch zu aller pflihte nach dinem willen immer ewicliche !
FD.tei.xml;FD_147808_1;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Optativ: Subjekt sîn hertze, Objekt danc;;des habe sîn manlîch hertze danc
NLB.tei.xml;NLB_4112_6;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Hilfsverb mit Partizip gesehen, Subjekt ich;;daz ich ir deheinen nie mêr habe gesehen ,
FD.tei.xml;FD_124108_1;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Imperativ mit Objekt daz: nimm das auf meine Treue;;daz habe ûf die triwe mîn
MHT.tei.xml;MHT_1010201_6;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4169;lexicon.xml#lemma_2598_sense_4169;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;daz-Satz, Subjekt mîn trûren, Objekt ein ende;;swer waenet , daz mîn trûren habe ein ende ,
DA.tei.xml;DA_845_2;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Subjekt mîn herre, Konjunktiv mit Objekt geselleschaft;;mîn herre habe geselleschaft .
SST.tei.xml;SST_203080_0;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Hilfsverb mit Partizip ergeben;;habe ich muot , guot , lîb und leben
NLB.tei.xml;NLB_19634_2;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4171;lexicon.xml#lemma_2598_sense_4171;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Imperativ: daz habe dir ze botschefte;;< daz habe dir ze botschefte in der burgonden lant . >
ROL.tei.xml;ROL_1425_1;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Imperativ mit Objekt nehein ungemach;;< habe ne hein ungemach .
SPI.tei.xml;SPI_131100810_3;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Konjunktiv-Hilfsverb mit Partizip getan, Subjekt swer;;swer wider got habe getan ,
SST.tei.xml;SST_201080_0;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Inversion habe ich, Hilfsverb zu ergeben;;habe ich muot , guot , lîb und leben
KU.tei.xml;KU_12644_1;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Imperativ daz habe ûf mînen triuwen, daz Objekt;;daz habe ûf mînen triuwen , mit ahzic tûsent mîner küenen helde . >
HK.tei.xml;HK_183_1;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Hilfsverb mit Partizip geschadet, indirekte Frage;;mir habe sô vaste an im geschadet > .
KU.tei.xml;KU_5361_9;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Konjunktiv im swie-Satz, Hilfsverb zu getân;;< ich wil si sehen gerne , swie si habe getân .
GOL.tei.xml;GOL_804_5;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Konjunktiv-Hilfsverb mit Partizip verjehen, ob-Satz;;ob sî im iht des habe verjehen :
TAN.tei.xml;TAN_550_1;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Konjunktiv, Subjekt er, Objekt guot gebaere;;er habe guot gebaere ,
SST.tei.xml;SST_204080_0;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Hilfsverb mit Partizip ergeben, Subjekt ich;;habe ich muot , guot , lîb und leben
WZB.tei.xml;WZB_206rb_30_1;habe;MOVE;ja;VRB;NOM;lexicon.xml#lemma_2598;lexicon.xml#lemma_2593;lexicon.xml#lemma_2598_sense_77622;;variants.xml#type_8730;variants.xml#type_8699;NOM;high;Possessiv alle irr habe: Mangel an aller Habe (Dtn 28,57);;vnd vber die voulen vnreinen neczil , die do ous geen von der mitte irr permuter vnd vber ire kinder , | die in der selben stvnd sint geporn . • Wenne essen werden sie die vorholen durch die armut alle irr habe in der heruart v vnd in der beligunge vnd der vorwustenunge , | mit der dich vordrucket dein v veint czwischen deinen ł pforten . •
VUB.tei.xml;VUB_970010_4;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;swer habe + Akkusativobjekt ein ubel wip;;swer ein ubel wip habe ,
DA.tei.xml;DA_3743_5;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;daz-Satz, Hilfsverb mit Partizip getân;;< geloubet daz erz getân habe ,
SST.tei.xml;SST_202080_0;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Hilfsverb mit Partizip ergeben, Subjekt ich;;habe ich muot , guot , lîb und leben
FH.tei.xml;FH_20165_1;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Imperativ: habe den rât in staeter huote;;sô habe in staetem muote
MKH.tei.xml;MKH_30107_7;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_77622;lexicon.xml#lemma_2598_sense_77622;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Konjunktiv/Adhortativ mit Partizip gegruezet, Subjekt der;;ez sî wîp oder man , der habe si gegrüezet von mir .
