xml_id;form;form_schluessel;lemma;pos;typ;belege_ausserhalb_wzb;sigel_anzahl;sigel_probe
WZB_1ra_2_1;hebt;hebt;lemma_2688;VRB;type_9058;231;82;ALX APO ARB AXR AXU AXW BVSN CEFB
WZB_1ra_2_3;an;an;lemma_199;PRP;type_522;37541;356;ABS AC1 AC2 ADP AGS AK ALL AMI
WZB_1ra_2_4;die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1ra_3_4;buch;buch;lemma_936;NOM;type_60413;113;21;AXW DTP ESB HUL KMR MAI NEI NEIR
WZB_1ra_3_7;do;do;lemma_1180;ADV;type_3738;20157;256;ADP AK AMI AML ARB AT AUK AUN
WZB_1ra_4_0;heisset;heisset;lemma_2731;VRB;type_64688;101;23;AC2 AC3 ADP BRW DES2 DIO FLG FLG1
WZB_1ra_4_2;genant;genant;lemma_4331;VRB;type_15098;2815;227;AC1 AC2 AC3 ADP AK ALX AMI APO
WZB_1ra_4_3;ist;ist;lemma_5432;VEX;type_18956;60723;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1ra_4_4;Biblia;biblia;lemma_21800;NAM;type_98037;1;1;AXU
WZB_1ra_5_0;O;o;lemma_4445;INJ;type_15476;124;26;ADP AXR CLV DA DSU EID ERM EZZ
WZB_1ra_6_0;Got;got;lemma_2465;NOM;type_8253;21621;519;ABG AC1 AC3 ADP AGS AK ALL ALX
WZB_1ra_6_2;got;got;lemma_2465;NOM;type_8253;21621;519;ABG AC1 AC3 ADP AGS AK ALL ALX
WZB_1ra_6_4;du;du;lemma_1242;PRO;type_3966;1303;167;ABS ADP APO ARB AXU BMG BRH BST
WZB_1ra_6_7;gute;gute;lemma_2573;ADJ;type_42730;164;37;AML BIM DBS DFR DHS DMB DNR DWJ
WZB_1ra_7_1;hebit;hebit;lemma_2688;VRB;type_235299;7;3;ADP RSP VTC
WZB_1ra_7_3;mein;mein;lemma_3001;POS;type_83864;880;21;AC2 CRO DBE DNT HUG HZU HZU2 MAI
WZB_1ra_8_1;dich;dich;lemma_1242;PRO;type_3956;12994;412;ABG AC1 AC2 AC3 ADP AK ALX AMI
WZB_1ra_8_2;gutlichen;gutlichen;lemma_2574;ADV;type_95742;37;16;AC2 AC3 BAB DMA DMN MAI NBU PL2
WZB_1ra_8_3;an;an;lemma_199;PRP;type_522;37541;356;ABS AC1 AC2 ADP AGS AK ALL AMI
WZB_1ra_9_1;wol;wol;lemma_7677;ADV;type_27811;49803;621;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1ra_9_2;geschaffen;geschaffen;lemma_5153;VRB;type_17839;575;153;ABG AC1 AC2 AC3 ADP AK AMI APO
WZB_1ra_10_0;An;an;lemma_199;PRP;type_522;37541;356;ABS AC1 AC2 ADP AGS AK ALL AMI
WZB_1ra_10_1;dich;dich;lemma_1242;PRO;type_3956;12994;412;ABG AC1 AC2 AC3 ADP AK ALX AMI
WZB_1ra_10_3;wil;wil;lemma_7473;VEM;type_26922;12100;293;ADP AGS AK AMI AT AX AXH AXK
WZB_1ra_11_1;Von;von;lemma_7193;PRP;type_25544;107920;623;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1ra_11_4;von;von;lemma_7193;PRP;type_25544;107920;623;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1ra_11_5;sinnen;sinnen;lemma_5491;VRB;type_19186;493;69;AK AMI AX AXH AXR AXU BAR BRF
WZB_1ra_14_3;die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1ra_14_7;arbeit;arbeit;lemma_269;NOM;type_741;1674;177;AC1 AC2 AC3 ADP AK AMI APO AUN
WZB_1ra_15_5;also;also;lemma_152;ADV;type_378;14303;424;ABS AC1 AC2 AC3 ADP AGS AK ALL
WZB_1ra_16_1;dein;dein;lemma_1242;POS;type_67142;2610;69;AC1 AC2 AC3 ALX APO ASG AXW BAB
WZB_1ra_16_6;An;an;lemma_199;PRP;type_522;37541;356;ABS AC1 AC2 ADP AGS AK ALL AMI
WZB_1ra_16_7;mich;mich;lemma_3001;PRO;type_10226;30192;502;ABG AC1 AC2 AC3 ADP AK ALL ALX
WZB_1ra_17_0;mugt;mugt;lemma_4240;VEM;type_14789;217;57;AC2 AK AMI AXU BRF CHH DA DMN
WZB_1ra_18_1;ich;ich;lemma_3001;PRO;type_10212;138359;601;ABG AC1 AC2 AC3 ADP AGS AK ALL
WZB_1ra_18_2;herre;herre;lemma_2684;NOM;type_9039;15932;320;AC1 AC2 AC3 ADP AK AMI APO AX
WZB_1ra_19_0;dich;dich;lemma_1242;PRO;type_3956;12994;412;ABG AC1 AC2 AC3 ADP AK ALX AMI
WZB_1ra_19_3;du;du;lemma_1242;PRO;type_3966;1303;167;ABS ADP APO ARB AXU BMG BRH BST
WZB_1ra_19_5;mir;mir;lemma_3001;PRO;type_10237;48071;519;ABG AC1 AC2 AC3 ADP AK ALL ALX
WZB_1ra_20_0;gnaden;gnaden;lemma_2110;NOM;type_44399;737;100;ADP ALL ATF BKN BMG BRZ BST BUS
WZB_1ra_20_6;geistes;geistes;lemma_2044;NOM;type_6895;285;67;ABG ADP ALL AMI AUN AXH AXU BAR
WZB_1ra_21_0;fewer;fewer;lemma_7108;NOM;type_115362;108;32;AC3 AXW BRIX BVSN DES2 DGH DKA DML
WZB_1ra_21_4;mein;mein;lemma_3001;POS;type_83864;880;21;AC2 CRO DBE DNT HUG HZU HZU2 MAI
WZB_1ra_22_2;mein;mein;lemma_3001;POS;type_83864;880;21;AC2 CRO DBE DNT HUG HZU HZU2 MAI
WZB_1ra_22_3;sele;sele;lemma_5349;NOM;type_18609;2368;185;AC1 AC2 AC3 ADP AGS ALL AMI BES
WZB_1ra_23_1;mir;mir;lemma_3001;PRO;type_10237;48071;519;ABG AC1 AC2 AC3 ADP AK ALL ALX
WZB_1ra_24_1;ich;ich;lemma_3001;PRO;type_10212;138359;601;ABG AC1 AC2 AC3 ADP AGS AK ALL
WZB_1ra_24_7;In;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1rb_2_0;trewen;trewen;lemma_6215;NOM;type_93755;355;48;AC2 AC3 ALX AXW BKN BVSN DDE DEH
WZB_1rb_2_2;meren;meren;lemma_4035;VRB;type_14099;132;23;AXU BIM CRO EKL GAR JT NEI NEIC
WZB_1rb_2_5;lop;lop;lemma_3849;NOM;type_13447;243;38;BUH CR CRO DA DJB DSL DWR FB
WZB_1rb_3_0;eren;eren;lemma_1282;NOM;type_42751;550;49;AUN CRO DAL DFK DHP DJB DKR DMA
WZB_1rb_3_4;ich;ich;lemma_3001;PRO;type_10212;138359;601;ABG AC1 AC2 AC3 ADP AGS AK ALL
WZB_1rb_3_5;die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1rb_3_8;die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1rb_3_9;du;du;lemma_1242;PRO;type_3966;1303;167;ABS ADP APO ARB AXU BMG BRH BST
WZB_1rb_4_0;mir;mir;lemma_3001;PRO;type_10237;48071;519;ABG AC1 AC2 AC3 ADP AK ALL ALX
WZB_1rb_4_2;Hast;hast;lemma_2598;VRB;type_8756;1640;163;AC1 AC2 AC3 ADP AMI APO ARB AXW
WZB_1rb_4_5;brenge;brenge;lemma_868;VRB;type_62558;19;13;ADP AXS FR1 HTR JKN MR2 MVL RCC
WZB_1rb_5_1;reichem;reichem;lemma_4872;ADJ;type_146349;19;12;CRO DLF FR3 LZT MML MSG NEI NEIC
WZB_1rb_5_2;wucher;wucher;lemma_7730;NOM;type_115493;36;18;DFR DMD DML DWE DWU FR2 FR3 GFM
WZB_1rb_5_3;vrolich;vrolich;lemma_7257;ADV;type_67124;62;23;CHH DJEM DRT DVF EGF EID EUP FES
WZB_1rb_6_0;dein;dein;lemma_1242;POS;type_67142;2610;69;AC1 AC2 AC3 ALX APO ASG AXW BAB
WZB_1rb_6_2;so;so;lemma_5601;ADV;type_19596;46543;550;ABS AC1 AC2 AC3 ADP AGS AK ALL
WZB_1rb_6_5;Mir;mir;lemma_3001;PRO;type_10237;48071;519;ABG AC1 AC2 AC3 ADP AK ALL ALX
WZB_1rb_7_0;gutlich;gutlich;lemma_2574;ADV;type_95734;89;31;AC2 AC3 CLV DJUM DMA ESB FR1 FR3
WZB_1rb_7_1;spreche;spreche;lemma_5693;VRB;type_19967;283;106;ABG ADP AXR AXS AXU BDK BRW BRZ
WZB_1rb_7_6;dich;dich;lemma_1242;PRO;type_3956;12994;412;ABG AC1 AC2 AC3 ADP AK ALX AMI
WZB_1rb_7_7;lieber;lieber;lemma_3765;ADJ;type_13108;4566;304;ABG AC1 AC2 AC3 ADP AGS AK AMI
WZB_1rb_8_4;Sint;sint;lemma_5432;VEX;type_18967;881;136;ADP AGS ALL AUK AXS AXU BES BMG
WZB_1rb_8_5;du;du;lemma_1242;PRO;type_3966;1303;167;ABS ADP APO ARB AXU BMG BRH BST
WZB_1rb_8_8;disen;disen;lemma_1169;DET;type_3691;3852;274;ABG AC1 AC3 ADP AK AMI APO ARK
WZB_1rb_9_0;stunden;stunden;lemma_5842;NOM;type_20589;1003;99;AK AMI AT AX AXR AXU BAR BRF
WZB_1rb_9_4;wenig;wenig;lemma_7428;ADJ;type_44425;953;89;ABS AC1 AC2 AC3 ADP APO ARB ATF
WZB_1rb_10_0;sunden;sunden;lemma_5867;NOM;type_41314;638;128;AC2 AC3 ADP AGS AK ANN ASG AXS
WZB_1rb_10_3;Ich;ich;lemma_3001;PRO;type_10212;138359;601;ABG AC1 AC2 AC3 ADP AGS AK ALL
WZB_1rb_10_4;wil;wil;lemma_7473;VEM;type_26922;12100;293;ADP AGS AK AMI AT AX AXH AXK
WZB_1rb_10_5;dich;dich;lemma_1242;PRO;type_3956;12994;412;ABG AC1 AC2 AC3 ADP AK ALX AMI
