lemma_id	form	resolved_pos	confidence	note
lemma_3912	*	NOM	high	mâse: noun throughout
lemma_961	*	NOM	high	busîne: noun throughout
lemma_7152	*	NOM	high	vluot: noun throughout
lemma_26724	*	NOM	high	morsære: noun throughout
lemma_3775	*	NOM	high	lilje: noun throughout
lemma_4067	*	NOM	high	mël: noun throughout
lemma_7750	*	NOM	high	zagel: noun throughout
lemma_7119	*	NOM	high	vlec: noun throughout
lemma_24186	*	NOM	high	willekür: noun throughout
lemma_14922	*	NOM	high	windel: noun throughout
lemma_14464	*	NOM	high	organâ: noun throughout
lemma_5568	*	NOM	high	smerzen: noun throughout
lemma_5159	*	NOM	high	schalc: noun throughout
lemma_5113	*	NOM	high	sarc: noun throughout
lemma_7281	*	NOM	high	vûst: noun throughout
lemma_7518	*	NOM	high	wevel: noun throughout
lemma_58951	*	VRB	high	lëgeren: verbal use throughout; NOM not attested
lemma_5903	*	VRB	high	suochen: verbal use throughout; NOM not attested
lemma_2681	*	VRB	high	haʒʒen: verbal use throughout; NOM not attested
lemma_2075	*	VRB	high	gelouben: verbal use throughout; NOM not attested
lemma_5310	*	VRB	high	schrîen: verbal use throughout; INJ/NOM not attested
lemma_2588	*	VRB	high	hâhen: verbal use throughout; NOM not attested
lemma_3860	*	VRB	high	loufen: verbal use throughout; INJ/NOM not attested
lemma_2739	*	VRB	high	hëlfen: verbal use throughout; INJ/NOM not attested
lemma_5748	*	VRB	high	stellen: verbal use throughout; NOM not attested
lemma_621	*	VRB	high	beten: verbal use throughout; NOM not attested
lemma_7648	*	VRB	high	wirken: verbal use throughout; NOM not attested
lemma_2923	*	VRB	high	houwen: verbal use throughout; NOM not attested
lemma_2353	*	VRB	high	gewonen: verbal use throughout; NOM not attested
lemma_4349	*	VRB	high	nîgen: verbal use throughout; NOM not attested
lemma_6888	*	VRB	high	verliesen: verbal use throughout; NOM not attested
lemma_7128	*	VRB	high	vliegen: verbal use throughout; NOM not attested
lemma_1984	*	VRB	high	gebrûchen: verbal use throughout; NOM not attested
lemma_99	*	VRB	high	ahten: verbal use throughout; NOM not attested
lemma_6194	*	VRB	high	trîben: verbal use throughout; NOM not attested
lemma_5749	*	VRB	high	steln: verbal use throughout; NOM not attested
lemma_1523	*	VRB	high	erbarmen: verbal use throughout; NOM not attested
lemma_5827	*	VRB	high	ströuwen: verbal use throughout; NOM not attested
lemma_5783	*	VRB	high	stôʒen: verbal use throughout; NOM not attested
lemma_709	*	VRB	high	binden: verbal use throughout; NOM not attested
lemma_3523	*	VRB	high	küssen: verbal use throughout; NOM not attested
lemma_5696	*	VRB	high	sprengen: verbal use throughout; INJ/NOM not attested
lemma_1236	*	VRB	high	drücken: verbal use throughout; NOM not attested
lemma_6313	*	VRB	high	turren: verbal use throughout; NOM not attested
lemma_6870	*	VRB	high	verkêren: verbal use throughout; NOM not attested
lemma_6784	*	VRB	high	vehten: verbal use throughout; NOM not attested
lemma_5196	*	VRB	high	scheiden: verbal use throughout; NOM not attested
lemma_452	*	VRB	high	behagen: verbal use throughout; NOM not attested
lemma_2080	*	VRB	high	gelten: verbal use throughout; NOM not attested
lemma_687	*	VRB	high	bîten: verbal use throughout; NOM not attested
lemma_6852	*	VRB	high	vergeben: verbal use throughout; NOM not attested
lemma_2292	*	VRB	high	gevallen: verbal use throughout; NOM not attested
lemma_483	*	VRB	high	bekennen: verbal use throughout; NOM not attested
lemma_3675	*	VRB	high	leger: verbal use throughout; NOM not attested
lemma_5594	*	VRB	high	snîden: verbal use throughout; INJ/NOM not attested
lemma_3731	*	VRB	high	lîhen: verbal use throughout; NOM not attested
lemma_7284	*	VRB	high	vüllen: verbal use throughout; NOM not attested
lemma_7199	*	VRB	high	vordern: verbal use throughout; NOM not attested
lemma_7150	*	VRB	high	vluochen: verbal use throughout; NOM not attested
lemma_5974	*	VRB	high	swîgen: verbal use throughout; INJ/NOM not attested
lemma_3465	*	VRB	high	kriegen: verbal use throughout; NOM not attested
lemma_640	*	VRB	high	betwingen: verbal use throughout; NOM not attested
lemma_4984	*	VRB	high	rouben: verbal use throughout; NOM not attested
lemma_4893	*	VRB	high	rîʒen: verbal use throughout; NOM not attested
lemma_609	*	VRB	high	besuochen: verbal use throughout; NOM not attested
lemma_5647	*	VRB	high	spannen: verbal use throughout; NOM not attested
lemma_5295	*	VRB	high	schouwen: verbal use throughout; INJ/NOM not attested
lemma_6761	*	VRB	high	varn: verbal use throughout; NOM not attested
