file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
GVN.tei.xml;GVN_603011000_3;minne;11;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nach Präposition mit Artikel 'nâch der minne ger': klar nominal.;dast ein süezer umbevanc , / lieplîch nâch der **minne** ger . / wê der gar verlornen stunde
WVO.tei.xml;WVO_539200_3;minne;5392;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel 'diu' mit Attribut 'hoch gefrit' als Subjekt.;des hertzen liep in kummer lit ? / ja , diu **minne** hoch gefrit / hat mich des underschaiden :
FLO.tei.xml;FLO_1111_3;minne;1111;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivattribut 'unser zweier minne' als Prädikatsnomen, nominal.;der tûben geselleschaft / ist unser zweier **minne** : / die fürht ich daz ir zerinne
SWT.tei.xml;SWT_501010_1;minne;1;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;'ich minne ... ein ding und hazze' : 1. Sg. Präs. parallel zu 'hazze'.;ir minne hât mich senden man gebunden . / ich **minne** in mînem muote ein ding und hazze dâbî zwei : / des einen sol dur got mich nieman vrâgen ,
SUS.tei.xml;SUS_3605040_4;minne;4;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivattribut 'gottes minne', Objekt zu 'behalden'.;alsolhen zwîvel sult ir lân , / welt ir behalden gottes **minne** . / < die wil ich behalten gerne : wîsent , wie ! >
ADP.tei.xml;ADP_9110600_5;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;'an swesterlicher minne': Praeposition plus attributives Adjektiv, in nominaler Reihe.;genaden der dv mir da in hast getan . an geslicher verrichtvng . an swesterlicher **minne** . an gvoter geselle schaft . vnd an liplicher notürft . vnd wie kranchlich vnd
REN.tei.xml;REN_46160_3;minne;4616;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;"Artikel diu, Subjekt zu gewert; gnomische Wendung, Substantiv.";swelher muot siner minne gert , / daz in diu **minne** des gewert , / ob sie ir gert ane wenken .
EBS.tei.xml;EBS_1060840_3;minne;84;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Praeposition, Artikel und Adjektiv (von der heiligen minne).;"unser herzen die solten innen / von der heiligen **minne** brinnen / die wir zu got solten han ;"
UVW.tei.xml;UVW_140200900_4;minne;9;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivattribut zu strale: 'der wessen minne strale'.;weder liep noch trôst geschiht . / mich hât der wessen **minne** strâle / verwundet niht zem êrsten mâle .
AXR.tei.xml;AXR_86000_3;minne;860;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitiv mit Partizipialattribut: 'helnder minne diep'.;durch dirre vrouwen herzeliep / betrouc sî helnder **minne** diep , / nâch liebes staetem liebe
MAI.tei.xml;MAI_77210_2;minne;7721;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Passivkonstruktion: 'den nie minne wart bechant', Abstraktum.;minne twingen vnd ir bant , / den nie **minne** wart bechant . / swer sin herze an mange stat
PRT.tei.xml;PRT_1537_2;minne;1537;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Präposition plus Possessiv: sîn herze bran nâch ir minne.;doch wizzet daz sîn herze bran / nâch ir **minne** sam ein kol . / er hôrte an ir gebaere wol
TRO.tei.xml;TRO_37947_3;minne;37947;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Praepositionalphrase 'dur minne' als Grundangabe zu 'geliten'.;sô der vil angestbaere tôt , / den er dur **minne** hât geliten : / des sult ir philothêtem biten ,
TIT.tei.xml;TIT_130040_10;minne;4;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;"Possessiv 'din minne' als Objekt; finites Verb des Satzes ist 'nenne'.";wart an muoter vruht , als ichz erkenne . / sîn blic sol dîniu ougen gesüezen : ûf gelt dîn **minne** ich im nenne > / aldâ was minne erloubet mit minne beslozzen ,
FLG.tei.xml;FLG_2161040_6;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivattribut mit Artikel: 'von zwein leiden der minne'.;"umbe menschlich arbeit ; das kumt von eigenem willen ii . von zwein leiden der **minne** des , der in der minne wart gesehen iii . von der zungen der gotheit"
SJH.tei.xml;SJH_5102130_3;minne;13;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Subjekt zu 'irkant wirt': 'in wirt beiden minne irkant'.;wirt da wol mit liebem ende : / in wirt beiden **minne** irkant . / wer möchte bezzer fröide hân ,
RVBR.tei.xml;RVBR_4848_4;minne;4848;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Praedikatsnomen mit Adjektiv: 'niht rehtiu minne'.;niht volgen mit dem sinne . / daz ist niht rehtiu **minne** , / ob sich ein herze bindet
MML.tei.xml;MML_10804_1;minne;4;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel: die minne det dich verwunt, Subjekt.;din lib wart manigir froudin laz , / die **minne** det dich , helt , verwunt . / an der shonin bersabe din herze hette gar gedobit .
SJR.tei.xml;SJR_109080_7;minne;8;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel plus Genitivattribut: 'umbe die gottes minne'.;da sülen wir gedenken an / und geben den armen umbe die gottes **minne** , / sîd wir anders niht enhân
FDS.tei.xml;FDS_72007_2;minne;7;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivattribut mit Adjektiv: senelicher minne bant.;din herze nimmer würd erlost / von senelicher **minne** bant , / dir würd ir wiplich güete erkant .
AXU.tei.xml;AXU_7997_3;minne;7997;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nach Praeposition mit (mit minne sie besaz): Substantiv.;die clâre mit ir güete , / sîn herze mit **minne** sie besaz . / vîntlîche slege er maz .
DFR.tei.xml;DFR_3115490_1;minne;1549;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Possessiv ir davor, koordiniert mit ir guete und ir recht: Substantiv.;die vrowen , die sint baz gedigen : / ir **minne** , ir guete und ir recht / sint so getreulichen sleht
TAN.tei.xml;TAN_5660_0;minne;566;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Objekt zu 'ger' (gern mit Genitiv/Akkusativ) im Bedingungssatz.;ob des keiner an mich ger / **minne** , sô deich in gewer / daz ich werde sîn wîp ,
AXU.tei.xml;AXU_6304_2;minne;6304;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel 'die minne' als Subjekt von 'blîbe', Gottesminne.;an sêle und an lîbe . - / daz die **minne** an in blîbe , / die der minne haben enphunden :
WUT.tei.xml;WUT_7205_2;minne;5;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Subjekt mit Genitivattribut: 'des heldes minne wart ir ger'.;"mit im und sich schiffen an ; / des heldes **minne** wart ir ger . / den kus beweint sît terramer :"
BVSN.tei.xml;BVSN_12190_7;minne;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitiv mit Demonstrativ: dirr minne augen.;gaistleichez leben . di ander minne haizzet und ist ain mit gerende minne . dirr **minne** augen stent nur czu dem lôn , also , daz di lewte di an dirr
ADP.tei.xml;ADP_5307100_5;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nach Praeposition mit Artikel 'meret mit der minne': klar nominal.;vnd er sich selben offenet in der bihte . vnd sich selben meret mit der **minne** . div sele mak wol ane schame ze hove komen . vnd daz er si
REN.tei.xml;REN_47040_4;minne;4704;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;"Objekt zu gewinne mit Genitivattribut diner hulde; nominal.";von mir , und han ich sinne , / ich gewinne diner hulde **minne** . / waer mir din art baz erkant ,
TRO.tei.xml;TRO_17081_3;minne;17081;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nach Praeposition mit Artikel: 'zuo der minne sich gezoch'.;mîn hant diu leit vil manigen druc , / der zuo der **minne** sich gezôch . / owê , daz ich von dir niht flôch ,
MHM.tei.xml;MHM_1160106_5;minne;6;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;daz ich si ... minne: 1. Sg. mit Objekt si und Adverb.;daz ein man also tobt , als ich tuon zaller zît , / daz ich sî sô herzeclîche **minne** / und es ê nie gewuoc und ir dient iemer sît .
TRO.tei.xml;TRO_11203_3;minne;11203;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nominalgruppe nach Praeposition: 'mit niuwer liebe minne'.;dô wart sîn muot gebunden / mit niuwer liebe **minne** , / wan er dô sîne sinne
MRA.tei.xml;MRA_1130704_1;minne;4;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;1. Sg. Praes.: ich minne ein wip.;des stêt mîn herze und al mîn wille alsô : / ich **minne** ein wîp , dâ mein ich hin . / diu ist hôchgemuot und ist sô schoene ,
WUT.tei.xml;WUT_30516_5;minne;16;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;"Nach Praeposition 'in'; finites Verb ist 'betaget'.";ez mohte wol sîn als minne saget . / do der beider liep in **minne** betaget , / nû kom diu küniginne sân .
REN.tei.xml;REN_192150_4;minne;19215;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Objekt mit Artikel: ich enmeine nit die minne.;und meistig dar sinnet . / ich enmeine nit die **minne** / der pfliget diu kuenginne
TIT.tei.xml;TIT_52040_6;minne;4;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Praeposition 'von' mit Possessiv und Adjektiv 'ir kintlicher'.;grôziu liebe was dar zuo gemenget . / ich sagete iu von ir kintlîcher **minne** vil wunders , wan daz ez sich lenget . / ( ir schemelîchiu zuht und diu art ir geslehtes
ENG.tei.xml;ENG_3712_1;minne;3712;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nach Praeposition: ze minne (gegert ze minne).;daz ir niht soldet hân gegert / ze **minne** mîner tohter wert / die man sô wirdeclichen zôch .
OVG.tei.xml;OVG_1137700_1;minne;11377;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivattribut mit Artikel: der minne suezikeit.;wand si dicke verleit / der **minne** süezikeit , / daz si die mâze übergienc .
MRF.tei.xml;MRF_1040105_1;minne;5;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;1. Sg. Praes.: ich minne die, diu mirs niht wil vertragen.;diu vliuhe ich , wan si mir niht kan behagen . / ich **minne** die , diu mirs niht wil vertragen . / mich minnent ouch , die mir sint doch bormaere .
HSL.tei.xml;HSL_357_5;minne;357;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel die, Objekt zu nam im Relativsatz: Substantiv.;si sprach : < liebe muoter , luog , / der ist , der die **minne** nam . > / dâvon diu muoter sêre erkam :
FLG1.tei.xml;FLG1_5153010340_13;minne;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivobjekt zu pflegen: der brinnenden minne pflegen.;"engel , die úns in dem tovffe werdent gegeben , die moegent nit der brinnenden **minne** pflegen , wan got hat inen nit die hitze gegeben ; mer si sint úns"
MRA.tei.xml;MRA_1140202_1;minne;2;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;1. Sg. Praes.: ich minne niht so sere ... ein wip.;die hôchgemuoten zîhent mich , / ich **minne** niht sô sêre , als ich gebâre , ein wîp . / si liegent und unêrent sich :
MRL.tei.xml;MRL_40412_1;minne;12;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;"Kasusform mit Artikel: 'der minne ist bereit'; nominale Position.";selh ende / der **minne** ist bereit . / sumer , diner kunft froeit sich du heide
WVW.tei.xml;WVW_4938_3;minne;4938;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel 'der' nach Präposition 'von', Genitivattribut zu 'gebot'.;< ist er dâ durch iuwern got / oder von der **minne** gebot ? / habet ir des iht vernomen
WVO.tei.xml;WVO_164400_2;minne;1644;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Attributives 'rehter' nach Praeposition 'mit': 'mit rehter minne taete'.;naturlich minne geraete / mit rehter **minne** taete / die noch die suezzen minne frumt .
RVBR.tei.xml;RVBR_528_4;minne;528;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivattribut mit Artikel: 'der minne spil'.;daz er des besten niuwan wil . / alsus wil ouch der **minne** spil / gewalteclîch in herzen ligen .
KWL.tei.xml;KWL_15020_4;minne;20;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivobjekt mit Adjektiv zu spulgen: suezer minne.;ob er langer ûf den tac / wil spulgen hinne süezer **minne** : / swer gepflac der mâze an liebe nie ,
WUT.tei.xml;WUT_30513_0;minne;13;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Substantivisches Objekt zu 'hân bezalt', koordiniert mit 'minne hie'.;nu , meister , hân ich dir gar bezalt / **minne** dort und minne hie . > / kiusche und minne ir rede nû lie :
MAI.tei.xml;MAI_19570_0;minne;1957;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Praedikativum: 'minne ez niht geheizzen chan', nominale Benennung.;swer niht hat rehten minne mut . / **minne** ez niht geheizzen chan , / der sich gerumen dehein man
WVO.tei.xml;WVO_862000_4;minne;8620;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Possessiv 'ir minne' als Objekt zu 'gelten'.;zarten kuenginne / daz der tot ir **minne** / wil so suerlich gelten ,
HSL.tei.xml;HSL_231_4;minne;231;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel die mit nachgestelltem Possessiv miin: Substantiv.;"ich hân niht wol umbe iuch gekouft . / gênt mir wider die **minne** mîn / und nement ir iuwer heselîn ;"
