file;xml_id;form;vers;action;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
GWTK.tei.xml;GWTK_34220198900_1;jungen;1989;REVIEW;nein;;;;;;;lemma_3157;NOM;medium;"Wohl substantivierter Genitiv: 'des jungen tugenlichen sitte' = die tugendhafte Art des Jungen; Kontrast zum 'alten hirtt'. Attributive Lesart zu 'sitte' (ein Artikel für die ganze NP) nicht ausgeschlossen.";des **jungen** tugenlichen sitte ,
GWTK.tei.xml;GWTK_53220306700_3;jungen;3067;REVIEW;nein;;;;;;;lemma_3157;NOM;medium;"Formel 'ende kiesen' (den Tod finden): 'von dem jungen ende koss' = fand durch den Jungen den Tod; 'ende' ist Objekt von 'koss', 'von dem jungen' Urheber-PP ohne Bezugsnomen. Vers elliptisch.";och von dem **jungen** ende koss ,
GWTK.tei.xml;GWTK_69210401600_2;jungen;4016;REVIEW;nein;;;;;;;lemma_3157;NOM;medium;"Wohl substantiviert: 'die dem jungen erren do verbunden und manheitt', 'erren' hier eher êren (vgl. 'in erren' im Text; 'Herren' erscheint als 'heren'); Lesart 'dem jungen herren' (dann ADJ) nicht ganz ausschliessbar.";die dem **jungen** erren do
GWTK.tei.xml;GWTK_82210480000_1;rott;4800;REVIEW;nein;;;;;;;lemma_10840;NOM;medium;"Abstraktum im Stoff-/Farbkontext: 'dar under liechtt hermin: du rott gab werlich lïchten' = die Röte (des Gewands) gab Glanz; femininer Artikel 'du' (diu) passt zu roete, nicht zum neutralen 'daz rote'. Schar-Lesart unwahrscheinlich, aber Form apokopiert und mehrdeutig.";du **rott** gab werlich lïchten .
GWTK.tei.xml;GWTK_93110543300_1;jungen;5433;REVIEW;nein;;;;;;;lemma_3157;ADJ;medium;"Attributiv zum substantivierten Kopf 'wol gemuetten' ('den jungen wol gemuetten an'); Kopf-Zuordnung nicht zwingend, jungen koennte selbst Kopf sein";den **jungen** wol gemütten an ,
GWTK.tei.xml;GWTK_98110571700_2;jungen;5717;REVIEW;nein;;;;;;;lemma_3157;ADJ;medium;"Attributiv zum substantivierten 'werden' ('umb den jungen werden' = um den jungen Werten); Kopf der NP ist das zweite, ebenfalls substantivierte Adjektiv, Zuordnung daher nicht zwingend.";umb den **jungen** werden :
GWTK.tei.xml;GWTK_141210827800_4;rott;8278;REVIEW;nein;;;;;;;lemma_4954;NOM;medium;"Wohl substantiviert 'in tiefem Rot' (Blut) nach 'belibend tod': 'vor im in tïffen rott'; Schar-Lesart wegen endungsloser Form (fem. Dat. waere 'rotten') unwahrscheinlich, Vers aber elliptisch.";vor im in tïffen **rott** .
GWTK.tei.xml;GWTK_169110988900_5;rott;9889;REVIEW;nein;;;;;;;lemma_4954;ADJ;medium;"Nachgestellt zu 'morgen': 'als es were der morgen rott' (der rote Morgen, Lichtvergleich); Lesart als getrenntes Kompositum morgenrôt 'Morgenrot' (dann Subst.) nicht ausschliessbar.";als es were der morgen **rott** .
GWTK.tei.xml;GWTK_247211444200_3;rotten;14442;REVIEW;nein;;;;;;;lemma_4978;NOM;medium;"Wohl Genitivattribut zu 'schar': 'tüst flüchtig gantzer rotten schar' = schlägst die Schar ganzer Kriegshaufen in die Flucht; Farb-Lesart kontextlos, aber Syntax (Kongruenz von 'gantzer') mehrdeutig.";tüst flüchtig gantzer **rotten** schar .
GWTK.tei.xml;GWTK_262111529800_4;rotten;15298;REVIEW;nein;;;;;;;lemma_4954;ADJ;medium;"Attributiv zu 'schar': 'zü der rotten schar' = zur roten Schar; die Episode beschreibt ein rotfarbenes Volk (15344 'gemain rotte farwe', 15363 'rotten diett'). Genitiv-Lesart 'Schar der Rotte' nicht ganz ausgeschlossen.";wir müssen zü der **rotten** schar ,
GWTK.tei.xml;GWTK_262111531000_4;rotten;15310;REVIEW;nein;;;;;;;lemma_4954;NOM;medium;"'von den rotten varn' in der Roten-Volk-Episode (V. 15289 Ueberschrift, 'alle rott gevar'): substantivierte Rote; Lesart 'Scharen' (4978) nicht voellig auszuschliessen";und vere von den **rotten** varn ! >
GWTK.tei.xml;GWTK_262221533000_6;rotten;15330;REVIEW;nein;;;;;;;lemma_4954;ADJ;medium;"Wohl attributiv (schwach, Dat.) zu 'schar': 'ze der rotten schar' = zur roten Schar (Episode der rotgefaerbten Bewohner, vgl. V. 15291 'rott gevar'); Genitiv-Lesart 'Schar der Rotte' (4978) nicht ausschliessbar.";ze der fruchtt und ze der **rotten** schar . >
GWTK.tei.xml;GWTK_263111534900_2;rotten;15349;REVIEW;nein;;;;;;;lemma_4954;NOM;medium;"wohl substantiviert: 'die ungetrüwen rotten' = die roten Kreaturen dieser Episode (parallel V.15354 'die roten', V.15344 'gemain rotte farwe'); Lesart 'die treulosen Rotten' (lemma_4978 NOM) nicht ganz ausgeschlossen, Klauselsyntax elliptisch";die ungetrüwen **rotten**
GWTK.tei.xml;GWTK_263111535900_1;rotten;15359;REVIEW;nein;;;;;;;lemma_4954;NOM;medium;"Wohl substantivierter Gen. Pl.: 'schlüg ... der rotten achthundertt' = 800 der Roten (rotgefaerbte Bewohner, vgl. V. 15291); Lesart '800 der Rotte/Schar' (4978) grammatisch ebenfalls moeglich.";der **rotten** achthundertt .
GWTK.tei.xml;GWTK_263211537300_1;rotten;15373;REVIEW;nein;;;;;;;lemma_4954;ADJ;low;"'der rotten faigen hoffartt' in der Roten-Volk-Episode: wohl attributiv zum substantivierten 'faigen' (Hoffart der roten Todgeweihten); Struktur echt ambig, auch Gen. zu rotte 'Schar' (4978) moeglich";der **rotten** faigen hoffartt .
GWTK.tei.xml;GWTK_263211537900_3;rotten;15379;REVIEW;nein;;;;;;;lemma_4954;NOM;medium;"Substantiviert: 'do dis die rotten sachen' = als die Roten (das rote Volk von 15344/15363) dies sahen; formal auch als 'die Rotten' (Scharen) lesbar, Referent derselbe.";do dis die **rotten** sachen ,
GWTK.tei.xml;GWTK_278211625900_3;rott;16259;REVIEW;nein;;;;;;;lemma_4954;ADJ;medium;"wohl nachgestellt zu 'jude' (blutrot; 'manig starker jude' mask. Sg. + 'lag' Sg., Stockreim rott:tod); Lesart 'starker jude(n) rott' = Judenschar (lemma_4978 NOM) wegen V.16266 'der rotten diett' nicht sicher auszuschliessen";manig starker jude **rott**
GWTK.tei.xml;GWTK_291121698000_2;rott;16980;REVIEW;nein;;;;;;;lemma_4978;NOM;medium;"'gebott allen lïchten rott(en)' = der ganzen glaenzenden Schar (Dativ, Endung im Reim gebott:rott gekappt); Pluralreferenz 'daz sy ze dienste beraitt weren'; Form unregelmaessig, Farb-Lesart aber kontextlos";allen lïchten **rott**
