file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
DIO.tei.xml;DIO_12821_5;fro;21;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;Lemma klar ('mit fröuden fro'), aber ohne Kopula zu 'schiet enweg': depiktives ADJ oder ADV bleibt offen.;vrlovp nam der meister do / vnd schiet enweg mit fröuden **fro** / do die keiserin das befant
FR1.tei.xml;FR1_5092110_2;fro;11;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"Kontrastpaar gein trûrec frô neben gein sorgen lust; Lemma klar, elliptisch auch substantivische Lesart möglich.";lachen , ( ) weinen beide , / gein trurec **fro** , gein sorgen lust , ( ) schimpf ane unterscheide , / die ane maze weren nicht . der maze craft bewache .
FR1.tei.xml;FR1_12002040_0;fro;4;REVIEW;confidence;nein;;;;;;;lemma_7250;ADV;medium;"frô ich zu dînem rîche kom: modifiziert kom ohne Kopula; Lemma klar, depiktives ADJ bleibt als Lesart offen.";baz , so er din erschricke , / **fro** ich zu dinem riche / kom , tetragrammaton .
FR1.tei.xml;FR1_13058020_4;fro;2;REVIEW;confidence;nein;;;;;;;lemma_7250;NOM;medium;"daz lustlich frô parallel zu daz angesichte als Objekt von enpfangen; daz als Pronomen mit prädikativem frô bleibt offen.";swenn man daz angesichte hat / enpfangen und daz lustlich **fro** , / darnach heimliches herzen rat
FR2.tei.xml;FR2_419020_7;fro;2;REVIEW;verdict-klasse;nein;;;;;;;lemma_7250;NOM;high;"Substantiviert: 'ein swinendez fro', Artikel plus stark flektiertes Attribut ohne Bezugswort, Apposition zu süzen sang; kein Angeredeter.";ja singe ich als der swan , der ( ) gein dem ende / so süzen sang gewinnet , ein swinendez **fro** . / sie tut mir als dem venix , den sin brende
FR3.tei.xml;FR3_105218020300_2;fro;30;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"Antithese 'gein trurec fro' neben 'sorgen lust'; froh, aber Substantivierung moeglich, Wortart offen.";lachen , ( ) weinen beide , / gein trurec **fro** , gein sorgen lust , ( ) schimpf ane unterscheide , / die ane maze weren nicht . der maze craft bewache .
FR3.tei.xml;FR3_108204030560_3;fro;56;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;'so wer ich fro geporn': froh mit Kopula wer(e), doch adverbiale Lesart zu 'geporn' bleibt offen.;al zu der stunt / so wer ich **fro** geporn . / des pit ich dich , du hochste kaiserinne ,
FR3.tei.xml;FR3_111209101540_6;fro;154;REVIEW;confidence;nein;;;;;;;lemma_7250;ADV;medium;"'wer halff vil fro von swere': froh zu 'halff' ohne Kopula; ADV, doch ADJ (resultativ) oder 'frueh' offen.";nu sich , wer halff vil **fro** von swere / judit , das sie das haupet nam so here ,
FR3.tei.xml;FR3_211209020180_6;fro;18;REVIEW;confidence;nein;;;;;;;lemma_7250;ADV;medium;"'wer halff vil fro uss swere': Parallelfassung, froh zu 'halff'; ADV, Wortart nicht eindeutig.";nu sich , wer halff vil **fro** uß swere / judith , do sie dem heuptman in dem here
FR3.tei.xml;FR3_111210020340_2;fro;34;REVIEW;confidence;nein;;;;;;;lemma_7250;ADV;medium;'sach er ... und ewig fro den hochsten hort': froh zum Verb sehen, depiktives ADJ bleibt offen.;die gotheit her sach er also gedriet / und ewig **fro** den hochsten hort so vein .
