lemmaRef	resolved_sense	confidence	note
lexicon.xml#lemma_5377	lemma_5377_sense_14901	high	all uses are possessive pronoun "his" (Relationship); temporal sense not attested in sample
lexicon.xml#lemma_2933	lemma_2933_sense_28403	high	domestic house/household throughout; castle sense not applicable in OT patriarchal context
lexicon.xml#lemma_2837	lemma_2837_sense_4558	high	all 4 samples directional/spatial (hin vlige, hin quam, hin gink); temporal sense absent
lexicon.xml#lemma_1288	lemma_1288_sense_16179	high	ordinal "erste/ersten" throughout (firstborn, first month, first lot, first fruits)
lexicon.xml#lemma_2453	lemma_2453_sense_3939	high	gold as material (golt vnd silber, von reinem golde, centner goldes); proper-name sense not attested
lexicon.xml#lemma_6992	lemma_6992_sense_14688	high	destroy/exterminate throughout (slug vnd vortilgte, vortilgen ire stete, wurden vortilget von der erden); eating sense absent
lexicon.xml#lemma_3909	lemma_3909_sense_6168	high	month as time unit throughout (ersten tage des menedis, virczehenden tage des menedis); astronomical-body sense absent
lexicon.xml#lemma_5775	lemma_5775_sense_9090	high	voice/vocal expression throughout (hore seine stimme, hub ouf ir stimme, stimme deines herren gotes); singing/chant sense absent
lexicon.xml#lemma_900	lemma_900_sense_1478	high	well/water source throughout (trenkte man die schaf, brvnne gruben, brvnne des lebendigen); Existence sense not applicable
lexicon.xml#lemma_2795	lemma_2795_sense_4506	high	heart as theological-cognitive organ (Lev 19:17, Deut 8:17, 11:18, 30:6 patterns: "in deinem herczen", "wort in ewer hercze"); emotional-feeling sense not primary here
lexicon.xml#lemma_7411	lemma_7411_sense_12060	high	Levitical clothes-washing throughout ("wasche sein gewant vnd werde reine"); personal hygiene sense would be "sich waschen"
