form_schluessel;lemma;tokens;grund;beispiele
geczeldis;lemma_2361;115;kein Typ fuer dieses Paar im Korpus belegt;WZB_79va_16_1 geczeldis | WZB_81rb_7_3 geczeldis | WZB_81rb_20_2 geczeldis
dorumbe;lemma_30703;99;kein Typ fuer dieses Paar im Korpus belegt;WZB_2rb_23_2 dorumbe | WZB_3va_23_2 dorumbe | WZB_3vb_13_2 dorumbe
geperte;lemma_1964;98;kein Typ fuer dieses Paar im Korpus belegt;WZB_6ra_10_1 geperte | WZB_6ra_11_0 geperte | WZB_6ra_12_0 geperte
wustenunge;lemma_59071;92;kein Typ fuer dieses Paar im Korpus belegt;WZB_18vb_23_4 wustenunge | WZB_36vb_21_4 wustenunge | WZB_38ra_14_7 wustenunge
besiczunge;lemma_44139;78;kein Typ fuer dieses Paar im Korpus belegt;WZB_14va_26_2 besiczunge | WZB_20rb_15_5 besiczunge | WZB_20va_19_2 besiczunge
scot;lemma_78668;69;kein Typ fuer dieses Paar im Korpus belegt;WZB_20va_3_2 scot | WZB_21va_8_3 scot | WZB_21va_10_1 scot
housvrowen;lemma_2938;68;kein Typ fuer dieses Paar im Korpus belegt;WZB_16vb_22_0 housvrowen | WZB_18ra_30_1 housvrowen | WZB_21ra_32_6 housvrowen
geczeuknusse;lemma_2367;56;kein Typ fuer dieses Paar im Korpus belegt;WZB_80ra_7_6 geczeuknusse | WZB_82ra_6_1 geczeuknusse | WZB_82vb_31_2 geczeuknusse
geczelde;lemma_2361;50;kein Typ fuer dieses Paar im Korpus belegt;WZB_81va_12_3 geczelde | WZB_82vb_28_3 geczelde | WZB_87vb_10_3 geczelde
czigen;lemma_26851;49;kein Typ fuer dieses Paar im Korpus belegt;WZB_13va_24_6 czigen | WZB_29vb_8_3 czigen | WZB_29vb_12_15 czigen
ousseczikeit;lemma_36171;46;kein Typ fuer dieses Paar im Korpus belegt;WZB_110va_24_5 ousseczikeit | WZB_110va_28_4 ousseczikeit | WZB_110va_31_3 ousseczikeit
toho;lemma_78628;45;kein Typ fuer dieses Paar im Korpus belegt;WZB_4rb_23_1 toho | WZB_5rb_21_0 toho | WZB_5rb_21_2 toho
tir;lemma_6080;45;kein Typ fuer dieses Paar im Korpus belegt;WZB_8ra_9_5 tir | WZB_8rb_2_8 tir | WZB_8rb_3_4 tir
opfertir;lemma_6080;41;kein Typ fuer dieses Paar im Korpus belegt;WZB_88vb_14_2 opfertir | WZB_99ra_8_0 opfertir | WZB_99ra_11_0 opfertir
menedis;lemma_3909;40;kein Typ fuer dieses Paar im Korpus belegt;WZB_7vb_32_2 menedis | WZB_8rb_33_2 menedis | WZB_8va_3_2 menedis
semil;lemma_5393;39;kein Typ fuer dieses Paar im Korpus belegt;WZB_71rb_13_5 semil | WZB_86rb_11_2 semil | WZB_99vb_37_5 semil
mageschaft;lemma_22720;38;kein Typ fuer dieses Paar im Korpus belegt;WZB_11rb_16_4 mageschaft | WZB_53va_20_1 mageschaft | WZB_119vb_26_2 mageschaft
housvrowe;lemma_2938;38;kein Typ fuer dieses Paar im Korpus belegt;WZB_11rb_31_3 housvrowe | WZB_18ra_25_4 housvrowe | WZB_18rb_15_3 housvrowe
