xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_1ra_2_0	Hie	PROLOGUS Hie hebt sich	ambiguous	lemma_1517|lemma_2588|lemma_2705|lemma_2825|lemma_2923	lemma_2825	high	claude
WZB_1ra_2_2	sich	Hie hebt sich an die	ambiguous	lemma_42100|lemma_5366|lemma_5445|lemma_5455	lemma_5445	high	claude
WZB_1ra_2_3	an	hebt sich an die vor	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_1ra_2_4	die	sich an die vor rede	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_1ra_2_6	rede	die vor rede vnd der	ambiguous	lemma_4826|lemma_4830	lemma_4826	high	claude
WZB_1ra_3_0	der	rede vnd der prologus vber	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1ra_3_2	vber	der prologus vber das buch	ambiguous	lemma_6359|lemma_6698	lemma_6359	high	claude
WZB_1ra_3_3	das	prologus vber das buch daz	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1ra_3_4	buch	vber das buch daz do	ambiguous	lemma_14784|lemma_21151|lemma_912|lemma_936	lemma_936	high	claude
WZB_1ra_3_6	daz	das buch daz do heisset	ambiguous	lemma_1097|lemma_14087	lemma_1097	high	claude
WZB_1ra_3_7	do	buch daz do heisset vnd	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_1ra_5_0	O	Biblia etcetera O Got got	ambiguous	lemma_18476|lemma_2|lemma_4445	lemma_4445	high	claude
WZB_1ra_6_4	du	Got got du herczen liebes	ambiguous	lemma_1139|lemma_1180|lemma_1241|lemma_1242	lemma_1242	high	claude
WZB_1ra_6_7	gute	herczen liebes gute Czu dir	ambiguous	lemma_2551|lemma_2573	lemma_2573	high	claude
WZB_1ra_7_0	dir	gute Czu dir hebit sich	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_1ra_7_2	sich	dir hebit sich mein mut	ambiguous	lemma_42100|lemma_5366|lemma_5445|lemma_5455	lemma_5445	high	claude
WZB_1ra_7_3	mein	hebit sich mein mut Und	ambiguous	lemma_3001|lemma_4048|lemma_4051	lemma_3001	high	claude
WZB_1ra_7_4	mut	sich mein mut Und rufet	ambiguous	lemma_4238|lemma_4264|lemma_4265	lemma_4264	high	claude
WZB_1ra_8_3	an	dich gutlichen an wenne nyemant	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_1ra_9_3	kan	wol geschaffen kan An dich	ambiguous	lemma_29233|lemma_3400|lemma_3538			
WZB_1ra_10_0	An	geschaffen kan An dich wil	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_1ra_10_3	wil	An dich wil yemant icht	ambiguous	lemma_7473|lemma_7529|lemma_7620	lemma_7473	high	claude
WZB_1ra_11_5	sinnen	vnd von sinnen bit bit	ambiguous	lemma_5484|lemma_5491	lemma_5491	high	claude
WZB_1ra_12_0	bit	von sinnen bit bit keiner	ambiguous	lemma_10651|lemma_4172|lemma_687|lemma_722			
WZB_1ra_12_1	bit	sinnen bit bit keiner hand	ambiguous	lemma_10651|lemma_4172|lemma_687|lemma_722			
WZB_1ra_12_3	hand	bit keiner hand geticht t	ambiguous	lemma_2598|lemma_2640	lemma_2640	high	claude
WZB_1ra_13_2	er	t t er deiner hulffe	ambiguous	lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117	lemma_1517	high	claude
WZB_1ra_14_1	ob	nicht Vnd ob er die	ambiguous	lemma_4457|lemma_67820|lemma_9329	lemma_9329	high	claude
WZB_1ra_14_2	er	Vnd ob er die vorkeuset	ambiguous	lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117	lemma_1517	high	claude
WZB_1ra_14_3	die	ob er die vorkeuset Sein	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_1ra_14_4	vorkeuset	er die vorkeuset Sein arbeit	unmatched				
WZB_1ra_14_6	Sein	die vorkeuset Sein arbeit er	ambiguous	lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432	lemma_5427	high	claude
WZB_1ra_14_7	arbeit	vorkeuset Sein arbeit er vorleuset	ambiguous	lemma_269|lemma_270	lemma_269	high	claude
WZB_1ra_15_0	er	Sein arbeit er vorleuset Wenne	ambiguous	lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117	lemma_1517	high	claude
WZB_1ra_15_1	vorleuset	arbeit er vorleuset Wenne also	unmatched				
WZB_1ra_15_6	sp	Wenne also sp spricht dein	unmatched				
WZB_1ra_16_6	An	werder svn An mich mugt	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_1ra_17_1	ir	mich mugt ir nicht getvn	ambiguous	lemma_1517|lemma_5454|lemma_56116|lemma_56117	lemma_56117	medium	claude
WZB_1ra_17_6	Dorvmbe	nicht getvn Dorvmbe rufe ich	unmatched		lemma_30703	high	claude
WZB_1ra_18_2	herre	rufe ich herre czu dir	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_1ra_18_4	dir	herre czu dir Und bite	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_1ra_18_7	bite	dir Und bite dich das	ambiguous	lemma_687|lemma_722	lemma_722	high	claude
WZB_1ra_19_2	das	bite dich das du sendest	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1ra_19_3	du	dich das du sendest mir	ambiguous	lemma_1139|lemma_1180|lemma_1241|lemma_1242	lemma_1242	high	claude
