file;xml_id;form;sigle;pos_prior;grund;vers;kontext
AC1.tei.xml;AC1_3110_9;fro;AC1;ADJ;mehrdeutig: auch lemma_7250;;ich freudenreiches wesens beraubet tegelicher guter lebtage entweret und aller wünnebringender rente geeußert frut und **fro** was ich vormals zu aller stunt kurz und lustsam was mir alle weil tag und
AC1.tei.xml;AC1_27160_14;fro;AC1;ADJ;mehrdeutig: auch lemma_7250;;ee in der ee wolte ich leben die weil lebend were mein leben wünnesam lustsam **fro** und wolgemut ist ein man der ein biderweib hat er wander wo er wander einem
AC2.tei.xml;AC2_4170_1;fro;AC2;ADJ;mehrdeutig: auch lemma_7250;;ich freudenreiches wesens beraubet teglicher guter lebtag enterbet und aller wunnbringenden rent geeussert frut unde **fro** was ich vormals zu aller stunt kurtz und lustsam was mir alle weil tag und
AC2.tei.xml;AC2_43070_12;fro;AC2;ADJ;mehrdeutig: auch lemma_7250;;e in der wolte ich leben die weil ich lept were mein leben wunnsam lustsam **fro** und wolgemut ist ein man der ein biderbes weip hat er wander wo er wander
AC3.tei.xml;AC3_5040_1;fro;AC3;ADJ;mehrdeutig: auch lemma_7250;;ich freudenreiches wesens beraubet tegelicher guter lebetage enterbet vnd aller wunnebringender rente geeussert frut vnd **fro** was ich vormals zu aller stunt kurz vnd lustsam was mir alle weile tag vnd
AC3.tei.xml;AC3_30180_2;fro;AC3;ADJ;mehrdeutig: auch lemma_7250;;als ee in der wolte ich leben die weile lebend were mein leben wunnesam lustsam **fro** vnd wolgemut ist ein man der ein bider weib hat er wandere wo er wander
ATF.tei.xml;ATF_471171060_0;fro;ATF;;mehrdeutig: auch lemma_7250;;gestarb ze abbt erwelt und als das der selb min maister hort wurd er also **fro** das er sich glich uff huob und gen cappel ylte sinen gesellen als ain abt
BRW.tei.xml;BRW_222010_7;fro;BRW;;mehrdeutig: auch lemma_7250;1;ich bin des edeln werden kúniges milte **fro** / dar ine er lebt und da bi pfligt so tugentlicher guete
CRO.tei.xml;CRO_948200_3;fro;CRO;;mehrdeutig: auch lemma_7250;9482;als si ein ander gesahen / si wurden bedenthalben **fro** / die meit nam er zuo im do
CRO.tei.xml;CRO_1260000_5;fro;CRO;;mehrdeutig: auch lemma_7250;12600;denn sust ieman siner gesellen / des was er sin also **fro** / ein hoff wart gebotten do
CRO.tei.xml;CRO_1286400_5;fro;CRO;;mehrdeutig: auch lemma_7250;12864;entruwen ich wolt des e swern / daz ich von mynne nymmer **fro** / wùrd e ich ertrùncke so
CRO.tei.xml;CRO_1370700_3;fro;CRO;;mehrdeutig: auch lemma_7250;13707;wurden sie enpfangen da / nü wart sgoydamur **fro** / da sie an dem mule gesah
CRO.tei.xml;CRO_1380000_3;fro;CRO;;mehrdeutig: auch lemma_7250;13800;mich mynnen das lob ich / des bin ich **fro** und hergib mich / herre hant ir ùch des bedoht
CRO.tei.xml;CRO_1459900_3;fro;CRO;;mehrdeutig: auch lemma_7250;14599;jch enweisz wes er da genosz / gawein des vil **fro** wart / das yme also die jnuart
CRO.tei.xml;CRO_1538200_4;fro;CRO;;mehrdeutig: auch lemma_7250;15382;den se das wùrt nit vermitten / der rede wart gawein **fro** / die naht verswant vnder jne da
CRO.tei.xml;CRO_1593100_4;fro;CRO;;mehrdeutig: auch lemma_7250;15931;den er was geritten e / dirre auentùre was er **fro** / an ein strasze kerte er da
CRO.tei.xml;CRO_1727000_5;fro;CRO;;mehrdeutig: auch lemma_7250;17270;solte vechten mit turno / so were ich nü als **fro** / als sie beyde waren da
CRO.tei.xml;CRO_1799200_3;fro;CRO;;mehrdeutig: auch lemma_7250;17992;er vergab yne die rede da / des wart leygamar **fro** / er ging mit jne in das husz
CRO.tei.xml;CRO_1922700_4;fro;CRO;;mehrdeutig: auch lemma_7250;19227;han als ein dùrres stro / des wurden dise frauwen **fro** / vnd danckten yme alle da
CRO.tei.xml;CRO_1923200_2;fro;CRO;;mehrdeutig: auch lemma_7250;19232;an ymme alles jamers mút / als ein **fro** hertz tuot / das leides gar vergiszet
CRO.tei.xml;CRO_2025900_5;fro;CRO;;mehrdeutig: auch lemma_7250;20259;gawein sin rosz gefing / des wart er von hertzen **fro** / vf das rosz sasz er da
CRO.tei.xml;CRO_2102600_1;fro;CRO;;mehrdeutig: auch lemma_7250;21026;lant vnmuot vnd klage / sint **fro** vnd wol gemuet / wann ùch lip vnd güt
CRO.tei.xml;CRO_2157800_4;fro;CRO;;mehrdeutig: auch lemma_7250;21578;wer mir das reht bekant / des wölt ich ymmer **fro** sin / dwijle ir mir es lieber frùnt min
CRO.tei.xml;CRO_2177500_4;fro;CRO;;mehrdeutig: auch lemma_7250;21775;wann sie es schuoffent also / auch waren sie selbs **fro** / vnd vorchten kein trurikeit drö
CRO.tei.xml;CRO_2229000_5;fro;CRO;;mehrdeutig: auch lemma_7250;22290;ygern vnd dise zwa / auch was er des selber **fro** / das er sie erfunden hett
CRO.tei.xml;CRO_2233100_5;fro;CRO;;mehrdeutig: auch lemma_7250;22331;dwijle es gelobt were also / der mere wart das her **fro** / also bleib die rede da
CRO.tei.xml;CRO_2238700_5;fro;CRO;;mehrdeutig: auch lemma_7250;22387;nach also richer tugend fúr / des was er von hertzen **fro** / by ir vf dem castel da
CRO.tei.xml;CRO_2249900_3;fro;CRO;;mehrdeutig: auch lemma_7250;22499;wann sie von den meren / wurden zuo male **fro** alle / mit vil groszem schalle
CRO.tei.xml;CRO_2294600_4;fro;CRO;;mehrdeutig: auch lemma_7250;22946;vnd yme heyles wunsch enbot / des waren sie alle **fro** / vnd satzten sin lob so ho
CRO.tei.xml;CRO_2334000_5;fro;CRO;;mehrdeutig: auch lemma_7250;23340;als es denn in groszer lieb tuot / vnd wart sin von hertzen **fro** / jn seliclichem bild was sie da
CRO.tei.xml;CRO_2371600_4;fro;CRO;;mehrdeutig: auch lemma_7250;23716;sie ted nach den freuden einen sprung / der mannes hertz tet **fro** / enbor vber ires amijs ho
CRO.tei.xml;CRO_2435000_5;fro;CRO;;mehrdeutig: auch lemma_7250;24350;da sprach min herr gawein / ritter ir sollent **fro** wesen / jr sint ledig vnd genesen
CRO.tei.xml;CRO_2459900_4;fro;CRO;;mehrdeutig: auch lemma_7250;24599;parcifal nam jne da / des wart kay sere **fro** / dar vmb daz er sehe
CRO.tei.xml;CRO_2519000_3;fro;CRO;;mehrdeutig: auch lemma_7250;25190;mit dirre auentùre sa / das wir beydenthalb **fro** / der auentùre bliben
CRO.tei.xml;CRO_2574100_6;fro;CRO;;mehrdeutig: auch lemma_7250;25741;wann von sinem gunde / deswar des wart sie hart **fro** / zü dem kùnige ging sie da
CRO.tei.xml;CRO_2574300_4;fro;CRO;;mehrdeutig: auch lemma_7250;25743;zü dem kùnige ging sie da / vnd batt jne hart **fro** zü sin / sie sprach sún vnd herre min
CRO.tei.xml;CRO_2582000_5;fro;CRO;;mehrdeutig: auch lemma_7250;25820;als er sie gesagte / des were er mit al **fro** / were aber des nit also
CRO.tei.xml;CRO_2607800_6;fro;CRO;;mehrdeutig: auch lemma_7250;26078;vnd batt sie weynen laszen / vnd truren das sie waren **fro** / gynouer muost lachen da
CRO.tei.xml;CRO_2652700_5;fro;CRO;;mehrdeutig: auch lemma_7250;26527;das hat bayngransz vernomen / des ist er von hertzen **fro** / were das nit so steet es so
CRO.tei.xml;CRO_2727500_3;fro;CRO;;mehrdeutig: auch lemma_7250;27275;sin kumber endlich verswant / vnd wart hertzeclichen **fro** / hie mit gingen sie slaffen da
CRO.tei.xml;CRO_2821900_3;fro;CRO;;mehrdeutig: auch lemma_7250;28219;vf von der erden er sie wag / vnd hiesz sie **fro** wesen / jr amijs möhte wol genesen
CRO.tei.xml;CRO_2822100_5;fro;CRO;;mehrdeutig: auch lemma_7250;28221;jr amijs möhte wol genesen / des trostes wart die frauw **fro** / gein fimbeusen kerte er da
CRO.tei.xml;CRO_2876900_6;fro;CRO;;mehrdeutig: auch lemma_7250;28769;mit michelem schall / deswar des was er hart **fro** / gein dem huse kerte er da
CRO.tei.xml;CRO_2881300_3;fro;CRO;;mehrdeutig: auch lemma_7250;28813;nú vant er ein türe verspert / des er hart **fro** wart / vnd wande sie weren dar jnne
CRO.tei.xml;CRO_2961400_5;fro;CRO;;mehrdeutig: auch lemma_7250;29614;dorch disen altherren da / er wart sin aber sitther **fro** / da ime die frauw geseit
CRO.tei.xml;CRO_2986900_4;fro;CRO;;mehrdeutig: auch lemma_7250;29869;mit vil groszem schall / vnd wurden siner zukunfft **fro** / grosz freude huob sich da
DDL.tei.xml;DDL_240_5;fro;DDL;;mehrdeutig: auch lemma_7250;24;uf die gruben kam er do / gwido sach in und was **fro** / und bat in das er im davon
DDL.tei.xml;DDL_520_6;fro;DDL;;mehrdeutig: auch lemma_7250;52;an das seil sprang er do / er kam herus und was gar **fro** / das er also endrunnen was
DDL.tei.xml;DDL_1600_4;fro;DDL;;mehrdeutig: auch lemma_7250;160;do die red der pur vernam also / wolgemuot ward er und **fro** / und nam wider zuo im den stein
DFE.tei.xml;DFE_103_6;fro;DFE;;mehrdeutig: auch lemma_7250;103;das uns niemant tuot unruo / der herre ward der red vil **fro** / von ir gieng er zehand do
DIO.tei.xml;DIO_113_6;fro;DIO;;mehrdeutig: auch lemma_7250;13;eins schönen kindes swanger wart / des wart der keyser in hertzen **fro** / darnach fuogt es sich also
DIO.tei.xml;DIO_716_4;fro;DIO;;mehrdeutig: auch lemma_7250;16;die andern meister sprachent do / üwers rates sint wir **fro** / wenn er ist nütz vnd gefellet vns wol
DIO.tei.xml;DIO_945_5;fro;DIO;;mehrdeutig: auch lemma_7250;45;des keisers tuogentlichen wort / do wurdent sy in hertzen **fro** / vnd begertent vrloups do
DIO.tei.xml;DIO_1122_5;fro;DIO;;mehrdeutig: auch lemma_7250;22;darnach myn hertz teglichen strebt / die keiserin wart der rede **fro** / zuo dem keiser sprach sy do
DIO.tei.xml;DIO_1629_3;fro;DIO;;mehrdeutig: auch lemma_7250;29;vnd by sinem vatter sas / do wart sy **fro** in hertzen grunt / vnd lieff zuo derselben stuont
DIO.tei.xml;DIO_2922_6;fro;DIO;;mehrdeutig: auch lemma_7250;22;vnd wart ein groszes turney do / des wart der ritter in hertzen **fro** / er wapnot sich als in gehort an
DIO.tei.xml;DIO_3326_4;fro;DIO;;mehrdeutig: auch lemma_7250;26;vmmb üwers wibes rede also / jr werdent niemer me **fro** / vnd das uch geschicht gar vil wirsz
DIO.tei.xml;DIO_4134_4;fro;DIO;;mehrdeutig: auch lemma_7250;34;do er ir stimme hort aldo / do wart er jnneclichen **fro** / das sy ir leben noch denn hette
DIO.tei.xml;DIO_4326_5;fro;DIO;;mehrdeutig: auch lemma_7250;26;zuo sinen snuoren anderswo / wie möcht ich iemer werden **fro** / es ist war das ich üch sage
DIO.tei.xml;DIO_4413_4;fro;DIO;;mehrdeutig: auch lemma_7250;13;do sprach der meister aber do / herre ir werdent niemer **fro** / zuo pfande wil ich myn lip üch geben
DIO.tei.xml;DIO_6132_5;fro;DIO;;mehrdeutig: auch lemma_7250;32;er schrey waffen morda jo / niemer me so wird ich **fro** / die wil mir got mins lebens gann
DIO.tei.xml;DIO_6839_6;fro;DIO;;mehrdeutig: auch lemma_7250;39;er grub dar in er vant ez also / des wart er gar geil vnd **fro** / zuo dem kinde lieff er zuo stuont
