datei,sigle,inhaltstyp,quelle,bytes,zeilen,codierte_zeilen,codebreiten,encoding_gelesen,sha256,dubletten_im_archiv,arbeitskopie_im_repo
erledigt/alte-texte/ac2.txt,AC2,volltext,ERLEDIGT/Alte Texte/AC2.txt,85455,1110,1110,19,cp1252,40adb28382c30aa6292153acc7cf87a735bff6fb5bad7fa1676060411259649e,,
erledigt/alte-texte/ac3-new.txt,,,ERLEDIGT/Alte Texte/AC3-new.txt,91589,1293,1293,19,cp1252,c637cffae0210699098cd1be44398f27a32465b1110d44d731fbe84d5ea62e98,,
erledigt/alte-texte/ac3.txt,AC3,volltext,ERLEDIGT/Alte Texte/AC3.txt,91588,1293,1293,19,cp1252,ae06f3488f420001955e666b0183cb07e90233b8e353ebb21a53fb4afd17a934,,
erledigt/alte-texte/adp.txt,ADP,volltext,ERLEDIGT/Alte Texte/ADP.txt,721182,8417,8417,19,cp1252,26fd6f30617929d3b3c0e40f7ae17db0a317a1f36c538d810e682a7aeca7e6ba,,
erledigt/alte-texte/akkon.txt,,,ERLEDIGT/Alte Texte/AKKON.TXT,427444,9288,9288,19,cp1252,e03925e5a4d1cc22f84ff65b768a1f0044ed34e6011a27748ec994d93dd33004,,
erledigt/alte-texte/aup.txt,AUP,volltext,ERLEDIGT/Alte Texte/AUP.txt,27152,555,555,19,utf-8-sig,623ea1b1efa4e2312da9c32fb2a8661bcf04f360007e227420891dea156b18db,,
erledigt/alte-texte/bab.txt,BAB,volltext,ERLEDIGT/Alte Texte/BAB.txt,13253,257,257,19,cp1252,41a6ee18ea8f5b27118f9ee32e8c33f5872dcf0f56a9298c55de079e5a2d0928,,
erledigt/alte-texte/bad.txt,BAD,volltext,ERLEDIGT/Alte Texte/BAD.txt,9104,185,185,19,cp1252,8f84248cd50454cd3fadfa1bdb25cd9b79166c9723b099b2ec515f02a625ede9,,
erledigt/alte-texte/bst.txt,BST,volltext,ERLEDIGT/Alte Texte/BST.txt,3689,70,70,19,utf-8-sig,f983c0161db86d783b2218d5964dcfcbcc2521bca9ebacdbe08baa17a39ce360,,
erledigt/alte-texte/carl-von-kraus/brh-1.txt,BRH,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/BRH (1).txt,6081,116,116,19,utf-8-sig,8477c3b73f40cb7a19ce178c086cd82c3a26e30c304e5773068bf7986ad40726,,
erledigt/alte-texte/carl-von-kraus/buh-1.txt,BUH,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/BUH (1).txt,37202,705,705,"19,20",utf-8-sig,4f5e932a3ef9347317d135a0682de76fafab6964988b328dc50c9452eb5aa8e4,,
erledigt/alte-texte/carl-von-kraus/bvl-1.txt,BVL,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/BVL (1).txt,4463,82,82,19,utf-8-sig,153064154217f15c02cadbfce9d1c2b75ca8c2d850004e8ca54c383239420539,,
erledigt/alte-texte/carl-von-kraus/dwa-1.txt,DWA,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/DWA (1).txt,32374,646,646,19,utf-8-sig,71535c47a2449e1d8167f22a5bbbfba33c67a16a2e2fe587b46f42bcef1bc87e,,
erledigt/alte-texte/carl-von-kraus/gvn-1.txt,GVN,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/GVN (1).txt,94881,1743,1743,19,utf-8-sig,39f56669545c4a57cb7d1f12b3a777a80789d30bf98ebd2e405650260236c327,,
erledigt/alte-texte/carl-von-kraus/gvs-1.txt,GVS,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/GVS (1).txt,4856,85,85,"19,20",utf-8-sig,572e4d643b63ef4ff0d7f807fd63915f3e436cc88d773f994dc074c9b5b29844,,
erledigt/alte-texte/carl-von-kraus/gvv-1.txt,GVV,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/GVV (1).txt,18350,339,338,19,utf-8-sig,8a3a5705d7367df6eba1f9cd0f1cb34f117429663cd4c7057526698e26713fe5,,
erledigt/alte-texte/carl-von-kraus/gvv.txt,GVV,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/GVV.txt,17534,339,339,19,utf-8-sig,94142a5b8ab904fca8caa3fe1344ff2d65c39c747174ead85181923f916b20b5,,
erledigt/alte-texte/carl-von-kraus/haw-1.txt,HAW,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HAW (1).txt,8874,151,151,19,utf-8-sig,be9585965cf1b5ae56a324da5b728e438777bcaf498c4240e89cd747fe512a7a,,
erledigt/alte-texte/carl-von-kraus/hdm-1.txt,HDM,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HDM (1).txt,4176,69,69,19,utf-8-sig,583b7d5a1d5e8a44639a254c1ceba1f3107e17b5ca6fa597fe63ba8d6ffaf969,,
erledigt/alte-texte/carl-von-kraus/hhp-1.txt,HHP,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HHP (1).txt,4338,77,77,19,utf-8-sig,7257bfcab9f117c72d93ec8ce558d48cead9e4ea104af3bf1a2489d2d3e73a50,,
erledigt/alte-texte/carl-von-kraus/hhw-1.txt,HHW,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HHW (1).txt,9227,145,145,19,utf-8-sig,9589162776acb24ea2aee52fe37261f0c4f1a19ff050e9785a66b0ef54e52547,,
erledigt/alte-texte/carl-von-kraus/hmu-1.txt,HMU,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HMU (1).txt,755,13,13,19,utf-8-sig,171f31f9eb22a4e2bc282a475c276d81e64d41d37912f755d4dce929af04c723,,
erledigt/alte-texte/carl-von-kraus/hsb-1.txt,HSB,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HSB (1).txt,2599,46,46,19,utf-8-sig,639fcddb103d5b62eb55ad0e9919ec8e01ccaa9b4d973cade5bdde1b6488e075,,
erledigt/alte-texte/carl-von-kraus/hvm.txt,HVM,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HVM.txt,7409,133,133,19,utf-8-sig,ce59d71dd688918b48b100e5f3f81f4e212108e26e30721fb40c8e5c35416160,ERLEDIGT/Alte Texte/Carl von Kraus/HVM(1).txt,
erledigt/alte-texte/carl-von-kraus/hvs-1.txt,HVS,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HVS (1).txt,21322,372,372,19,utf-8-sig,f94d6c2212a2056843880fce183e3c086e19cd59f5b6d5301266748a6981d35d,,
erledigt/alte-texte/carl-von-kraus/hvw-1.txt,HVW,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HVW (1).txt,6843,120,120,19,utf-8-sig,3609ff82f62ae624630a94e097bc36f738c1c729c2d0ff6c368c92567135d88c,,
erledigt/alte-texte/carl-von-kraus/hwi-1.txt,HWI,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/HWI (1).txt,3814,70,70,19,utf-8-sig,78f9d8613a985901df947023e7a3cb272e39b0149a3d69acaf9c5ebb34a8b6b6,,
erledigt/alte-texte/carl-von-kraus/kan-1.txt,KAN,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/KAN (1).txt,66139,1288,1288,19,utf-8-sig,0372347ce2da595d1029957a04205ec388864690bac33ba93ac204cb957c455f,,
erledigt/alte-texte/carl-von-kraus/kcj-1.txt,KCJ,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/KCJ (1).txt,2157,36,36,19,utf-8-sig,ef412efa50b5363809dc7cb3c035d4ea8241eda6b7942642bb735f546df71f9a,,
erledigt/alte-texte/carl-von-kraus/kol-1.txt,KOL,volltext,ERLEDIGT/Alte Texte/Carl von Kraus/KOL (1).txt,2270,33,33,19,utf-8-sig,148185a2bfdb66474ad90f1d6f24cbea0f7c5198ff058409eaf008b1cb391417,,
