xml_id	form	context	lemma_id	candidate_pos	resolved_pos	confidence	reviewer
WZB_1ra_2_5	vor	Hie hebt sich an die [vor] rede vnd der prologus vber	lemma_7194	ADV|GRA|PRP	PRP	high	claude-context
WZB_1ra_3_3	das	rede vnd der prologus vber [das] buch daz do heisset vnd	lemma_1097	ART|CNJ	DET	high	claude-context
WZB_1ra_3_6	daz	der prologus vber das buch [daz] do heisset vnd genant ist	lemma_1097	ART|CNJ	SCNJ	medium	claude-context
WZB_1ra_4_2	genant	buch daz do heisset vnd [genant] ist Biblia etcetera O Got	lemma_4331	NOM|VRB	VRB	high	claude
WZB_1ra_4_3	ist	daz do heisset vnd genant [ist] Biblia etcetera O Got got	lemma_5432	VEX|VRB	VEX	high	claude
WZB_1ra_6_4	du	Biblia etcetera O Got got [du] herczen liebes gute Czu dir	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1ra_6_6	liebes	O Got got du herczen [liebes] gute Czu dir hebit sich	lemma_3765	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1ra_6_7	gute	Got got du herczen liebes [gute] Czu dir hebit sich mein	lemma_2573	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1ra_6_10	Czu	got du herczen liebes gute [Czu] dir hebit sich mein mut	lemma_7770	CNJ|PRP	PRP	high	claude
WZB_1ra_7_0	dir	du herczen liebes gute Czu [dir] hebit sich mein mut Und	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1ra_7_3	mein	gute Czu dir hebit sich [mein] mut Und rufet dich gutlichen	lemma_3001	POS|PRO	POS	high	claude
WZB_1ra_7_4	mut	Czu dir hebit sich mein [mut] Und rufet dich gutlichen an	lemma_4264	ADJ|NOM	NOM	high	claude
WZB_1ra_8_0	rufet	hebit sich mein mut Und [rufet] dich gutlichen an wenne nyemant	lemma_5028	NOM|VRB	VRB	high	claude
