xml_id	resolved_sense	confidence	note
WZB_3ra_2_2	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_3ra_7_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_3ra_9_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_3rb_5_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_3rb_15_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_3rb_24_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_5rb_17_3	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_6rb_22_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_6rb_23_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_6va_6_3	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_6va_13_7	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_6va_21_6	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_6vb_4_7	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_6vb_14_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_6vb_29_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_7va_15_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_7va_18_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_7vb_4_4	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_8ra_9_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_8ra_12_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_8rb_30_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_8va_11_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_9rb_26_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_9vb_16_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_9vb_24_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_10rb_32_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_10rb_33_2	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_10va_25_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_10vb_8_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_10vb_15_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_10vb_18_4	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_11ra_2_3	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_11ra_7_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_11ra_19_8	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_14ra_10_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_14va_8_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_15ra_16_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_15va_30_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_15vb_16_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_16va_7_6	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_17rb_30_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_19va_28_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_23rb_27_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_24va_4_4	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_27va_7_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_27vb_26_5	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_29va_7_3	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_30vb_32_5	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_34vb_26_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_35rb_36_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_35va_17_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_37rb_26_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_39va_24_4	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_40ra_21_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_40va_30_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_44vb_27_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_44vb_30_4	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_47va_9_5	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_47va_33_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_48ra_18_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_48ra_25_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_52vb_32_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_53vb_37_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_55rb_12_6	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_56va_18_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_56vb_4_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_57vb_17_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_57vb_32_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_60va_24_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_60vb_5_2	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_61va_9_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_62va_29_6	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_62vb_16_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_64ra_3_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_64rb_10_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_64va_17_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_68ra_29_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_68va_11_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_68vb_8_3	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_70va_34_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_70vb_8_5	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_71ra_5_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_71va_9_2	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_75va_14_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_76ra_21_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_76vb_36_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_77ra_6_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_77ra_36_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_79ra_10_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_81ra_18_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
WZB_84va_32_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_85vb_21_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet) -- Zeit
WZB_86rb_18_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor) -- Verhältnis
