file;xml_id;form;corresp;vers_n;vorvers;vers;folgevers;ist_lemmaRef;ist_pos;ist_ana;kategorie;entscheidung;anmerkung
SL.tei.xml;SL_851_3;waeren;variants.xml#type_273599;851;si wâren schiere worden;geloubic an den **waeren** got;si wolten leisten sîn gebot;lexicon.xml#lemma_7505;VRB;;eindeutig;;
SL.tei.xml;SL_2648_4;wâren;variants.xml#type_273621;2648;und riuwet mich ân allen spot;daz ich verstê den **wâren** got;daz ist über mînen sin;lexicon.xml#lemma_7505;VRB;;eindeutig;;
SL.tei.xml;SL_3945_4;wâren;variants.xml#type_273621;3945;allez daz ich hân geseit;von der geburt des **wâren** gotes;in dem namen sîns gebotes;lexicon.xml#lemma_7505;VRB;;eindeutig;;
PRT.tei.xml;PRT_20337_5;wâren;variants.xml#type_273621;20337;anders an im westen;wan daz er niht den **wâren**;got in sînen jâren;lexicon.xml#lemma_7505;VRB;;eindeutig;;
NAR.tei.xml;NAR_9801800_5;woren;variants.xml#type_273713;18;glich wie all die anders an betten;dann dry person / eyn **woren** gott;den vnser gloub ist wie eyn spott;lexicon.xml#lemma_7505;VRB;;eindeutig;;
TSY.tei.xml;TSY_3928_2;wâren;variants.xml#type_273621;3928;den ist der sündenstankesswebel;vor dem **wâren** lieht ein nebel;und als niemen den tac;lexicon.xml#lemma_7505;VRB;;eindeutig;;
URS.tei.xml;URS_11800_2;wâren;variants.xml#type_273621;1180;und quam in an dem phingestage;nâch der **wâren** schrift sage;der heilige geist ze trôste;lexicon.xml#lemma_7505;VRB;;eindeutig;;
MSG.tei.xml;MSG_21611030_3;woren;variants.xml#type_273713;3;tail mir durch dein marter mayt;die palm der **woren** sigung dein;wenn der leip alhie ersterbe;lexicon.xml#lemma_7505;VRB;;eindeutig;;
TIT.tei.xml;TIT_50020_2;wâren;variants.xml#type_273621;2;sît daz man den rehten münch in der minne;und den **wâren** klôsenaere wol beswert sîn gehorsam ir sinne;daz si leistent manegiu dinc doch kûme;lexicon.xml#lemma_7505;VRB;;zu-lesen;;
PZ.tei.xml;PZ_23625_1;wâren;variants.xml#type_273621;25;über al den palas;den **wâren** kameraere;mit guldîn becken swaere;lexicon.xml#lemma_7505;VRB;;zu-lesen;;
NLC.tei.xml;NLC_196220_1;wâren;variants.xml#type_273621;2;ir ander ingesinde zen herbergen âzen;den **wâren** truhsaezen ze dienste lâzen;die muosen ir spîse wol ze vlîze pflegen;lexicon.xml#lemma_7505;VRB;;zu-lesen;;
OVG.tei.xml;OVG_6534200_1;wâren;variants.xml#type_273621;65342;die die fluht von êrste kurn;den **wâren** stîg und strâzen;unkunt ze solhen mâzen;lexicon.xml#lemma_7505;VRB;;zu-lesen;;
BAR.tei.xml;BAR_2276_1;wâren;variants.xml#type_273621;2276;und einer was genant samgar;die **wâren** rihter dirre schar;got was in mit helfe bî;lexicon.xml#lemma_7505;VRB;;zu-lesen;;
DFL.tei.xml;DFL_19560_1;wâren;variants.xml#type_273621;1956;zwêne herzogen rîche;die **wâren** boten sicherlîche;und ouch die man zuo in nam;lexicon.xml#lemma_7505;VRB;;zu-lesen;;
BRF.tei.xml;BRF_53370_1;wâren;variants.xml#type_273621;5337;von den andern ûz bescheiden;die **wâren** kristen als sie;er bevalch in vlîziclîchen die;lexicon.xml#lemma_7505;VRB;;zu-lesen;;
KU.tei.xml;KU_1534_3;wâren;variants.xml#type_273621;4;ich sol in wol erkennen ob im hie zimt diu krône;si ervant diu **wâren** bilde dô enphiengen si den jungen helt vil schône;mit weinenden ougen si kuste in an den munt;lexicon.xml#lemma_7505;VRB;;zu-lesen;;
