file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
FR1.tei.xml;FR1_5092110_2;fro;11;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"UNENTSCHIEDEN: Regel 4: Antithese ohne Verb (gein trurec fro, gein sorgen lust); die Reihe lieb/leide, lachen/weinen, sorgen/lust, schimpf besteht sonst nur aus Nomina und Infinitiven, so dass fro hier eher nominal als attributiv oder praedikativ wirkt; kein Kandidat fuer ADV, aber die Substantivierungsfrage liegt bei @wachauer.";lachen , ( ) weinen beide , / gein trurec **fro** , gein sorgen lust , ( ) schimpf ane unterscheide , / die ane maze weren nicht . der maze craft bewache .
FR3.tei.xml;FR3_105218020300_2;fro;30;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"UNENTSCHIEDEN: Regel 4: verblose Antithese, aber die Fügung wirkt nominal. 'gein trurec fro' steht in einer Reihe aus Substantiven und substantivierten Infinitiven ('lieb mit leide', 'lachen, weinen', 'gein sorgen lust', 'schimpf'), und 'trurec/fro' füllt dieselben Slots wie 'sorgen/lust'; das ist eher Trauer/Freude als ein Adjektivpaar, darum keine ADJ-Vergabe, sondern Vorlage an @wachauer. ADV scheidet aus, es gibt kein Verb.";lachen , ( ) weinen beide , / gein trurec **fro** , gein sorgen lust , ( ) schimpf ane unterscheide , / die ane maze weren nicht . der maze craft bewache .
FR3.tei.xml;FR3_111209101540_6;fro;154;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"Regel 2, depiktiv über das Objekt: 'wer halff vil fro von swere judit' liest sich als Resultatszustand Judiths (aus der Bedrängnis heraus, froh), 'von swere' und 'vil fro' bilden das Paar Not/Freude; 'und sie war dabei froh' lässt sich einsetzen, die Manier des göttlichen Helfens ('auf frohe Weise half er') ist die unwahrscheinlichere Lesung. Gegen Lauf 1 (ADV), aber die Stellung zwischen Verb und Präpositionalphrase lässt die adverbiale Lesung offen, daher nicht high.";nu sich , wer halff vil **fro** von swere / judit , das sie das haupet nam so here ,
FR3.tei.xml;FR3_211209020180_6;fro;18;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"Regel 2, Parallelfassung zu FR3_111209101540_6 mit identischer Fügung 'wer halff vil fro uß swere judith': Resultatszustand Judiths (aus der Bedrängnis heraus, froh), 'und sie war dabei froh' lässt sich einsetzen; gleiche Restunsicherheit wie dort, daher medium.";nu sich , wer halff vil **fro** uß swere / judith , do sie dem heuptman in dem here
GWTK.tei.xml;GWTK_272211589800_5;fro;15898;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"Regel 2 (Depiktiv): 'und seite im guote mere fro' sagt aus, dass der Sprecher (Aminall) beim Berichten froh war, 'und er war dabei froh' lässt sich einsetzen, daher ADJ; medium, weil bei einem Verbum dicendi mit fro in Reimposition (fro : do) die Lesart als Art und Weise des Sagens ('sagte ihm frohgemut') ernsthaft in Betracht kommt und nicht nur der Bezug offen ist; die Nebenlesart als nachgestelltes Attribut zu 'mere' (vgl. V. 15900 'liebe mere') ist wiederum adjektivisch.";suss erwaktte er in do / und saitte im gütte mere **fro** . / ulixes waz von schwere komen ,
NEIM.tei.xml;NEIM_2503080_8;fro;8;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"Regel 2, Depiktiv zum Objekt im AcI (ich sah si fro gebaren): 'und sie war dabei froh' laesst sich einsetzen, damit ist die Ausschlussbedingung von Regel 3 nicht erfuellt; Widerspruch zu Lauf 1 (ADV), Vorbehalt: gebaren bezeichnet selbst das Verhalten, so dass die Art-und-Weise-Lesart naeher liegt als bei Bewegungsverben, daher nur medium.";dur daz wil ich ir minne gerne varen . / mir waz so wol , ich sah si **fro** gebaren , / do ich bi ir was
RVBR.tei.xml;RVBR_5752_5;frô;5752;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"Regel 2, Depiktiv zum AcI-Objekt 'in': 'niemand sah ihn froh (noch fröhlich) lachen' sagt, dass er beim Lachen froh war, und der Kontext (5751 'verjâmert', 5754 'jâmerlîchez ungemach') handelt von seinem Zustand, nicht von der Art des Lachens; das Paar 'frô noch froelîch' setzt dem Adjektiv die ausdrücklich abgeleitete Adverbform gegenüber, was gegen eine Adverblesart von frô selbst spricht.";und hât verjâmert sich alsô / daz in nie kein mensche **frô** / noch froelîch erlachen sach .
RVBR.tei.xml;RVBR_6083_0;frô;6083;REVIEW;confidence;nein;;;;;;;lemma_7250;ADV;medium;"Regel 3, gegen den Prior: das Subjekt ist 'mîn ouge', ein Körperteil, das nicht froh sein kann (kein Subjektdepiktiv), ein Objektdepiktiv 'dich nie wieder als Frohen sehen' widerspricht dem Sinn der Drohung (jemanden nie mehr freundlich ansehen), und die Koordination mit 'friuntlîchen', einer eindeutigen Adverbform auf -lîchen, bindet frô an die Art des Ansehens; 'auf frohe Weise ansehen' geht, 'und das Auge war dabei froh' geht nicht.";mîn ouge niemer dich gesiht / **frô** noch friuntlîchen an . > / < wilt du mich sîn niht erlân , >
RVBR.tei.xml;RVBR_15969_1;frô;15969;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;Regel 2, Depiktiv zum AcI-Objekt 'uns' in 'uns ... lâzen frô und froelîch leben': 'und wir waren dabei froh' passt, wenige Verse davor (15964 'uns lidic frô und hôhgemuot') steht frô in derselben Rede eindeutig als Adjektiv, und das Paar 'frô und froelîch' setzt das Adjektiv neben die abgeleitete Adverbform.;uns noch mangen lieben tac / lâzen **frô** und froelîch leben , / ob sîn hôhiu güete geben
RVBR.tei.xml;RVBR_26626_4;frô;26626;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"Regel 2, Depiktiv zum Subjekt 'der milte': derselbe Satz trägt mit 'falsches frî' schon ein Subjektdepiktiv, und die Passage (26629 f. 'der nênde fröude leit dar an') vergleicht Geber nach ihrer inneren Haltung, also 'und er war dabei froh'; die Koordination mit 'frîlîch' hält die Manner-Lesart offen, daher nicht high.";sô gît der milte falsches frî / sîn gâbe frîlîch unde **frô** . / hant muot gâb mit dem herren dô
SVP.tei.xml;SVP_1990_1;fro;199;REVIEW;confidence;nein;;;;;;;lemma_7250;ADJ;medium;"Regel 2: Depiktiv zum Subjekt bei Bewegungsverb (wie fro ze himel er do fuor); 'und er war dabei froh' laesst sich einsetzen, fro sagt den Zustand des Fahrenden aus, nicht die Art der Himmelfahrt; Widerspruch zu Lauf 1 (ADV); das exklamative wie graduiert fro, entscheidet aber nicht zwischen ADJ und ADV, daher medium.";do er uf gewunden wart , / wie **fro** ze himel er do fuor , / do er die guldinen snuor
