xml_id	resolved_sense	confidence	note
WZB_2rb_10_0	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_11rb_20_4	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_13vb_28_1	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_15ra_21_3	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_16va_23_5	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_18ra_16_4	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_18va_23_0	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_18vb_14_8	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_24va_15_3	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_26rb_32_8	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_27vb_9_2	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_28rb_24_1	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_46ra_4_4	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_48va_15_0	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_49vb_25_4	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_64rb_8_0	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_65vb_10_0	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_82rb_22_1	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_82vb_13_4	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_88va_18_4	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_88vb_24_2	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_89rb_23_6	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_89va_34_0	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_89vb_5_0	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_95vb_23_3	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_98vb_6_4	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_144rb_11_6	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_145ra_5_3	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_147ra_10_4	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_161va_26_5	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_172ra_32_0	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_172ra_35_1	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_174vb_28_3	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_175va_35_4	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_179rb_33_0	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_182ra_3_1	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_182ra_15_1	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_183ra_35_5	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_185rb_23_3	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_188va_12_2	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_202va_31_4	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_203va_2_0	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_206va_7_5	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_207ra_8_1	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_213vb_17_2	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_214ra_16_0	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_214ra_18_0	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_224rb_3_2	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_224rb_8_4	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_224va_10_5	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_224va_22_3	lemma_2534_sense_4057	high	heuristic-auto: groß classified as sense_4057
WZB_225ra_15_0	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_229va_5_4	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_230va_15_2	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_230vb_23_0	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_231vb_18_6	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_238ra_3_0	lemma_2534_sense_4056	high	heuristic-auto: groß classified as sense_4056
WZB_7ra_14_4	lemma_7121_sense_11542	high	heuristic-auto: vleisch classified as sense_11542
WZB_7rb_13_7	lemma_7121_sense_14865	high	heuristic-auto: vleisch classified as sense_14865
WZB_7rb_16_2	lemma_7121_sense_14865	high	heuristic-auto: vleisch classified as sense_14865
WZB_7va_2_3	lemma_7121_sense_14865	high	heuristic-auto: vleisch classified as sense_14865
