sigle;wort_id;form;vers;lemma_ist;pos_ist;verssprung_moeglich;werk;gattung;autor;kontext_links;kontext_rechts
AC2;AC2_9100_9;hawe;;lemma_2598;VRB;nein;Der Ackermann aus Böhmen;Streitgespräch;Johann von Tepl;infel wer wir nun gewaltig. lasz sten dein fluchen, sage nit von papenfels newe mere,;nit uber dich, so reren dir die spen nicht in die augen! des ackermans widerrede.
AC2;AC2_25010_2;hawe;;lemma_2598;VRB;nein;Der Ackermann aus Böhmen;Streitgespräch;Johann von Tepl;lasset sie stan. unkraut bleibt, die guten kreuter müssen verderben. ir gicht, ewr segensz;fur sich. wie ist dann dem, das sie mer distel dann gut plumen, mer meusz
AC3;AC3_17290_9;hawe;;lemma_2598;VRB;nein;Der Ackermann aus Böhmen;Streitgespräch;Johann von Tepl;"lesset sie steen; vnkraut beleibet, die guten kreuter mussen verderben. ir jecht, ewer sense";vur sich. wie ist dann dem, das sie mer distel dann guter blumen, mer meuse
AC3;AC3_23010_1;hawe;;lemma_2598;NOM;nein;Der Ackermann aus Böhmen;Streitgespräch;Johann von Tepl;got hette in seiner almechtigkeit ninder rachunge: gerochen muste es werden wider euch, vnd solte darvmb;vnd schaufel noch eines gemuet werden! der tot. das xxii. capitel. ga! ga
CEFB;CEFB_71000210500_11;hawe;;lemma_2598;VRB VEX;nein;Fechtbuch;Fechtlehre;Anonym;den streych / vnd verzuck kurtz / streich lang nach / oder brichs mit dem feier oder kron;etc. bleiben. leg dich in die ober huot oder hochort / vnd haw mit der langen
CEFB;CEFB_172000471600_10;hawe;;lemma_2598;VRB VEX;nein;Fechtbuch;Fechtlehre;Anonym;stercke / mutir gegen der schweche als wann er dir oben zuohawet von seiner rechten achseln / so;auch von deinr rechten / mit ihm zugleich / starck oben zum kopff / versetzt ers mit stercke
CEFB;CEFB_341000801500_7;hawe;;lemma_2598;VRB VEX;nein;Fechtbuch;Fechtlehre;Anonym;wechselhaw. streich von der lincken seiten auß dem bucklier / fast übersich in sein schwerdt / vnd;ihm dann von der lincken seitten zum haupt / vnd wind bloß / vnd stoß ihm nach dem
DES2;DES2_291281010_8;hawe;;lemma_2598;VRB VEX;nein;Das Buch von guter Speise;Kochrezepte;Anonym;awgen oder was du wilt eyn speyß von iungen hünern diß heyssen königs hüner nim iunge gebratenne hüner;die an kleyne stücke nym frisch eyer vnd zcu slahe die vnd thu darunter gestossen ingewer vnd ein
GAR;GAR_1530_5;hawe;153;lemma_2598;VRB VEX;ja;Garel vom blühenden Tal;Artusroman;Der Pleier;uenser laster her ist choemen.> also sprach der werde man. <war er mein vrawen;getan, binamen, daz wil ich pesehen. vind ich den helt, mir muezz geschehen von
GAR;GAR_40930_3;hawe;4093;lemma_2598;VRB VEX;ja;Garel vom blühenden Tal;Artusroman;Der Pleier;gern hoern wil, daz er von seiner manhait vil dicke grozzeu wunder sait, daz man in;dester paz. doch wil ich wol gelauben, daz sein ruemen ist gueten weiben lait. daz
KFB;KFB_11812_4;hawe;;lemma_2598;VRB VEX;nein;Kölner Fechtbuch;Fechtlehre;Anonym;dem lincken voysz des glichen yst auch der linck ouer hewe mach bossen myt dem rechten voysz vnd;myt der langen snyden durch ym deen koff ym stortz item hewe veder vmb durch ym den koff
KFB;KFB_12820_9;hawe;;lemma_2598;VRB VEX;nein;Kölner Fechtbuch;Fechtlehre;Anonym;der verstellvoyß den bruch myt synnen wyltu pryß gewynnen item eyn stuck heyst das relyn bruch den flogell;iiij mayl an eym stuck item eyn bruch vuer den eynhorn alß du sychs das eyner den eynhorn
MR2;MR2_12484100113100_4;hawe;113;lemma_2598;VRB VEX;ja;Minnereden Band 2;Minnerede;Anonym;wene. sin zwig mochten sin so gutt als ander gancz baum zwene. beuget er zum ersten;, so ist er swacher stete unnd daug nit zu dem bauwe, wan er zu allen orten
