file;xml_id;form;vers;action;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
GWTK.tei.xml;GWTK_420122450200_5;rott;24502;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestellt zu 'munde' am Versende: 'dinem munde rott' (Reim tod : rott);trutt frowe , dinem munde **rott**
GWTK.tei.xml;GWTK_213111242900_1;rotte;12429;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_372361;lemma_4954;ADJ;high;Attributiv (koordiniert mit 'valsche') vor Eigennamen 'waradach': der rote falsche Waradach, Rot als Verraeterfarbe;der **rotte** valsche waradach
GWTK.tei.xml;GWTK_40210231700_3;jungen;2317;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;Attributiv vor Bezugsnomen 'man': 'gegen dem vil jungen man'.;gegen dem vil **jungen** man .
GWTK.tei.xml;GWTK_220111285600_3;jungen;12856;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;attributiv vor Bezugsnomen 'hertzogin' ('der jungen hertzogin');sydaras , der **jungen** hertzogin ,
GWTK.tei.xml;GWTK_429112503700_0;rotte;25037;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17203;lemma_4978;NOM;high;'rotte gegen rotte raitt': Schar ritt gegen Schar, Schlachtkontext;**rotte** gegen rotte raitt ,
GWTK.tei.xml;GWTK_34220197100_3;jungen;1971;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;Attributiv in Adjektivreihe vor 'man': 'von dem vil jungen werden man'.;von dem vil **jungen** werden man .
GWTK.tei.xml;GWTK_419122443900_5;rott;24439;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestellt zu 'mund' mit Farbkontrast: 'verblichen ward ir mund so rott' = ihr so roter Mund erblich.;verblichen ward ir mund so **rott** ,
GWTK.tei.xml;GWTK_154220904200_3;jungen;9042;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;Attributiv vor Bezugsnomen 'lip' ('dinen jungen lip').;daz sy dinen **jungen** lip
GWTK.tei.xml;GWTK_304111772500_2;rotte;17725;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17203;lemma_4978;NOM;high;Kopfnomen mit Artikel + gantz: 'die gantze rotte ain ritter sach' = die ganze Schar erblickte einen Ritter.;die gantze **rotte** ain ritter sach ,
GWTK.tei.xml;GWTK_3120014200_4;rott;142;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestellt zu 'munde' im Reim: 'uss rubin varwen munde rott' (aus rubinfarbenem rotem Mund).;uss rubin varwen munde **rott**
GWTK.tei.xml;GWTK_203211187800_3;jungen;11878;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;attributiv vor Bezugsnomen 'man' (Apposition 'sinen brüder den jungen man');sinen brüder den **jungen** man
GWTK.tei.xml;GWTK_4110017900_4;rott;179;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestelltes Adjektiv zu 'münde' ('durch lïchte münde rott', Reim rott:nott): wegen leuchtend roter Münder kam der Held in Not.;der durch lïchte münde **rott**
GWTK.tei.xml;GWTK_263211537800_4;jungen;15378;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;NOM;high;Substantiviert, koordiniert ohne Bezugsnomen: 'die werden und dü jungen' (sprangen vom Schiff).;die werden und dü **jungen** .
GWTK.tei.xml;GWTK_20110112200_2;rott;1122;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestellt/praedikativ mit Farbvergleich: 'der stain rott als ain bluett';der stain **rott** als ain blütt
GWTK.tei.xml;GWTK_214211253000_3;rotte;12530;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4954;;variants.xml#type_372361;lemma_4954;NOM;high;"Substantiviert: 'der rotte' ist maskulines Subjekt von 'begraiff ... mich' (der Rote, derselbe rote Mann wie 12475); feminines rote (Schar) als Nominativ-Subjekt ausgeschlossen.";alsus begraiff der **rotte** mich
GWTK.tei.xml;GWTK_428212500300_1;jungen;25003;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;"attributiv vor Bezugsnomen 'krïchen' ('dem jungen krïchen' = dem jungen Griechen, Dat. Sg.; Kontext eneas)";dem **jungen** krïchen ,
GWTK.tei.xml;GWTK_52110297900_3;jungen;2979;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;Attributiv vor Eigennamen 'pariss' ('den jungen pariss');so friste den **jungen** pariss !
GWTK.tei.xml;GWTK_115120670100_4;junger;6701;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10831;lemma_3157;ADJ;high;Attributiv vor Bezugsnomen 'man' in der Anrede: 'junger man'.;dich mir selber , **junger** man .
GWTK.tei.xml;GWTK_104110607200_4;rotten;6072;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17204;lemma_4978;NOM;high;"Instrumentenreihe 'gigen, harpffen, rotten' der fahrenden Leute ('der varnde diett'): Saiteninstrument rotte, keinem Kandidaten-Lemma sicher zuzuordnen; manuell pruefen [Moderations-Pass: Saiteninstrument rotte ist im Lexikon unter lemma_4978 abgedeckt (sense_7735 -> concept_25153000 Instrumentalmusik, ana type_17204 'rotten'); Zuordnung lemma_4978/NOM damit gesichert, auf high gehoben. Shard 3+4 stuften identische Kontexte selbstaendig so ein.]";gigen , harpffen , **rotten** an der fartt
GWTK.tei.xml;GWTK_20110114300_5;rott;1143;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestellt zu 'trake': 'sin zaichen waz ain trake rott' (ein roter Drache als Wappenzeichen).;sin zaichen waz ain trake **rott** .
GWTK.tei.xml;GWTK_154110899200_2;jungen;8992;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;Attributiv vor Bezugsnomen 'knaben': 'den ellenden jungen knaben'.;den ellenden **jungen** knaben
GWTK.tei.xml;GWTK_277121617100_3;rott;16171;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Attributiv vor Bezugsnomen 'judischhaitt': 'dü rott judischhaitt', mittelalterliche Sage von den roten Juden.;daz waz dü **rott** judischhaitt ,
GWTK.tei.xml;GWTK_32110182700_4;jungen;1827;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;NOM;high;Substantiviert: 'zü dem jungen sprach', kein Bezugsnomen folgt (sprach ist finites Verb).;dü aine zü dem **jungen** sprach :
GWTK.tei.xml;GWTK_380212219100_3;junger;22191;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10831;lemma_3157;ADJ;high;Attributiver Komparativ vor Bezugsnomen 'megetin': 'er nam daz junger megetin'.;er nam daz **junger** megetin
GWTK.tei.xml;GWTK_221221294500_4;rott;12945;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Farbenreihe 'wisse, gruenne, rott und gel' (Kleidung, 'beclaitt' im Vorvers);wisse , grünne , **rott** und gel ,
GWTK.tei.xml;GWTK_424212475900_3;rotte;24759;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17203;lemma_4978;NOM;high;Subjekt von 'sich schartte' mit Determinativ 'manige': manche Schar scharte sich (Heerhorn-Kontext);sich schartte manige **rotte**
GWTK.tei.xml;GWTK_173211015200_5;rott;10152;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestellt zu 'munde' am Versende: 'heylenna munde so rott' (Reim nott : rott);das schüff heylenna munde so **rott** .
GWTK.tei.xml;GWTK_204211194700_3;jungen;11947;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;NOM;high;Formel 'altte mitt den jungen' ohne Bezugsnomen: substantiviert;altte mitt den **jungen** ,
GWTK.tei.xml;GWTK_52210298800_3;jungen;2988;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;NOM;high;Substantiviert: Praeposition + Determinativ ohne Bezugsnomen: 'all umb den jungen, wissend das'.;all umb den **jungen** , wissend das .
GWTK.tei.xml;GWTK_429112503700_2;rotte;25037;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17203;lemma_4978;NOM;high;Reziproke Schlachtformel: 'rotte gegen rotte raitt' (Schar ritt gegen Schar).;rotte gegen **rotte** raitt ,
GWTK.tei.xml;GWTK_153210896100_3;rotte;8961;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_372361;lemma_4954;ADJ;high;Attributiv zwischen Artikel und Bezugsnomen: 'daz rotte gold';der in daz **rotte** gold gelaitt
GWTK.tei.xml;GWTK_44120251300_3;jungen;2513;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;Attributiv vor Bezugsnomen 'held' ('den jungen held').;brachte sy den **jungen** held .
GWTK.tei.xml;GWTK_311211816700_3;jungen;18167;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;Attributiv vor Bezugsnomen 'brueder' ('den jungen brueder');wer im den **jungen** brüder schlüg ,
GWTK.tei.xml;GWTK_260221519700_4;jungen;15197;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;NOM;high;Substantivierter Plural: 'ward da von den jungen mitt schwertten abgeschwungen', von-PP ohne Bezugsnomen.;ward da von den **jungen**
GWTK.tei.xml;GWTK_63220366500_5;rott;3665;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;"nachgestellt zu 'vannen' im Reim (rott:gebott): Frauen wie rote Fahnen; Pluralkopula 'weren' + Plural 'vannen' schliesst Singular-Nomen rotte aus";rechtt als es weren vannen **rott** .
GWTK.tei.xml;GWTK_52110295700_6;junger;2957;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10831;lemma_3157;ADJ;high;attributiv vor 'man' in der Anrede 'junger man';< ich wil daz wagen , **junger** man ,
GWTK.tei.xml;GWTK_245121431600_2;rotte;14316;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17203;lemma_4978;NOM;high;Artikel + Adjektiv + Mannzahl: 'ain klaine rotte ward in kund, dü zall waz uff zwölff man' (Schar von zwoelf Mann).;ain klaine **rotte** ward in kund ,
GWTK.tei.xml;GWTK_44110250600_1;jungen;2506;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;NOM;high;Substantiviert: Determinativ ohne Bezugsnomen, Akkusativobjekt: 'den jungen nam sy by der hand'.;den **jungen** nam sy by der hand
GWTK.tei.xml;GWTK_160220938100_3;jungen;9381;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;Attributiv vor Bezugsnomen 'fürsten' (Gen.): 'des jungen fürsten zorn'.;gross ward des **jungen** fürsten zorn .
GWTK.tei.xml;GWTK_279111626600_2;rotten;16266;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_372362;lemma_4954;ADJ;high;Attributiv (Gen.) vor Bezugsnomen 'diett': 'der rotten diett erschlagen' (das rote Volk, Episodenkontext);ward der **rotten** diett erschlagen .
GWTK.tei.xml;GWTK_307111790700_2;jungen;17907;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;NOM;high;Substantiviert: 'sich des jungen under wand' (sich underwinden + Genitivobjekt), kein Bezugsnomen.;sich des **jungen** under wand .
GWTK.tei.xml;GWTK_155210906200_4;rott;9062;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;nachgestellt zu 'mund' im Vergleich 'manig mund so rossen rott' (rosenrot), Reim nott:rott;manig mund so rossen **rott**
GWTK.tei.xml;GWTK_316111841700_2;rotten;18417;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17204;lemma_4978;NOM;high;Präposition + Possessiv: 'zü siner rotten er do gewan sechs tussend siner dienstman', Truppenaufstellung.;zü siner **rotten** er do gewan
GWTK.tei.xml;GWTK_8110042600_1;rotte;426;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17203;lemma_4978;NOM;high;"'ain rotte erbliken began' mit Artikel als Objekt; Folgevers 'verwappnett wol ze brisse': bewaffnete Kriegerschar";ain **rotte** erbliken do began ,
