file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext;vorgaenger_pos;schwer;pruefung;anmerkung
ADP.tei.xml;ADP_4302000_9;stat;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'daz der got so demuetklich vor dinem hertzen stat': Subjekt plus Verbletztstellung.;la dich erbarmen sælger mentsch . daz der guot got so demuetklich vor dinem hertzen **stat** . und dich bittet daz du in in din hertz lâssest . daz er mit;NOM;ja;;
AXS.tei.xml;AXS_6449000_1;stat;6449;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'eine stat hâst gebûwet': Objekt mit Artikel, Relativsatz nennt alexandria.;daz saltu wizzen jungelinc : / eine **stat** hâst gebûwet , / di hâstu wol vernûwet ,;;ja;;
BRF.tei.xml;BRF_53690_4;stat;5369;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'unze an der lita stat': Praeposition mit Artikel und vorangestelltem Ortsnamen.;der künec mit sînen mannen reit / unze an der lîtâ **stat** . / frou helche ir gesinde bat;NAM;ja;;
CRO.tei.xml;CRO_1039000_1;stat;10390;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'da stat her key': Adverb 'da' plus nachgestelltes Subjekt, Verbzweitstellung.;vnd zeihet ivch , ichn weiz wes . / da **stat** her key vnd spotet des . > / div red müet di chüniginne;ADV CNJ;ja;;
DFR.tei.xml;DFR_3105070_6;stat;507;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'sit die hohest ere an in stat': Subjekt 'ere' plus Praepositionalergaenzung, 3. Sg. von stân.;"den wucher birt vor aller vrucht ; / sit die hohest ere an in **stat** , / da mit die werlt umbe gat :";;ja;;
DFR.tei.xml;DFR_3108910_5;stat;891;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'als nu der werlde mut stat': Subjekt 'mut' mit Genitivattribut, stat ist Praedikat.;ez dunket leider ein wint , / als nu der werlde mut **stat** , / der ere ane frumen hat .;;ja;;
DKF.tei.xml;DKF_1450540_5;stat;54;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'daz er der sunne wider stat': Subjekt 'er', Dativobjekt, Partikelverb widerstehen.;sit er so groze kraft hat / daz er der sunne wider **stat** , / so gevellet mir sin tochter baz .;;ja;;
DME.tei.xml;DME_12105060_2;stat;506;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an sin stat geschaffen': Possessiv in der Fuegung 'an stat' (anstelle).;got hat uns alle pfaffen / an sin **stat** geschaffen / und hat uns den rat gegeben ,;;ja;;
DWU.tei.xml;DWU_1770010_4;stat;1;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Aufzaehlung 'dorf, stat oder lant', alle drei Substantive.;von einem wucherere . / ez si dorf , **stat** oder lant , / ez wirt unselick zehant;NOM;ja;;
FLG1.tei.xml;FLG1_6228160610_8;stat;;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'das gerihte noch an iren henden stat': Subjekt 'gerihte' plus Ortsangabe, Verbletzt.;"mit rúwen voerhtent hie vor der heligen drivaltekeit ; das gerihte noch an iren henden **stat** . >";NOM;ja;;
FLG1.tei.xml;FLG1_6237290210_7;stat;;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'wol dem der nu vaste stat': Relativsubjekt 'der' plus Adverb 'vaste', Verb.;alles , das got guotes in úns behalten hat . wol dem der nu vaste **stat** und nit hie verstúret , das got in in gegossen hat . dis vúres rovch;;ja;;
FLO.tei.xml;FLO_3390_3;stat;3390;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'habe und stat beide wârn des amerals eigen': Subjektkoordination mit 'habe'.;der zehende bî dem eide . / wan habe und **stat** beide / wârn des amerals eigen .;CNJ;ja;;
FR3.tei.xml;FR3_115405010330_1;stat;33;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;Verbzweitstellung nach 'nu' mit Subjekt 'der walt': nun steht der Wald ganz in Feuer.;daz an dich nummer menshin me geshieht . > / nu **stat** der walt mit fure gar . / genuge da daz sahin nach der menshelichin art :;ADV CNJ;ja;;
GAR.tei.xml;GAR_77840_5;stat;7784;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'wie chuemerleich mein dinch hie stat': Subjekt mein dinch, Adverb hie.;den sol er von mir wizzen lan , / wie chuemerleich mein dinch hie **stat** , / daz er mir sende seinen rat ,;;ja;;
GRG.tei.xml;GRG_15100_3;stat;1510;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'ez wart nie stat sô vaste ... erbouwen': Subjekt zum Passiv erbouwen.;al umb und umb ein raste : / ez wart nie **stat** sô vaste / und alsô dicke erbouwen .;ADV NEG;ja;;
GUW.tei.xml;GUW_136100850_5;stat;85;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'sin stat tuot': Possessiv davor, Objekt zu tuon (Statt geben).;< ich gilt iu gern , > sprach er , / < swenne ir mir sin **stat** tuot . / nu wart ir næhten doch so gut .;;ja;;
HTR.tei.xml;HTR_11480_5;stat;1148;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an ir stat sint beliben': Possessiv nach Praeposition, Verb ist 'beliben'.;kiusche und mâze sint vertriben / ze hofe und an ir **stat** sint beliben / liegen , triegen , ribaldîe ,;;ja;;
HZU2.tei.xml;HZU2_15313551111002_18;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an der dreier chind stat' = anstelle der drei Kinder, Genitivattribut.;allen lavten daz ein chrieg waz zwyschen vns an ainem tail an der dreier chind **stat** vnd worten mychels petreins svn des chastner vnd chvnigvnten mein georigen tochter vnd katrein mein;NOM;ja;;
HZU2.tei.xml;HZU2_25314170108015_14;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Formel 'an aydes stat', Praeposition mit Genitivattribut.;gutleichem willen vnd loben in daz auch gantz staet zehalden mit vnsern trewn an aydes **stat** vnd an alls geverde wir sein lebentig oder tod vnd des ze vrkund geben wir;NOM;ja;;
JUD.tei.xml;JUD_1172_8;stat;1172;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Possessiv 'ir stat', koordiniert mit 'ir lut' als Objekt zu 'erledigen'.;unde gab ir vramspûtige vart , / daz si mûse erledigen ir lût unde ir **stat** / al nâch sînen genâden .;;ja;;
KC1.tei.xml;KC1_159_6;stat;159;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an sîns vater stat' mit Genitivattribut: anstelle des Vaters.;des jâhen si alle gelîche . / si sazten in an sîns vater **stat** , / ieglicher in sunder bat ,;NOM;ja;;
LZT.tei.xml;LZT_16270_6;stat;7;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'deim aigen herrn sein stat verriete': Possessiv, Objekt zu verriete.;was half dich dein untrewe gros , / das du deim aigen herrn sein **stat** verriete ? > / mit ritterlicher ere;;ja;;
LZT.tei.xml;LZT_75630_1;stat;3;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Formel 'an stat und enden' nach Praeposition.;der das doch ymmer gicht : / an **stat** und enden kainer / gelaugen ich kainem man der worte nicht ,;;ja;;
OVG.tei.xml;OVG_3216900_4;stat;32169;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;genâd und stat vant: mit dem Nomen genâd koordiniert, Objekt zu vant.;"ze gelten er sich des bant , / als er genâd und **stat** vant , / an dem kunig und an den sînen ;";CNJ;ja;;
OVG.tei.xml;OVG_4407000_4;stat;44070;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Aufzaehlung 'burc und stat' als Objekte von 'gæb'.;er gæb im , swaz er inne hât , / prespurc , burc und **stat** , / und allez , daz man weste;CNJ;ja;;
