sigle;xml_id;form;alt_lemma;alt_pos;alt_corresp;neu_lemma;neu_pos;neu_ana;neu_corresp;kontext
HUB3;HUB3_11080_11;hawssen;lemma_2730;ADJ;type_272171;lemma_49714;NOM;lemma_49714_sense_78649;type_372369;dann dicke mandelmilich vnd hawssen pleter darvnder dy gesoten
HUB3;HUB3_11090_0;pleter;lemma_737;NOM;type_106683;lemma_49714;NOM;lemma_49714_sense_78649;type_372373;dicke mandelmilich vnd hawssen pleter darvnder dy gesoten ist
HUB3;HUB3_71010_10;hawsen;;;;lemma_49714;NOM;lemma_49714_sense_78649;type_372368;käss so muestu haben hawsen plotter vnd des mandel
HUB3;HUB3_71010_11;plotter;lemma_737;NOM;type_272472;lemma_49714;NOM;lemma_49714_sense_78649;type_272472;so muestu haben hawsen plotter vnd des mandel muestu
HUB3;HUB3_71040_0;hawsen;;;;lemma_49714;NOM;lemma_49714_sense_78649;type_372368;tuech vnd j lot hawsen ploter das schon in
HUB3;HUB3_71040_1;ploter;lemma_737;NOM;type_272473;lemma_49714;NOM;lemma_49714_sense_78649;type_272473;vnd j lot hawsen ploter das schon in ainem
HUB3;HUB3_77020_10;hawsen;;;;lemma_49714;NOM;lemma_49714_sense_78649;type_372368;vnd nym ain lot hawsen plater vnd sew sey
HUB3;HUB3_77020_11;plater;lemma_734;NOM;type_153734;lemma_49714;NOM;lemma_49714_sense_78649;type_372371;nym ain lot hawsen plater vnd sew sey das
HUB3;HUB3_77050_12;hawsen;;;;lemma_49714;NOM;lemma_49714_sense_78649;type_372368;dy milich an dy hawsen pleter vnd rürs dürch
HUB3;HUB3_77060_0;pleter;lemma_737;NOM;type_106683;lemma_49714;NOM;lemma_49714_sense_78649;type_372373;milich an dy hawsen pleter vnd rürs dürch einander
HUB3;HUB3_78030_2;hausen;lemma_2934;VRB;type_163436;lemma_49714;NOM;lemma_49714_sense_78649;type_372367;vnd nym j lot hausen ploter darczue vnd j
HUB3;HUB3_78030_3;ploter;lemma_737;NOM;type_272473;lemma_49714;NOM;lemma_49714_sense_78649;type_272473;nym j lot hausen ploter darczue vnd j lb
HUB3;HUB3_79020_7;hawsen;;;;lemma_49714;NOM;lemma_49714_sense_78649;type_372368;vnd sewd ain lot hawsen ploter vnd nym das
HUB3;HUB3_79020_8;ploter;lemma_737;NOM;type_272473;lemma_49714;NOM;lemma_49714_sense_78649;type_272473;sewd ain lot hawsen ploter vnd nym das gesoten
KBL3;KBL3_46962020_2;hausen;lemma_2934;VRB;type_163436;lemma_49714;NOM;lemma_49714_sense_78649;type_372367;seuds in wein mit hausen platern dy slach durch
KBL3;KBL3_46962020_3;platern;lemma_738;NOM;type_271760;lemma_49714;NOM;lemma_49714_sense_78649;type_372372;in wein mit hausen platern dy slach durch etc
KBL4;KBL4_1051192050_12;husen;;;;lemma_49714;NOM;lemma_49714_sense_78649;type_372370;sulcz ovch ist die husen blater vnd all fisch
KBL4;KBL4_1051192060_0;blater;lemma_734;NOM;type_173163;lemma_49714;NOM;lemma_49714_sense_78649;type_372366;ovch ist die husen blater vnd all fisch blatra
KDO;KDO_121170100_2;haueßenn;lemma_2670;NOM;type_131170;lemma_49714;NOM;lemma_49714_sense_78649;type_131170;gestaltt hatt so nim haueßenn plossenn die verseudtt inn
KDO;KDO_121170100_3;plossenn;;;;lemma_49714;NOM;lemma_49714_sense_78649;type_372375;hatt so nim haueßenn plossenn die verseudtt inn wasser
MBS2;MBS2_34040_5;hausen;lemma_2934;VRB;type_163436;lemma_49714;NOM;lemma_49714_sense_78649;type_372367;den vischen hastu aber hausen plateren daz ist auch
MBS2;MBS2_34040_6;plateren;lemma_734;NOM;type_274810;lemma_49714;NOM;lemma_49714_sense_78649;type_274810;vischen hastu aber hausen plateren daz ist auch gut
MBS5;MBS5_2151412120_10;hawssen;lemma_2730;ADJ;type_272171;lemma_49714;NOM;lemma_49714_sense_78649;type_372369;prue daran thun oder hawssen platern dar jnn sieden
MBS5;MBS5_2151412130_0;platern;lemma_738;NOM;type_271760;lemma_49714;NOM;lemma_49714_sense_78649;type_372372;daran thun oder hawssen platern dar jnn sieden vnd
SUB1;SUB1_61040_0;hausen;lemma_2934;VRB;type_163436;lemma_49714;NOM;lemma_49714_sense_78649;type_372367;sulcz se so muestu hausen pletter haben wenn sy
SUB1;SUB1_61040_1;pletter;lemma_737;NOM;type_157201;lemma_49714;NOM;lemma_49714_sense_78649;type_372374;se so muestu hausen pletter haben wenn sy nu
KDO;KDO_120090100_2;haußenploßenn;lemma_27031;NOM;type_131175;lemma_49714;NOM;lemma_49714_sense_78649;type_131175;vonn hünerenn so nim haußenploßenn und seydt die in
MBS5;MBS5_2041392010_7;hawssenplater;lemma_49714;NOM;type_275110;lemma_49714;NOM;lemma_49714_sense_78649;type_275110;gepachen wandl milich recipe hawssenplater die schneidt gar klain
SUB1;SUB1_10050_4;haussenpletern;lemma_49714;NOM;type_284780;lemma_49714;NOM;lemma_49714_sense_78649;type_284780;ein gute hilff von haussenpletern oder von we es
SUB1;SUB1_23080_2;haussenpleter;lemma_49714;NOM;type_285118;lemma_49714;NOM;lemma_49714_sense_78649;type_285118;dick mandl milch und haussenpleter dar under die gesoten
SUB1;SUB1_24020_7;haussenpleter;lemma_49714;NOM;type_285118;lemma_49714;NOM;lemma_49714_sense_78649;type_285118;gestalt haben so nym haussenpleter und die verseud in
SUB1;SUB1_61070_8;hausenpletter;lemma_49714;NOM;type_285717;lemma_49714;NOM;lemma_49714_sense_78649;type_285717;die milich mit den hausenpletter scholt du nicht syeden
