xml_id	resolved_lemma	confidence	note
WZB_12ra_15_4	lemma_13508	high	wert ADV = directional -ward: "gegen Süden wert" (southward)
WZB_99vb_2_1	lemma_13508	high	wert ADV = directional -ward: "Osten wert" (eastward)
WZB_20rb_14_5	lemma_7500	high	wert ADJ = worthy/worth: "dessen sie würdig sei"
WZB_20va_3_3	lemma_7500	high	wert ADJ = worth: "Schekel wert" (worth a shekel)
WZB_70rb_5_6	lemma_7489	high	wert VRB = werden future 2pl: "früh werdet ihr sehen"
WZB_127rb_18_5	lemma_7489	high	wert VRB = werden future 2pl: "werdet ihr jagen eure"
WZB_127va_15_1	lemma_7489	high	wert VRB = werden future 2pl: "werdet ihr hingehen"
WZB_128ra_21_4	lemma_7489	high	wert VRB = werden future 2pl: "werdet nicht satt"
WZB_128ra_34_0	lemma_7489	high	wert VRB = werden future 2pl: "werdet fallen"
WZB_147va_19_1	lemma_7489	high	wert VRB = werden future 2pl: "werdet ihr eintreten"
WZB_147vb_8_1	lemma_7489	high	wert VRB = werden future 2pl: "werdet ihr nehmen"
WZB_172rb_22_7	lemma_7489	high	wert VRB = werden future 2pl: "werdet besitzen"
WZB_180rb_12_1	lemma_7489	high	wert VRB = werden future 2pl: "werdet verderben"
WZB_188vb_35_4	lemma_7489	high	wert VRB = werden future 2pl: "werdet nicht tun"
WZB_189ra_12_6	lemma_7489	high	wert VRB = werden future 2pl: "werdet essen"
WZB_189rb_24_6	lemma_7489	high	wert VRB = werden future 2pl: "werdet essen" (Aldo=alda)
WZB_210rb_18_2	lemma_7489	high	wert VRB = werden future 2pl: "werdet ihr das"
WZB_214rb_33_4	lemma_7489	high	wert VRB = werden future 2pl: "werdet ihr ziehen"
WZB_214rb_35_1	lemma_7489	high	wert VRB = werden future 2pl: "werdet eingehen"
WZB_214va_23_1	lemma_7489	high	wert VRB = werden future 2pl: "werdet wieder"
WZB_215ra_9_3	lemma_7489	high	wert VRB = werden future 2pl: "werdet sie begreifen"
WZB_217rb_30_6	lemma_7489	high	wert VRB = werden future 2pl: "werdet ihr sie"
WZB_221va_33_3	lemma_7489	high	wert VRB = werden future 2pl: "werdet die Hüter der Stadt"
