xml_id	resolved_sense	confidence	note
WZB_16rb_29_9	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_28ra_17_2	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_32ra_31_3	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_33ra_14_5	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_43vb_32_3	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_45va_18_10	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_46vb_14_5	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_47vb_9_11	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_60ra_26_2	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_62vb_30_4	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_67vb_8_3	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_72va_14_0	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_72vb_28_0	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_73rb_16_3	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_74ra_12_6	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_75va_27_3	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_86va_6_1	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_89rb_5_2	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_117ra_2_6	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_117vb_5_4	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_118va_16_0	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_119ra_2_2	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_119va_22_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_121vb_29_3	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_124vb_14_0	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_132ra_7_5	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_132ra_12_7	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_132ra_31_1	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_132va_25_5	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_135vb_20_1	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_140vb_32_2	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_143rb_34_0	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_144va_15_1	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_144va_21_6	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_144va_25_0	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_145va_15_3	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_147ra_18_0	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_149va_9_6	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_152va_33_3	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_154va_36_3	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_159vb_10_5	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_173vb_5_3	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_184rb_2_0	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_188rb_32_6	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_196vb_3_3	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_196vb_13_0	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_197ra_2_4	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_201ra_22_7	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_207rb_7_0	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_208vb_34_5	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_211ra_37_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_211rb_6_1	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_212ra_12_5	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_214rb_9_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_217va_20_2	ABSTAIN	low	PROBABLE LEMMA MISMATCH: context pattern indicates in = pronoun (ihnen/ihn/sie), not preposition
WZB_222vb_19_2	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_224ra_17_0	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_234va_17_1	lemma_3028_sense_4834	high	heuristic-auto: right-context head noun is a place/body word -> spatial sense
WZB_236vb_17_4	lemma_3028_sense_63605	high	heuristic-auto: right-context head noun is abstract/relational -> relational sense
