file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
ABG.tei.xml;ABG_402010_4;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel davor und Akkusativobjekt zu 'lobent': 'die lêrære lobent die minne'.;sîn , der muoz haben einez , daz ist abegescheidenheit . die lêrære lobent die **minne** groezlîche , als sant paulus tuot , der sprichet : < in waz üebunge ich
ABG.tei.xml;ABG_402020_11;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Objekt zu 'enhân' im Paulus-Zitat (1 Kor 13): 'enhân ich niht minne'.;, der sprichet : < in waz üebunge ich mac gestân , enhân ich niht **minne** , sô enbin ich nihtes niht > . sô lobe ich abegescheidenheit vür alle minne
ABG.tei.xml;ABG_402030_9;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nach Präposition mit Determinativ: 'vür alle minne'.;minne , sô enbin ich nihtes niht > . sô lobe ich abegescheidenheit vür alle **minne** . von êrste dar umbe , wan daz beste , daz an der minne ist
ABG.tei.xml;ABG_402040_7;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Präpositionalphrase mit Artikel: 'daz an der minne ist'.;alle minne . von êrste dar umbe , wan daz beste , daz an der **minne** ist , daz ist , daz si mich twinget , daz ich got minne ,
ABG.tei.xml;ABG_402050_0;minne;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Konjunktiv im daz-Satz mit Subjekt 'ich' und Objekt 'got': 'daz ich got minne'.;der minne ist , daz ist , daz si mich twinget , daz ich got **minne** , sô twinget abegescheidenheit got , daz er mich minne . nû ist vil edellîcher
ABG.tei.xml;ABG_402050_10;minne;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Konjunktiv im daz-Satz mit Subjekt 'er' und Objekt 'mich': 'daz er mich minne'.;twinget , daz ich got minne , sô twinget abegescheidenheit got , daz er mich **minne** . nû ist vil edellîcher , daz ich twinge got ze mir , dan daz
ABG.tei.xml;ABG_403060_5;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nach Präposition: 'lobe ich abegescheidenheit vür minne'.;sich selber geben einem abegescheidenen herzen . ze dem andern mâle lobe ich abegescheidenheit vür **minne** , wan minne twinget mich dar zuo , daz ich alliu dinc lîde durch got
ABG.tei.xml;ABG_403060_8;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nominales Subjekt zu 'twinget' als abstrakte Tugend, keine Frau-Minne-Anrufung: 'wan minne twinget mich'.;einem abegescheidenen herzen . ze dem andern mâle lobe ich abegescheidenheit vür minne , wan **minne** twinget mich dar zuo , daz ich alliu dinc lîde durch got , sô bringet
ABG.tei.xml;ABG_416110_0;minne;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Konjunktiv im daz-Satz, 'got' Subjekt, 'ieman' Objekt, Adverb 'zîtlîche' davor.;gesprochen : < nû enwelle got , daz ieman spreche , daz got ieman zîtlîche **minne** , wan bî im enist nihtes niht verloufen und ouch nihtes niht künftic und hât
ABG.tei.xml;ABG_417040_0;minne;;ANNOTATE;;ja;NOM;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel und attributives Adjektiv: 'eine niuwe minne an sie geleget'.;"in der êwicheit hât anegesehen , sô wænent die liute , got habe eine niuwe **minne** an sie geleget ; und alsô , sô er zürnet oder etwaz guotes tuot ,"
ABG.tei.xml;ABG_421020_12;minne;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Konjunktiv im daz-Satz mit Subjekt 'er' und Objekt 'in': 'daz er in minne mit allen kreften'.;doch wizze , daz got von einem ieclîchen geistlîchen menschen muotet , daz er in **minne** mit allen kreften der sêle . dâ von sprach er : < minne dînen got
ABG.tei.xml;ABG_421030_11;minne;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Imperativ Sg. im Gebotszitat: 'minne dînen got von ganzem herzen'.;er in minne mit allen kreften der sêle . dâ von sprach er : < **minne** dînen got von ganzem herzen > . nû sint etlîche liute , die verzernt der
