xml_id	resolved_sense	confidence	note
WZB_3rb_17_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_3rb_19_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_8ra_10_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_9vb_34_2	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_16va_11_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_17va_17_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_25ra_21_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_31ra_16_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_34va_25_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_36rb_23_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_37vb_32_2	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_38ra_12_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_41ra_27_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_41rb_20_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_42rb_33_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_47va_3_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_50vb_8_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_65ra_8_4	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_65vb_10_5	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_66vb_6_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_67vb_4_1	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_68rb_8_2	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_68va_12_4	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_74rb_17_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_74rb_30_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_74rb_36_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_74vb_10_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_75ra_16_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_77ra_15_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_77va_6_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_77vb_11_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_78rb_4_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_78va_9_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_78va_24_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_83va_36_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_87va_11_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_91ra_8_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_91rb_28_3	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_92ra_20_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_99vb_6_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_100ra_22_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_108vb_35_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_111rb_24_2	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_117rb_30_5	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_117va_34_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118ra_2_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118ra_15_1	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118ra_27_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118ra_31_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118ra_34_2	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118ra_37_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118rb_2_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118vb_10_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118vb_17_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118vb_22_4	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118vb_26_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118vb_31_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_118vb_36_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_119ra_9_0	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_119ra_23_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_119va_7_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_120vb_28_0	lemma_4415_sense_6892	high	heuristic-auto: temporal noch (after/still/yet)
WZB_121ra_6_3	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
WZB_121ra_25_6	lemma_4415_sense_64155	high	heuristic-auto: relational/adversative noch (according to / nor)
