form	match_type	count	candidate_lemmas	sample_context	resolved_lemma	confidence	note
tŏte	unmatched	10		vindest den tŏte man vor			
vorsliesse	unmatched	6		varbe so vorsliesse in der			
rissen	unmatched	5		ist zu rissen durch dich			
Scribat	unmatched	5		das sein Scribat Genesis Genesis			
ŏrl	unmatched	5		vnd funfczig ŏrl oder slingel			
LEUI	unmatched	5		das buch LEUI der priesterschaft			
TICUS	unmatched	5		das kalp TICUS vor vnserm			
LEUIT	unmatched	5		den nir LEUIT lein Und			
NUMERI	unmatched	5		dem menschen NUMERI PRIMUS LIBRUM			
vorkeren	unmatched	4		PROLOGUS gar vorkeren Also wil			
entsprussen	unmatched	4		der ekker entsprussen Vnd e			
kvnst	unmatched	4		holcze der kvnst gutes vnd			
bozes	unmatched	4		gutes vnd bozes sal tu			
enpfenknusse	unmatched	4		vnd deine enpfenknusse In wetagen			
vordristen	unmatched	4		von den vordristen seiner hert			
gerechter	unmatched	4		ein g gerechter vnd ein			
dovme	unmatched	4		in einer dovme elen saltu			
czweinczigisten	unmatched	4		siben vnd czweinczigisten tage des			
susicheit	unmatched	4		ruch der susicheit vnd sprach			
sibenczick	unmatched	4		Und lebte sibenczick iare vnd			
vlohen	unmatched	4		bliben die vlohen vf die			
egiptische	unmatched	4		c GENE egiptische meit die			
vorsmehte	unmatched	4		hette do vorsmehte sie ire			
wander	ambiguous	4	lemma_18635|lemma_9000	almechtiger got wander vor mir			
setczen	unmatched	4		ich wil setczen meinen frid			
gesprochn	unmatched	4		das er gesprochn hat Und			
gene	unmatched	4		pflagen wenne gene Und taten			
vorsuchte	unmatched	4		geschach do vorsuchte got vnde			
sant	ambiguous	4	lemma_18884|lemma_5090|lemma_5107|lemma_5396|lemma_79089	als den sant der do			
czwiualdige	unmatched	4		gebe die czwiualdige gruft die			
vmbringe	unmatched	4		in dem vmbringe abraamen zu			
ouswendig	unmatched	4		het gestalt ouswendig der stat			
schapfte	unmatched	4		sie wasser schapfte vnd schapfte			
vorstopfet	unmatched	4		do hetten vorstopfet etwenne die			
grosern	unmatched	4		svne dem grosern Und sprach			
werd	ambiguous	4	lemma_7489|lemma_7500|lemma_9266	segent der werd mit segen			
kvndigte	unmatched	4		endlich vnd kvndigte das irem			
entkegen	unmatched	4		er im entkegen vnd vil			
enpfienk	unmatched	4		Und die enpfienk vnd geperte			
weiczes	unmatched	4		snite des weiczes ouf den			
Worvmbe	unmatched	4		sprach zu Worvmbe hastu also			
czweinczik	unmatched	4		ich dorumbe czweinczik iar gewesen			
gepilgereimet	unmatched	4		hab ich gepilgereimet vnd bin			
svnderte	unmatched	4		geslief do svnderte er ous			
Worczu	unmatched	4		Er antworte Worczu suchestu meinen			
erschreksal	unmatched	4		begreiffe das erschreksal gotes die			
bant	ambiguous	4	lemma_375|lemma_376|lemma_709	an die bant im die			
vorweser	unmatched	4		einer was vorweser der schenken			
geprufet	unmatched	4		warheit wurde geprufet Und doch			
wuchsen	unmatched	4		eher die wuchsen ous einem			
czirde	unmatched	4		siben eher czirde vnd ł			
czouberern	unmatched	4		zu allen czouberern in vnd			
setunge	unmatched	4		ny keiner setunge spor svnder			
geczeigt	unmatched	4		hat er geczeigt Siben schone			
egiptischer	unmatched	4		in aller egiptischer erden Noch			
setcze	unmatched	4		der do setcze ł probste			
vorkarte	unmatched	4		erden Und vorkarte seinen namen			
svndigt	unmatched	4		nicht Nicht svndigt in das			
laset	unmatched	4		bruder einen laset ir bei			
geczeuge	unmatched	4		ste ein geczeuge XLU SIS			
gepeut	unmatched	4		erden Und gepeut in ouch			
heis	unmatched	4		besten stat heis sie wonen			
