file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext;vorgaenger;vorgaenger_pos
FLG1.tei.xml;FLG1_6211060050_11;minne;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Objekt von haben, koordiniert: minne und gerunge, rúwe und vorhte.;jungesten zit , als du dich hielte in der ersten zit . du solt haben **minne** und gerunge , rúwe und vorhte , wan disú vier ding waren ein beginne dines;haben;(ohne)
BVSN.tei.xml;BVSN_12020_7;minne;;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;1. Sg. Praesens mit Subjekt und Objekt: so minne ich dich.;: got suzze und volchomen minne mag ich dich nicht geminnen als ich schol so **minne** ich dich als ich dich mack . mit dirr red hat sant bernhart den aittoven;so;ADV
WVE.tei.xml;WVE_806_0;minne;806;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Lehrhafter Imperativ mit Akkusativobjekt: 'minne rechte stetikeit'.;och tu , daz di wole steit : / **minne** rechte stetikeit . / weistu , waz daz sie ?;steit;VRB
FLO.tei.xml;FLO_788_1;minne;788;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;'joch minne ich iuch': 1. Sg. Präs. mit Subjekt 'ich' und Akkusativobjekt 'iuch'.;< flôre , süezer âmîs , / joch **minne** ich iuch ze gelîcher wîs / und weiz got noch mêre .;joch;CNJ
PRT.tei.xml;PRT_2882_3;minne;2882;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Imperativ Sg. mit Akkusativobjekt: wis biderbe unde minne got.;daz sende ich dir ân allen spot . / wis biderbe unde **minne** got / vor aller slahte dingen :;unde;CNJ
WDB.tei.xml;WDB_3092_1;minne;2;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Imperativ mit Anrede und Akkusativobjekt: 'nu minne mich, wolfdietrich'.;dô sprach diu rûhe else < ich bin gehiure gar . / nu **minne** mich , wolfdietrîch , sô wirstu sorgen bar . / ich gip dir ein künicrîche , dar zuo ein wîtez lant ,;nu;ADV CNJ
FLG.tei.xml;FLG_1031110_9;minne;;ANNOTATE;;ja;VRB;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Konjunktiv nach das-Satz: 'das dich got minne sere' = dass Gott dich liebe.;heligen hat gesoeget und noch soeget xxiii . du solt bitten , das dich got **minne** sere , dik und lange xxiv . wie got antwúrtet der sele xxv . von;got;NOM
MHA.tei.xml;MHA_1140407_0;minne;7;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Konditional minne ich in: 1. Sg. mit Objekt in.;- ob ichs an im behalten kan - / **minne** ich in , dâ missegêt mir niemer an . > / maniger grüezet mich alsô;-;(ohne)
UVW.tei.xml;UVW_110100300_4;minne;3;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Relativsatz mit ich: 'die ich von herzen minne', 1. Sg. Praes.;begunde hübscher klaffe vil , / die ich von herzen **minne** . / ich sprach < lânt iuwer tugend an mir und iuwer güete schouwen .;herzen;NOM
RVR.tei.xml;RVR_50004601_9;minne;46;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;'daz ich si minne': Konjunktion, Subjekt 'ich', Objekt 'si'.;ich sage iu , wer den strît geriet : daz tâten mîne sinne , / ich enmuote ir anders niet wan daz ich si **minne** : / sô hât sî mich gar gewert des ich an si sinne ,;si;(ohne)
BAR.tei.xml;BAR_14821_3;minne;14821;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Imperativ Sg. mit Objekt: 'vür alliu dinc minne got'.;"nim der gotes lêre war ! / vür alliu dinc **minne** got ; / erbarmherze ist sîn gebot .";dinc;NOM
FLG1.tei.xml;FLG1_6212060300_15;minne;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Präposition, Artikel, Adjektiv: in der waren minne tragen.;armuete , ze únsern wetagen also herzeklichen lieb , das wir hie in der waren **minne** tragen , das er siner rehtekeit also edellich entwichet , als iemer siner gotheit gezimet;waren;(ohne)
BAR.tei.xml;BAR_8706_4;minne;8706;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel, Genitivattribut, Subjekt: 'diu gotes minne twanc'.;diz nam er in den gedanc , / als in diu gotes **minne** twanc . / er sprach : < vater , ez ist guot ,;gotes;NOM
REN.tei.xml;REN_45520_5;minne;4552;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Zweites Substantiv im Paar 'wie minne minne enpfienc'.;ich bedoerft alrerst der sinne / daz ich sagte wie minne **minne** / enpfienc und vil sueze gruozte .;minne;(ohne)
FLD.tei.xml;FLD_491030_3;minne;3;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Possessiv 'ir minne', koordiniert mit 'hulde' als Objekt zu 'verdienen'.;der eines werden wibes hulde wil / verdienen und ir **minne** : / ja muoz er haben tugende und fuoge vil .;ir;(ohne)
WUT.tei.xml;WUT_7619_1;minne;19;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Objekt zu 'het' mit Adjektiv 'klein': 'het minne klein'.;in der smel des gürtels gedrenge / het **minne** klein und minne groeze . / ob ich iu seit von ir bloeze -;het;VEX VRB
NLC.tei.xml;NLC_43230_7;minne;3;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;'so minne ich sinen lip': 1. Sg. Praes. mit Subjekt 'ich' und Akkusativobjekt.;"diu spil , diu ich im teile , und tarrer diu bestân , / behabt er des die maisterschaft , sô **minne** ich sînen lîp ; / anders muoz er sterben , ê ich werde sîn wîp . >";sô;ADV
REN.tei.xml;REN_174350_2;minne;17435;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Konjunktiv mit Subjekt haz und Objekt die minne: und haz minne die minne.;wie sol ich besheiden daz , / und haz **minne** die minne ? / arbeit ich des gewinne;haz;NOM
ENE.tei.xml;ENE_102200_3;minne;10220;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;'daz ich in minne und her mich niht': 1. Sg. Konjunktiv/Indikativ mit Objekt 'in'.;al daz von minnen geschiht , / daz ich in **minne** und her mich niht , / sô ne mach ich niht genesen .;in;(ohne)
TRU.tei.xml;TRU_5600_1;minne;56;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Imperativ mit Akkusativobjekt: 'minne die von karke', parallel zum Rat an das Herz.;dem werden künege marke , / und **minne** die von karke , / diu dich ze nichte bestât . >;und;CNJ
BVSN.tei.xml;BVSN_49240_0;minne;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Objekt zum finiten Verb wewarst: daz du minne wewarst mit den werchen.;ist . dez antwort ich und sprich : du hast recht , ist daz du **minne** wewarst mit den werchen , als got selber spricht : der mich minnet , der;du;(ohne)
GAR.tei.xml;GAR_171970_1;minne;17197;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Subjekt einer Praedikation: minne ist ein sendeu not.;ich gedachte in meinen sinnen : / « **minne** ist ein sendeu not , / von minnen ist gelegen toet;«;(ohne)
TSY.tei.xml;TSY_370_7;minne;370;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Direkte Frage 'waz minne ich dan ?' mit Subjektpronomen ich, 1. Sg. Praes.;dân ist kein triuwe anders an . > / < owê , sprach sie , waz **minne** ich dan ? > / von dem lieben leiden mære;waz;(ohne)
FLD.tei.xml;FLD_315020_1;minne;2;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;'einen minne gernden man': Substantiv als Objekt des Partizips 'gernde'.;swa ein werdez wip an lachet / einen **minne** gernden man / und ir munt ze chüssen machet ,;einen;(ohne)
WUT.tei.xml;WUT_30313_0;minne;13;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Subjekt des Passivs 'wart gewert'.;ir zweiger liebe het niht vrist . / **minne** mit vollen wart gewert , / swes sî mit liebe het gegert .;vrist;NOM
BVSN.tei.xml;BVSN_14310_9;minne;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel di davor, Subjekt des Relativsatzes (di minne, di czwischen chinde und vater ist).;besundert hât von dem ertreich und stêt di minne in solcher aht , alz di **minne** di czwischen ainen chinde und seinen vater ist . die funfte minne haizzet ain kewsche;di;(ohne)
FLG1.tei.xml;FLG1_3107240250_6;minne;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;'dú swigende minne gebruchet sunder arbeit': Artikel und Adjektiv, Subjekt.;allen creaturen gemeine , die lutende minne ist noch gemenget mit trurekeit , dú swigende **minne** gebruchet sunder arbeit . o , was si stille werket , das es der licham;swigende;VRB
TSY.tei.xml;TSY_3115_3;minne;3115;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivattribut in 'der wâren minne râte'.;der hât vil durh uns getân / nâch der wâren **minne** râte . / nu sul wir im sîn undertân;wâren;VRB
HTR.tei.xml;HTR_30430_4;minne;3043;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivobjekt zu enbirt mit Artikel und Adjektiv der wâren: nominal.;als uns selber , ûzen und innen . > / swelch münich der wâren **minne** enbirt , / âne nuz er sîn hâr abe schirt .;wâren;VRB
TRU.tei.xml;TRU_125600_4;minne;1256;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Relativsatz 'den ich ... vür al die werlde minne', 1. Sg. Praes.;den ich mit herzensinne / vür al die werlde **minne** . / tristan , ich muoz von dir gân ,;werlde;NOM
FLD.tei.xml;FLD_581020_2;minne;2;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Kompositionsartige Fuegung 'minne wunt' (liebeswund): nominales Erstglied.;ich bin her bi minen stunden / ofte worden **minne** wunt , / da für han ich helfe funden ,;worden;VEX VRB
PSG.tei.xml;PSG_11016120_1;minne;1612;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Possessiv 'sein minne' als Subjekt von 'vergaz'.;vor anegeng je und je , / sein **minne** vergaz unser nie , / sein minne auz nihte uns geschuf;sein;(ohne)
AXR.tei.xml;AXR_1836700_4;minne;18367;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;"Possessiv-Subjekt: 'als ir sîn minne riet'; 'sîn' blockt Personifikation.";diu edel hövesche guote / rette als ir sîn **minne** riet / die rede als si von dannen schiet .;sîn;(ohne)
OVG.tei.xml;OVG_3330600_2;minne;33306;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Koordiniertes Objekt: friuntschaft unde minne gewinne.;daz ich ganze suon , / friuntschaft unde **minne** / von dem kunic gewinne . >;unde;(ohne)
