xml_id,form,context,normalized,match_type,lemma_ids
WZB_1ra_1_0,PROLOGUS,PROLOGUS Hie hebt,prologus,matched,lemma_26634
WZB_1ra_2_0,Hie,PROLOGUS Hie hebt sich,hie,ambiguous,lemma_1517|lemma_2588|lemma_2705|lemma_2825|lemma_2923
WZB_1ra_2_1,hebt,PROLOGUS Hie hebt sich an,hebt,matched,lemma_2688
WZB_1ra_2_2,sich,Hie hebt sich an die,sich,ambiguous,lemma_42100|lemma_5366|lemma_5445|lemma_5455
WZB_1ra_2_3,an,hebt sich an die vor,an,ambiguous,lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570
WZB_1ra_2_4,die,sich an die vor rede,die,ambiguous,lemma_1139|lemma_1161
WZB_1ra_2_5,vor,an die vor rede vnd,vor,matched,lemma_7194
WZB_1ra_2_6,rede,die vor rede vnd der,rede,ambiguous,lemma_4826|lemma_4830
WZB_1ra_2_7,vnd,vor rede vnd der prologus,vnd,matched,lemma_6467
WZB_1ra_3_0,der,rede vnd der prologus vber,der,ambiguous,lemma_1055|lemma_1119|lemma_8031
WZB_1ra_3_1,prologus,vnd der prologus vber das,prologus,matched,lemma_26634
WZB_1ra_3_2,vber,der prologus vber das buch,vber,ambiguous,lemma_6359|lemma_6698
WZB_1ra_3_3,das,prologus vber das buch daz,das,ambiguous,lemma_1097|lemma_13169
WZB_1ra_3_4,buch,vber das buch daz do,buch,ambiguous,lemma_14784|lemma_21151|lemma_912|lemma_936
WZB_1ra_3_6,daz,das buch daz do heisset,daz,ambiguous,lemma_1097|lemma_14087
WZB_1ra_3_7,do,buch daz do heisset vnd,do,ambiguous,lemma_1055|lemma_1180|lemma_1242|lemma_4445
WZB_1ra_4_0,heisset,daz do heisset vnd genant,heisset,matched,lemma_2731
WZB_1ra_4_1,vnd,do heisset vnd genant ist,vnd,matched,lemma_6467
WZB_1ra_4_2,genant,heisset vnd genant ist Biblia,genant,matched,lemma_4331
