file;xml_id;form;vers;action;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
GWTK.tei.xml;GWTK_3110012300_2;jungen;123;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;NOM;high;Determinativ 'den' + jungen ohne Bezugsnomen ('ze hand' ist adverbial): substantiviert, 'um den Jungen';umb den **jungen** ze hand .
GWTK.tei.xml;GWTK_3120014200_4;rott;142;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestellt zu 'munde' im Reim: 'uss rubin varwen munde rott' (aus rubinfarbenem rotem Mund).;uss rubin varwen munde **rott**
GWTK.tei.xml;GWTK_4110017900_4;rott;179;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestelltes Adjektiv zu 'münde' ('durch lïchte münde rott', Reim rott:nott): wegen leuchtend roter Münder kam der Held in Not.;der durch lïchte münde **rott**
GWTK.tei.xml;GWTK_6110031600_1;jungen;316;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;attributiv vor Bezugsnomen 'knaben' ('den jungen künstenklichen knaben');den **jungen** künstenklichen knaben
GWTK.tei.xml;GWTK_8110042600_1;rotte;426;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17203;lemma_4978;NOM;high;"'ain rotte erbliken began' mit Artikel als Objekt; Folgevers 'verwappnett wol ze brisse': bewaffnete Kriegerschar";ain **rotte** erbliken do began ,
GWTK.tei.xml;GWTK_8210046100_3;jungen;461;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_3157;;variants.xml#type_10830;lemma_3157;ADJ;high;Attributiv vor Bezugsnomen 'ritter': 'gegen dem jungen ritter'.;ward gegen dem **jungen** ritter stoltz .
GWTK.tei.xml;GWTK_11110062100_2;rotten;621;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17204;lemma_4978;NOM;high;"Glied einer Instrumentenaufzählung (prosunnen, rotten, pfiffen, harpffen): das Saiteninstrument rote; lemma_4978 deckt diesen Sinn ab (sense_7735, Instrumentalmusik).";prosunnen , **rotten** , pfiffen :
GWTK.tei.xml;GWTK_11210062400_2;rotte;624;ANNOTATE;ja;;NOM;;lexicon.xml#lemma_4978;;variants.xml#type_17203;lemma_4978;NOM;high;"Determinativ 'die' + Subjekt von 'brach' (die Schar brach von Hause auf; Ausritt-Kontext)";alsuss die **rotte** von husse brach .
GWTK.tei.xml;GWTK_20110112200_2;rott;1122;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestellt/praedikativ mit Farbvergleich: 'der stain rott als ain bluett';der stain **rott** als ain blütt
GWTK.tei.xml;GWTK_20110114300_5;rott;1143;ANNOTATE;ja;;ADJ;;lexicon.xml#lemma_4954;;variants.xml#type_194575;lemma_4954;ADJ;high;Nachgestellt zu 'trake': 'sin zaichen waz ain trake rott' (ein roter Drache als Wappenzeichen).;sin zaichen waz ain trake **rott** .
