file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext
ADP.tei.xml;ADP_4300800_12;minne;;REVIEW;confidence;nein;NOM;;;;;;lemma_4130;NAM;medium;Eine der drei iungfrowen der Klosterallegorie, die anschliessend handeln: Personifikation.;. des phlegent dri iungfrowe . daz ist guot wille . vroelichkait . und rainiu **minne** . diu erst iungfrowe ist guot wille . diu lât die geste in . wan
ADP.tei.xml;ADP_4303900_2;minne;;REVIEW;confidence;nein;NOM;;;;;;lemma_4130;NAM;medium;Die iungfrowe minne setzt den Herren nieder und spricht: handelnde Personifikation.;sele sont ain stæt wonung han mit enander . diu dritte iungfrowe ist diu edel **minne** . diu setzet ünsern herren nider . und sprichet . herre wir sont sitzen .
ADP.tei.xml;ADP_4304300_2;minne;;REVIEW;confidence;nein;NOM;;;;;;lemma_4130;NAM;medium;spricht diu minne: die Personifikation redet selbst.;. sitz herre . la mich mit dir kosen . o lieber herre spricht diu **minne** . wir süllent ain wonung entzwüschent üns machen . du waist doch wol daz ich
ADP.tei.xml;ADP_4304400_7;minne;;REVIEW;confidence;nein;NOM;;;;;;lemma_4130;NOM;medium;ich bin diu minne: Praedikatsnomen auf das Abstraktum, im Mund der Allegorie.;wir süllent ain wonung entzwüschent üns machen . du waist doch wol daz ich diu **minne** bin . mit der du din wonung hast . als sant iohannes spricht . deus
ADP.tei.xml;ADP_4304600_8;minne;;REVIEW;confidence;nein;NOM;;;;;;lemma_4130;NOM;medium;wan ich bin diu minne: Praedikatsnomen, Abstraktum (deus caritas est zitiert).;est . o herre . du muost bi mir bliben . wan ich bin diu **minne** . und bist ôch du diu minne . so sitzet denn ünser herre und ruowet
ADP.tei.xml;ADP_4304600_15;minne;;REVIEW;confidence;nein;NOM;;;;;;lemma_4130;NOM;medium;bist ôch du diu minne (Gott ist die Liebe): Praedikatsnomen, Abstraktum.;bi mir bliben . wan ich bin diu minne . und bist ôch du diu **minne** . so sitzet denn ünser herre und ruowet in der sele . minne . und
ADP.tei.xml;ADP_4304700_11;minne;;REVIEW;confidence;nein;NOM;;;;;;lemma_4130;NOM;medium;ruowet in der sele minne: Genitivfuegung (Liebe der Seele), trotz Interpunktion nominal.;du diu minne . so sitzet denn ünser herre und ruowet in der sele . **minne** . und koset guetlich mit ir . und spricht mir ist vil sanft . daz
ADP.tei.xml;ADP_4312400_7;minne;;REVIEW;confidence;nein;NAM;;;;;;lemma_4130;NAM;medium;beschaidenhait und minne ruegent enander: handelnde Personifikationen.;samen gehellent . und doch mit der gnade belibent . dar nach ruegent beschaidenhait und **minne** enander . und sprichet vro beschaidenhait . vro minne iuwer minne ist also vil .
ADP.tei.xml;ADP_4312500_5;minne;;REVIEW;confidence;nein;NAM;;;;;;lemma_4130;NAM;medium;Anrede vro minne: personifizierte Figur wird angesprochen.;. dar nach ruegent beschaidenhait und minne enander . und sprichet vro beschaidenhait . vro **minne** iuwer minne ist also vil . daz ich es nit erliden mag . so ir
ADP.tei.xml;ADP_4313000_7;minne;;REVIEW;confidence;nein;NAM;;;;;;lemma_4130;NAM;medium;so spricht denn vro minne: redende Personifikation mit vro.;sont ainest werchen . daz ir ôch andrest mugent werchen . so spricht denn vro **minne** . vro beschaidenhait iuwer beschaidenhait ist also vil . daz ir als træge sint .
ADP.tei.xml;ADP_4313700_13;minne;;REVIEW;confidence;nein;NAM;;;;;;lemma_4130;NAM;medium;Anrede vro minne ir sont: angesprochene Personifikation.;samen . ir sint als unfridsam mit enander . daz es übel stât . vro **minne** ir sont nit als vngefuoklich varen . sint mæssiger . aber ir vro beschaidenhait .
ADP.tei.xml;ADP_4510300_2;minne;;REVIEW;confidence;nein;NOM;;;;;;lemma_4130;NAM;medium;Die sibende iungfrowe diu minne kroennet die sele: handelnde Personifikation.;volbringet er ir nit so ist es nit loblich . diu sibende iungfrowe ist diu **minne** . diu kroennet die sele . und hilfet ir ain iungfrowe diu haisset beschaidenhait .
ADP.tei.xml;ADP_5201900_3;minne;;REVIEW;confidence;nein;NOM;;;;;;lemma_4130;NOM;medium;"twang mich diu minne: Gottes Liebe als Antrieb in Christi Rede; Personifikationslesart bleibt offen.";daz getet ich och nie dekainer schlaht creatur me . da von twang mich diu **minne** daz ich selbe min selbez glichnust wolte loesen . diu vierde sache ist . daz
ADP.tei.xml;ADP_5305500_4;minne;;REVIEW;prior-konflikt;nein;NOM;;;;;;lemma_4133;VRB;high;Jussiver Konjunktiv 'swer ... welle gewinnen, der minne allis daz' mit Akkusativobjekt: Verb, gegen pos_prior.;minnet gvoter dinge div sint sin . swer denne vil gvotis welle gewinnen . der **minne** allis das er gvotis an eime ieglichen menschen siht . alde hoerit . so ist
