lemma_id	majority_sense_id	majority_count	total_count	majority_pct	pending_tokens	note
lemma_3028	lemma_3028_sense_4834	4032	7850	51.4	3585	3 senses in corpus
lemma_2598	lemma_2598_sense_77622	3028	5733	52.8	2132	7 senses in corpus
lemma_7489	lemma_7489_sense_12208	5532	7477	74.0	1987	5 senses in corpus
lemma_199	lemma_199_sense_248	36450	37688	96.7	967	3 senses in corpus
lemma_5608	lemma_5608_sense_8771	4299	5150	83.5	954	4 senses in corpus
lemma_4415	lemma_4415_sense_6892	696	1011	68.8	742	2 senses in corpus
lemma_5994	lemma_5994_sense_9496	2068	2091	98.9	598	4 senses in corpus
lemma_5732	lemma_5732_sense_8995	531	812	65.4	557	7 senses in corpus
lemma_7861	lemma_7861_sense_12884	128	571	22.4	553	13 senses in corpus
lemma_1844	lemma_1844_sense_2846	1325	1862	71.2	546	8 senses in corpus
lemma_7166	lemma_7166_sense_11617	94	181	51.9	509	4 senses in corpus
lemma_7557	lemma_7557_sense_12344	1584	2405	65.9	499	5 senses in corpus
lemma_7473	lemma_7473_sense_12160	4465	5003	89.2	478	5 senses in corpus
lemma_2640	lemma_2640_sense_4250	10076	10114	99.6	426	5 senses in corpus
lemma_10651	lemma_10651_sense_17074	1336	1527	87.5	411	2 senses in corpus
lemma_2007	lemma_2007_sense_3099	896	1445	62.0	395	4 senses in corpus
lemma_2233	lemma_2233_sense_3551	96	129	74.4	375	4 senses in corpus
lemma_6771	lemma_6771_sense_10774	449	504	89.1	350	4 senses in corpus
lemma_6422	lemma_6422_sense_10157	805	1254	64.2	292	4 senses in corpus
lemma_4330	lemma_4330_sense_6767	638	1422	44.9	286	10 senses in corpus
lemma_7283	lemma_7283_sense_11811	417	692	60.3	256	7 senses in corpus
lemma_6687	lemma_6687_sense_10610	1067	1274	83.8	254	2 senses in corpus
lemma_2885	lemma_2885_sense_4625	870	1025	84.9	239	6 senses in corpus
lemma_4240	lemma_4240_sense_6635	1430	2451	58.3	230	3 senses in corpus
lemma_2534	lemma_2534_sense_4057	933	1956	47.7	206	4 senses in corpus
lemma_5884	lemma_5884_sense_9317	449	814	55.2	205	5 senses in corpus
lemma_3674	lemma_3674_sense_16663	98	376	26.1	198	9 senses in corpus
lemma_6041	lemma_6041_sense_17201	154	398	38.7	193	3 senses in corpus
lemma_1964	lemma_1964_sense_3014	178	282	63.1	188	5 senses in corpus
lemma_4840	lemma_4840_sense_7495	865	1432	60.4	179	6 senses in corpus
lemma_5525	lemma_5525_sense_14950	330	697	47.3	177	10 senses in corpus
lemma_5710	lemma_5710_sense_8947	844	1387	60.9	172	5 senses in corpus
lemma_2688	lemma_2688_sense_4329	226	455	49.7	169	3 senses in corpus
lemma_1511	lemma_1511_sense_2347	29	45	64.4	160	4 senses in corpus
lemma_6171	lemma_6171_sense_9726	407	1442	28.2	155	13 senses in corpus
lemma_2225	lemma_2225_sense_3541	91	178	51.1	152	2 senses in corpus
lemma_1978	lemma_1978_sense_3037	52	147	35.4	150	3 senses in corpus
lemma_8715	lemma_8715_sense_8771	117	127	92.1	140	3 senses in corpus
lemma_3567	lemma_3567_sense_5651	879	2195	40.0	136	5 senses in corpus
lemma_5423	lemma_5423_sense_8457	118	353	33.4	130	13 senses in corpus
lemma_7431	lemma_7431_sense_14247	151	307	49.2	130	4 senses in corpus
lemma_7487	lemma_7487_sense_12200	93	178	52.2	125	5 senses in corpus
lemma_5039	lemma_5039_sense_7836	18	33	54.5	123	6 senses in corpus
lemma_7121	lemma_7121_sense_11541	17	31	54.8	123	3 senses in corpus
lemma_4524	lemma_4524_sense_7061	4481	4482	100.0	121	2 senses in corpus
lemma_4826	lemma_4826_sense_7470	308	424	72.6	118	5 senses in corpus
lemma_2367	lemma_2367_sense_3822	12	18	66.7	118	3 senses in corpus
lemma_5396	lemma_5396_sense_8417	512	704	72.7	116	4 senses in corpus
lemma_7081	lemma_7081_sense_11468	929	1069	86.9	114	6 senses in corpus
lemma_5743	lemma_5743_sense_9025	114	221	51.6	109	5 senses in corpus
lemma_44139	lemma_44139_sense_86820	11	12	91.7	102	2 senses in corpus
lemma_7108	lemma_7108_sense_11507	276	298	92.6	101	4 senses in corpus
lemma_2830	lemma_2830_sense_90142	2871	2872	100.0	101	2 senses in corpus
lemma_722	lemma_722_sense_1176	388	566	68.6	98	3 senses in corpus
lemma_2912	lemma_2912_sense_4674	299	359	83.3	96	6 senses in corpus
lemma_582	lemma_582_sense_878	66	134	49.3	96	7 senses in corpus
lemma_6835	lemma_6835_sense_10895	201	302	66.6	96	5 senses in corpus
lemma_1145	lemma_1145_sense_1806	305	540	56.5	96	4 senses in corpus
lemma_7482	lemma_7482_sense_12189	84	98	85.7	92	4 senses in corpus
lemma_7672	lemma_7672_sense_12578	650	760	85.5	90	4 senses in corpus
lemma_9084	lemma_9084_sense_12208	8	13	61.5	86	4 senses in corpus
lemma_282	lemma_282_sense_365	12	19	63.2	86	5 senses in corpus
lemma_7948	lemma_7948_sense_13034	124	136	91.2	85	3 senses in corpus
lemma_2573	lemma_2573_sense_4121	646	1585	40.8	80	9 senses in corpus
lemma_3830	lemma_3830_sense_6054	169	342	49.4	78	3 senses in corpus
lemma_7221	lemma_7221_sense_11695	181	278	65.1	76	6 senses in corpus
lemma_6036	lemma_6036_sense_9551	53	58	91.4	76	5 senses in corpus
lemma_868	lemma_868_sense_1423	688	796	86.4	75	6 senses in corpus
lemma_4281	lemma_4281_sense_6696	917	2750	33.3	75	4 senses in corpus
lemma_2065	lemma_2065_sense_3197	608	934	65.1	74	4 senses in corpus
lemma_1164	lemma_1164_sense_1836	277	534	51.9	74	9 senses in corpus
lemma_7273	lemma_7273_sense_11785	88	180	48.9	74	6 senses in corpus
lemma_4872	lemma_4872_sense_7549	1474	2453	60.1	72	6 senses in corpus
lemma_1689	lemma_1689_sense_2651	20	33	60.6	72	5 senses in corpus
lemma_2895	lemma_2895_sense_4650	51	66	77.3	71	2 senses in corpus
lemma_7320	lemma_7320_sense_11866	813	849	95.8	71	4 senses in corpus
lemma_1146	lemma_1146_sense_1807	434	626	69.3	68	4 senses in corpus
lemma_3957	lemma_3957_sense_6236	1450	2108	68.8	68	5 senses in corpus
lemma_2212	lemma_2212_sense_3510	7	8	87.5	65	2 senses in corpus
lemma_453	lemma_453_sense_623	130	351	37.0	65	6 senses in corpus
lemma_7755	lemma_7755_sense_12712	90	125	72.0	65	3 senses in corpus
lemma_2617	lemma_2617_sense_4204	150	167	89.8	64	4 senses in corpus
lemma_6042	lemma_6042_sense_9559	105	187	56.1	63	7 senses in corpus
lemma_5005	lemma_5005_sense_7781	159	303	52.5	63	5 senses in corpus
lemma_4848	lemma_4848_sense_7509	331	601	55.1	63	6 senses in corpus
lemma_116	lemma_116_sense_150	1862	1864	99.9	62	2 senses in corpus
lemma_5378	lemma_5378_sense_8397	20	27	74.1	62	3 senses in corpus
lemma_2544	lemma_2544_sense_4075	35	87	40.2	62	7 senses in corpus
lemma_3453	lemma_3453_sense_5456	11	17	64.7	62	4 senses in corpus
lemma_7780	lemma_7780_sense_12749	30	49	61.2	61	2 senses in corpus
lemma_5963	lemma_5963_sense_9450	78	154	50.6	61	4 senses in corpus
lemma_2731	lemma_2731_sense_4403	609	1086	56.1	60	5 senses in corpus
lemma_2110	lemma_2110_sense_3273	158	401	39.4	60	3 senses in corpus
lemma_7534	lemma_7534_sense_12299	2703	2873	94.1	60	3 senses in corpus
lemma_1243	lemma_1243_sense_1959	4	4	100.0	60	1 senses in corpus
lemma_4913	lemma_4913_sense_7635	89	156	57.1	59	4 senses in corpus
lemma_3765	lemma_3765_sense_5955	8270	8368	98.8	57	2 senses in corpus
lemma_1396	lemma_1396_sense_2156	249	532	46.8	57	4 senses in corpus
lemma_5729	lemma_5729_sense_8991	349	613	56.9	57	3 senses in corpus
lemma_2164	lemma_2164_sense_3386	57	72	79.2	57	4 senses in corpus
lemma_4252	lemma_4252_sense_6652	367	381	96.3	56	4 senses in corpus
lemma_7793	lemma_7793_sense_12776	74	252	29.4	56	5 senses in corpus
lemma_5815	lemma_5815_sense_9190	657	707	92.9	55	8 senses in corpus
lemma_788	lemma_788_sense_1283	97	235	41.3	54	3 senses in corpus
lemma_3926	lemma_3926_sense_6201	239	709	33.7	54	4 senses in corpus
lemma_433	lemma_433_sense_31246	31	45	68.9	54	3 senses in corpus
lemma_7490	lemma_7490_sense_12210	72	179	40.2	54	6 senses in corpus
lemma_4266	lemma_4266_sense_6678	1805	1819	99.2	52	2 senses in corpus
