TITLE;AUTHOR;EDITION;DESCRIPTION;LINECODE;IMAGE;TYPE;TITLEEXTENTION;ORIGIN;EDITIONINFO;VOLUMEID;VOLUMETITEL;ID;PUBYEAR;PUBFREE;Kapitel in Edition?;Zerlegung erforderlich?;Spalte1;Datum Zitat GND;Datum Zitat VL;Stellenangabe VL;Datum von;Datum bis;Datum Abweichung;Norm Werk WikiData;Norm Werk GND;MWB-Sigle;Norm Bibl DND;Norm Bibl Google Books;Norm Bibl ÖNB
Buch von Akkon;104;Seemüller, Josef: Monumenta Germaniae Historica. Deutsche Chroniken. 5,1 u. 5,2 Ottokars Österreichische Reimchronik. Nach den Abschriften Franz Lichtensteins. Unveränderter Nachdruck der 1890-1893 bei der Hahnschen Buchhandlung, Hannover, erschienenen Ausgabe.  München: Monumenta Germaniae Historica, 1980, S. 578-720. Elektronischer Text vorbereitet von Bettina Hatheyer.;"Lemmatisiert, aber noch nicht disambiguiert.

Ausschnitt aus der etwa zwischen 1301 und 1319 entstandenen Österreichischen (od. Steirischen) Reimchronik: Vers 44579 bis 53866 beinhalten einen in sich geschlossenen Erzählkomplex über die Zerstörung Akkons im Jahre 1291 durch die Sarazenen. Von den acht aus dem späten 14. und 15. Jh. stammenden Handschriften überliefern sechs das Buch von Akkon; davon sind drei Fragmente, drei vollständige Ausgaben: Cod. Vindob. 15359 (Fragment), Cod Ser. nov. 4002 (Fragment), Cod. Vindob. 3047, Cod. Admont. 19 (Fragment), Cod. Geulf. 291 (Fragment), Cod. Sangall. 658, Cod. rec. adj. f. 3. Die beiden Erstgenannten gehörten ursprünglich zur gleichen Gesamtausgabe.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000-----;;41;Steirische Reimchronik, Ausschnitt;;"St. Gallen, Stiftsbibliothek, Cod. Sang. 658;St. Gallen, 1465

Ottokar von Steiermark, Österreichische Reimchronik, Verse 44597-53579: Die Belagerung und Zerstörung Akkons, 1281-1291 (p. 166-285) Links zu der jeweils entsprechenden Handschriftenseite sind neben den ausgegebenen Textzeilen durch Klicken auf der Hs.-Ikone erreichbar.";;;AK;;;Ja;Nein;;;etwa 1301 bis 1319;;1301;1319;5;n;4482775-1;n;997036869, 366893394;0X4ZnQEACAAJ ;
Der von Kürenberg;124;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MKB;;;Ja;Ja;;;um 1150/60-1170;;1150;1170;10;n;n;n;780045017;LslbAAAAMAAJ;
Alexius;1;Konrad von Würzburg, ALEXIUS. In: Die Legenden II, hrsg. von Paul Gereke, Halle 1926.;"Die Ligatur von oe wurde aufgelöst.



Lemmatisiert aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;4;;"Die Legende der Weltentsagung vom hl. Alexius hat ihren Ursprung in der edessenischen Lokalerzählung und geht zurück auf eine syrische Vita. Die Entwicklung dieser Lebensbeschreibung  zur byzantinischen Legende erfolgte wahrsch. im 9. Jh. Sie fand Verbreitung bei allen abendländ. Völkern. Das älteste franz. Alexiuslied wurde 1040 in der Normandie verfasst (11.Jh.). Auch englische, italienische und spanische Darstellungen sind bekannt.

In Deutschland wird die Legende seit dem 12.Jh. poetisch bearbeitet.

Konrad von Würzburg hat sein Werk auf Anregung der beiden Baseler Brüder Johannes von Bermeswil und Heinrich Isenlin geschrieben (vgl. V. 1388ff.). Aufgrund der Vermerke der Brüder im Baseler Urkundenbuch muss Konrads Text vor Juni 1275 gedichtet worden sein.";"Konrads Dichtung ist in drei Hs. erhalten: A (Straßburger Stadtbibliothek, 18. Jh.), I (Ferdinandeum in Innsbruck, ca. 1425) und S (Sarn, Frauenkloster St. Andreas, aufbew. in Engelberg, 1478).

M. Haupt brachte Ende des 19. Jh. eine kritische Edition heraus, erklärte I jedoch als sehr schlechte Hs. und benutzte sie kaum. 1880 wurde  Hs. S gefunden, woraufhin Henczynski Konrads Werk 1898 neu herausgab (mit Bevorzugung von A).

Gerekes Edition folgt nun v.a. Henczynski, kennzeichnet jedoch abweichende Lesarten von Haupt, Schröder und Rosenhagen. ""Rein orthografische Eigentümlichkeiten"" (Gereke) der Hs. sind im Allgemeinen nicht berücksichtigt worden.";;;AX;1926;1;Ja;Nein;;;In Basel hatte K. sich wohl in den 1260er Jahren niedergelassen;;1260;1270;5;;4576130-9;KvWAlex;580431355;FRDcAQAACAAJ;
Moriz von Craûn;;Hg. Ulrich Pretzel, 4.Aufl., Tübingen, 1973(=ATB 45);"Voll lemmatisiert und disambiguiert.

Der Text ist ohne Satzzeichen gespeichert.





Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;63;;;;;;CR;;;Nein;Nein;;;Eine ‘Spätdatierung’ in die 20er oder 30er Jahre des 13. Jh.s scheint so insgesamt eher möglich als eine ‘Frühdatierung’ in die 80er Jahre des 12. Jh.s (so zuletzt Thomas). Eine untere Grenze (‘13. Jh.’) ergibt sich aus den Beobachtungen zum Alter von Rieds Vorlage und zur Sprache des Textes (Schröder, 2Ausg., S. 5–7).;;1190;1220;10;Q1771750;4170556-7;Craun;730273784;HivzAAAAMAAJ;
Frauendienst (Büech.);5;Hg. Reinhold Bechstein, Leipzig, 1888.;"Voll lemmatisiert und fast vollständig disambiguiert.



Die Zeilenzählung beginnt mit der Nummer des Büechlîns (1 - 3) gefolgt von der Zeilennummer.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000c----;;62;Büechlîn, Bechstein;;;;;FH;;;Nein;Nein?;;;Datiert gewöhnlich auf 1255;;1255;1255;5;Q1451651;4558793-0;UvLFrd;n;n;
Frauenbuch (Lachmann);5;Hg. Karl Lachmann, Berlin 1841, Nachdr. Hildeshm./N.Y. 1974.;"Voll lemmatisiert, aber nur teilweise disambiguiert. 

Der Text ist ohne Satzzeichen und beginnt auf S. 594.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000ppp0--;;244;;;;;;FB;;;Nein;Nein?;;;Datiert gewöhnlich auf 1255;;1255;1255;5;Q1451651;4558793-0;UvLFrd;n;azFZAAAAcAAJ;
Heinrich von Kempten;1;Heinrich von Kempten. Konrad von Würzburg. In: Kleinere Dichtungen Konrads von Würzburg. Hrsg.: E. Schröder. 10. Aufl. 1970.;"Voll lemmatisiert und disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000---;;3;;;"Cologny, Fondation Martin Bodmer, Cod. Bodmer 72(f. 242r-247r);

Nordwestböhmen/Oberfranken/südl.

Vogtland, Erstes Viertel 14.Jahrhundert";;;HK;1970;1;Ja;Ja?;;;Die chronologische Einordnung der Werke ohne Gönnernamen ist unsicher. ‘W. L.’ und ‘H.’ gelten in der Forschung als Frühwerke;;1260;1270;5;Q1563703;4221005-7;KvWHvK;800356403;JhsrAAAAMAAJ;
Die Klage der Kunst;1;Konrad von Würzburg. Die Klage der Kunst. In: Kleinere Dichtgg. K.v.Würzbgs. III, Hg. Edward Schröder, unverändt. Nachdr. Dublin/Zürich 1970.;"Voll lemmatisiert und disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000ss-;;3;;;;;;KK;1970;1;Ja;Nein;;;"die Leichs, Minnelieder und Sangsprüche als Dichtungen der Basler Zeit, ebenso die ‘G. Schm.’. ‘E.’ und ‘Kl.’ werden teilweise für Frühwerke (vgl. de Boor, 1967, Brunner, Genealog. Phantasien, 1981; de Boor, LG III, 1, S. 50), teilweise für Schöpfungen der Basler Zeit gehalten";;1260;1270;5;n;4568295-1;KvWKlage;800356438;JhsrAAAAMAAJ;
Lanzelet;6;Ulrich von Zatzikhoven: Lanzelet. Hg. K.A. Hahn, Frankfurt/M. 1845, Nachdr. Berlin 1965.;"Voll lemmatisiert, aber nicht disambiguiert.



Entstanden ca. 1195

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;16;;;;;;LZ;1845;1;Nein;Nein;;erschienen: 1194;Die Angaben über seine Vorlage weisen auf die Zeit nach 1194/95 und legen Verbindungen zum Stauferhof nahe (s. u. II. 3.). Der Sprache des Werks nach war U. Alemanne (s. Combridge, S. 43). Die Forschung identifizierte ihn mit einem 1214 urkundlich belegten Plebanus von Lommis (in der Nähe von Zezikon im Kanton Thurgau gelegen).;;1200;1210;10;Q842457;4131829-8;UvZLanz;455155186;Nlo4AQAAIAAJ;
Pantaleon;1;Pantaleon. Konrad von Würzburg. Hrsg. v. W. Wösler, 2.Aufl. Tübingen 1974.;"Voll lemmatisiert, aber nicht disambiguiert.





Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;4;;;;;;PT;1974;1;Nein;Nein;;um 1270 entstanden;;;1270;1270;10;n;7618650-7;KvWPant;750056363;mekIAQAAIAAJ;AC01011925 
Silvester;1;Silvester. In: Konrad von Würzburg. Die Legenden 1, Hg. Paul Gereke. Halle/Saale 1925.;"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;4;;;;;;SL;1925;1;Ja;Nein;;ca. 1265 entstanden;;;1265;1265;10;n;4661322-5;KvWSilv;580431347;FRDcAQAACAAJ;
Willehalm (Wolfram);7;Wolfram von Eschenbach: Willehalm. Nach der gesamten Überlieferung kritisch hrsg. v. Werner Schröder. Berlin, New York 1978.;"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000ppp--;;7;;;;;;WH;1978;1;Nein;Nein;;;Im ‘Wh.’ wird die Kaiserkrönung Ottos IV., die 1209 stattfand, erwähnt. Die Nennung des Landgrafen Hermann am Schluß des ‘Wh.’ (417,22) scheint dessen Tod vorauszusetzen. Hermann ist 1217 gestorben. Der ‘Wh.’ wird meistens 1210-1220 datiert.;;1210;1220;2;Q2576669;4117689-3;Wh;790071274;VIEcNAAACAAJ;
