file;xml_id;form;action;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_ana;neu_ana;alt_corresp;neu_corresp;verdict;confidence;begruendung;hinweis;kontext
AC2.tei.xml;AC2_9100_9;hawe;KEEP;nein;VRB;VRB;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_117159;variants.xml#type_117159;VERBAL;high;Imperativ von hauen (Sprichwort), keine Substantivlesart;;"ain fuchs slug einen slafenden lewen an seinen backen , darumb wart im sein balk zurrissen ; ein hase zwacket einen wolf , noch heut ist er zagellos darumb ; ein katz krellet einen hunt , der do slafen wollt , immer musz sie des hundes veintschaft tragen : also wiltu dich an uns reiben . doch glauben wir , knecht knecht , her beleibet herre . wir wollen beweisen das wir recht wegen , recht richten unde recht faren in der welte , niemants adel schonen , grosser kunste nicht achten , keinerlei schone ansehen , gab , liep , leides , alters , jugent unde allerlei sach nicht wegent . wir tun als die sunn , die scheint uber bose und uber gut : wir nemen gut unde bose in unser gewalt alle die meister die die geist kunnen bezwingen , mussent ire geist antworten und aufgeben und die bilbis und die zauberin konnen vor uns nicht bleiben . sie hilfet nit , das sie reiten auf den krucken und das sie reiten auf den bocken . die ertzt , die den leuten das leben lengen , mussen uns zu teil werden ; wurtz , kraut , salben und allerlei apotekenpulver konnen sie nicht gehelfen . solten wir allein den zweifaltern und den hewschrecken rechnung tun umbe ir geslecht ? an der rechnunge wurden sie nit benugen . oder solten wir durch aufsatzes , durch liebes oder durch leides willen die leute lassen leben ? aller der welte keisertum weren unser , alle konig hetten ire kronen auf unser haupt gesetzt , ire zepter in unser hant geantwurt ; des babstes stule mit seiner dreigekronten infel wer wir nun gewaltig . lasz sten dein fluchen , sage nit von papenfels newe mere , hawe nit uber dich , so reren dir die spen nicht in die augen !"
AC2.tei.xml;AC2_25010_2;hawe;KEEP;nein;VRB;VRB;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_117159;variants.xml#type_117159;VERBAL;medium;"Verbform zu houwen, Subjekt ewr segensz; kein Substantiv habe";Konfidenz unter high, keine Aenderung noetig;alter man newe mer , gelerter man unbekant mere , ferre gewandert man , und einer , wider den nimant reden tar , gelogen mere wol sagen turren , wann sie von unwissenden sachen wegen sein unstraflich . wann ir dann auch ein sollicher alter man seit , so mugt ir wol tichten . allein ir in dem paradeisz geschaffen seit , ein meder , unde euch rechtes rumet , doch hewet ewer segensz neben recht . mechtig plumen reut sie ausz , die distel lasset sie stan . unkraut bleibt , die guten kreuter müssen verderben . ir gicht , ewr segensz hawe fur sich . wie ist dann dem , das sie mer distel dann gut plumen , mer meusz dann cameln , mer boser leut dann guter unversert lest beleiben . nennt mir , mit dem finger weist mir , wo sint die frommen achtperen leut , als vor zeiten waren ? ich wen , ir hapt sie hin . mit in ist auch mein liep , die usel sint uberbliben . wo sint sie hin , die auf erden wonten , mit gott redten , an im hulde , genade und rechung erwurben ? wo sint sie hin , die auf erden sassent , unter der gestirne umbgenge , unde entschieden die planeten ? wo sint sie hin , die sinnreichen , die meisterlichen , die gerechten , die fruchtigen leute , von den die kroniken so verre sagen ? ir hapt alle unde mein zarte ermordet , die sint noch all tode . wer ist daran schuldig ? torst ir der warheit bekennen , her tot , ir wurdent euch selber nennen . ir sprechent vast , wie recht ir richtent , niemants schont , ewer segensz hew nach einander fellet . ich stunde do bei unde sahe mit meinen augen zwo ungeheuer schar volkes ( iede het uber dreutausent man ) mit einander streiten auf einer grunen heide . die wuten in dem plute bis under den waden . dar unter snurret ir und wurret gar gescheftig an allen enden . in dem here tot ir etlich , etlich list ir stan . mere knecht dann herren sach ich tot ligen . do claubet ir einen ausz dem andern als die teigen pirn . ist das recht gemet , ist das recht gericht ? get so ewr segensz fur sich ? wol her , lieben kinder , wol her ! reit wir engegen , enbiet unde sag wir lob unde ere dem tode , der also recht richtet . gottes recht kaum also gericht .
AC3.tei.xml;AC3_17290_9;hawe;KEEP;nein;VRB;VRB;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_117159;variants.xml#type_117159;VERBAL;high;Konjunktiv (zu houwen) in indirekter Rede nach ir jecht, Subjekt sense;;"alter man newe mere , geleret man vnbekante mere , ferre gewandert man vnd einer , wider den niemant reden tar , gelogene mere wol sagen turren , wann sie von vnwissender sachen wegen sein vnstreflich . wann ir nu auch ein solcher alter man seit , so muget ir wol tichten . allein ir in dem paradise gefallen seit ein meder vnd rechtes remet , doch hawet ewer sense vneben : recht mechtig blumen reutet sie aus , die distel lesset sie steen ; vnkraut beleibet , die guten kreuter mussen verderben . ir jecht , ewer sense hawe vur sich . wie ist dann dem , das sie mer distel dann guter blumen , mer meuse dann kamelen , mer boser leute dann guter vnuerseret lesset beleiben ? nennet mir mit dem munde , mit dem finger weiset mir : wo sint die frumen , achtberen leute , als vor zeiten waren ? ich wene , ir habet sie hin . hin mit in ist auch mein lieb , die ubeln sint och vber beliben . wo sint sie hin , die auf erden wonten vnd mit gote redten , an im hulde , genade , auch reichtum erwurben ? wo sint sie hin , die auf erden sassen , vnder dem gestirne vmbgiengen vnd entschieden die planeten ? wo sint sie hin , die sinnereichen , die meisterlichen , die gerechten , die frutigen leute , von den die kroniken so vil sagen ? ir habet sie alle vnd mein zarte ermordet ; die snoden sint noch alda . wer ist daran schuldig ? torstet ir der wahrheit bekennen , herre tot , ir wurdet euch selber nennen . ir sprechet faste , wie rechte ir richtet , niemandes schonet , ewer sense haw nach einander fellend . ich stund dabei vnd sach mit meinen augen zwo vngeheure schar volkes - iede het vber dreitausent man - mit einander streiten auf einer grunen heide ; die wuten in dem blute bis vnder den enkel . darvnder snurret ir vnd wurret gar gescheftig an allen enden . in dem her totet ir etlich , etlich liesset ir leben . minre knechte dann herren sach ich tot ligen . da klaubtet ir einen aus den andern als die teigen biren . ist das rechte gemeet ? ist das rechte gerichtet ? geet so ewer sense haw vur sich ? wol her , lieben kinder , wol her ! reiten wir engegen , enbieten vnd sagen wir lob vnd ere dem tode , der also rechte richtet ! gotes gerichte ist kaum also gerecht !"
AC3.tei.xml;AC3_23010_1;hawe;REVIEW;nein;NOM;NOM;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_117159;variants.xml#type_117159;NOM;high;"Koordination mit Substantiv schaufel; Geraetepaar als Satzsubjekt";"mutmasslich houwe/hou-Substantiv (Hieb/Haue) unter lemma_2598; Ziel-Kandidaten lemma_61268 hou / lemma_9644 houwe; KZW-Entscheid";"gute strafung gutlich aufnemen , darnach tun sol weiser man , hore ich die klugen jehen . ewer strafung ist auch leidelich . wann dann ein guter strafer auch ein guter anweiser wesen sol , so ratet vnd vnderweiset mich , wie ich so vnsegeliches leit , so jemerlichen kummer , so aus der massen grosse betrubnuß aus dem herzen , aus dem mute vnd aus den sinnen ausgraben , austilgen vnd ausjagen sulle . bei got vnuolsagenlich herzeleit ist mir geschehen , do mein zuchtige , trewe vnd stete hausere mir so snelle ist enzucket , sie tot , ich witwer , meine kinder weisen worden sint . o herre tot , alle werlt klaget vber euch vnd auch ich . doch seit das nie so boser man wart , er were an etwe gut : ratet , helfet vnd steuret , wie ich so sweres leit von herzen werfen muge vnd wie meine kinder einer solchen reinen muter ergetzet werden ; anders ich vnmutig vnd sie traurig immer wesen mussen . vnd das sullet ir mir nicht in vbel verfahen , wann ich sihe , das vnder vnuernunftigen tieren ein gate vmb des andern tot trauret von angeborenem twange . hilfe , rates vnd widerbringens seit ir mir pflichtig , wann ir habt mir getan den schaden . wo des nicht geschehe , dann got hette in seiner almechtigkeit ninder rachunge : gerochen muste es werden wider euch , vnd solte darvmb hawe vnd schaufel noch eines gemuet werden !"
AXS.tei.xml;AXS_4503000_2;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Hilfsverb mit Partizip gelogen, Negation ne;;uns ne habe daz bûch dan gelogen ,
BVL.tei.xml;BVL_106009000_6;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598_sense_4170;lexicon.xml#lemma_2598_sense_4170;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Subjekt ich, Objekt kein urloup: 1. Sg. Indikativ;;und ich kein urloup von in habe ?
CEFB.tei.xml;CEFB_71000210500_11;hawe;REVIEW;nein;VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_117159;variants.xml#type_117159;NOM;medium;Dativ nach mit dem: Fechtterminus Kronhau, Substantiv zu houwen, nicht haben;"mutmasslich houwe/hou-Substantiv (Hieb/Haue) unter lemma_2598; Ziel-Kandidaten lemma_61268 hou / lemma_9644 houwe; KZW-Entscheid";wann dir einer übergreifft / beut ihm den streych / vnd verzuck kurtz / streich lang nach / oder brichs mit dem feier oder kron hawe etc .
CEFB.tei.xml;CEFB_172000471600_10;hawe;KEEP;nein;VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_117159;variants.xml#type_117159;VERBAL;high;"Imperativ von hauen (houwen), nicht haben; kein Substantiv";;der zornhaw . entwecker . entrüsthaw . der zwinger / der geferhaw . der wincker . die xvij . hauptstuck . i . die vier laeger . ii . versetzen . iii . nachreysen . iiii . vberlauffen . v . absetzen . vi . durchwechseln . vij . zucken . viij . durchlaufen ix . abschnid . x . hend trucken . xi . ablauffen . xij . benemen . xiij . durchgehn xiiij . der bogen . xv . messer nemen . xvi . hengen . xvij . winden . von dem brauch diser xxiij . stuck / volget hernach / vnd erstlich von dem zornhaw . was auff dich würdt gericht / zornhaw ort das bricht / wiltu ihn beschemen / am messer lerne abnemen . wann einr dir von der rechten seitten oben zum kopff schlegt / so haw von deiner rechten seitten auch von oben mit ihm gleich in sein messer / indes laß dein ort fürs gesicht oder brust schiessen / indes wend dein messer gegen dem seinen / das die lang schneid oben stehe / würdt er des orts gewar / so wind wider uff sein linck das ort zum gesicht / vnd haw von der anderen seitten zum kopff . magst auch darmit zur arbeit duplieren . bruch zuo dem abnemen . wend dein messer mit dem ruckenn ein wenig uff das seine / vnd haw ihm oben nach der bloesse . oder tritt beseits auff den schlag / vnnd arbeit ihm zur rechten bloesse / mitt dem haw . odder stich ihm im abnemmen zuo dem gesicht . haw / stich / merck in band weych oder hert / vor vnd nach / indeß hab acht / die laeuff des kriegs recht betracht . mit dem kriege arbeit in weych vnnd hert / nach der naehsten bloesse . den krieg auffloeß oben / niden wart der bloeß . die wenden im messer / vnd die arbeit daraus / mit dem orte zuo den vier zinnen / heyßt der krieg . so du mit eim im zornhaw zuohawest / so bald er versetzt / fare auff mit dem arm / vnd setz ihm den ort an / volget er deinem messer nach / mit versatzung / so stich zuo den zinnen / vnden auff der lincken seitten . far alweg mit dem arm auff in die hohe für das haupt / vnd senck das ort vff die zinn . vier sind der zinnen die du solt gewinnen / der wacht nim war / wo sie sei / mit gefar . ficht alweg nit nach deins mannes messer / sonder nach seinem leibe / als den vier zinnen / weliche seind bede seitten oberhalb / vnd bede vnderhalb des gürttels . versetzt er dir eine / so eil zuo der naehesten . hastu das vernommen / die zinnen sind gewonnen / wiltu dich rechen / die zinnen kunstlich brechen / oben duplir / da niden gantz mutir . duplir gegen des messer stercke / mutir gegen der schweche als wann er dir oben zuohawet von seiner rechten achseln / so hawe auch von deinr rechten / mit ihm zugleich / starck oben zum kopff / versetzt ers mit stercke / so wende das gehültz / fare bald auff mitt dem arme / schlahe ihn mitt der langen schneiden / hinder seinem messer auff den kopff .
CEFB.tei.xml;CEFB_341000801500_7;hawe;KEEP;nein;VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_117159;variants.xml#type_117159;VERBAL;high;Fechtanweisung, Imperativ von hauen mit Dativobjekt ihm;;auß dem wechselhaw . streich von der lincken seiten auß dem bucklier / fast übersich in sein schwerdt / vnd hawe ihm dann von der lincken seitten zum haupt / vnd wind bloß / vnd stoß ihm nach dem maul / hebt er mit dem schilt vnd schwert / vnnd weret das / haw lang nach seinem rechten beyn / brauchs zuo beden seiten .
CR.tei.xml;CR_1412_1;habe;STRIP;ja;NOM VRB VEX;VRB VEX;lexicon.xml#lemma_2598;lexicon.xml#lemma_2598;;;variants.xml#type_8730;variants.xml#type_8730;VERBAL;high;Hilfsverb Konjunktiv mit Partizip gerouwen;;es habe sie sider gerouwen
